t,majflt,utime_ticks,stime_ticks,spills
0,5394707,236733,1127942,33
92,115198892,5402067,1129766,0,33
30,5408954,236970,1131616,33
122,115207183,5416040,1133381,0,33
61,5423372,237230,1135140,33
153,115215657,5430822,1136911,0,33
92,5438037,237494,1138734,33
122,5452421,237738,1142564,33
153,5466970,238014,1145891,33
184,5481658,238283,1149463,33
215,5495972,238561,1152985,33
245,5512759,238912,1156371,35
276,5528590,239222,1159865,36
307,5543380,239491,1163347,37
337,5557907,239758,1166835,37
368,5572994,240022,1170071,37
399,5587069,240277,1173634,37
430,5601301,240540,1177274,37
460,5615534,240804,1180999,37
490,5629547,241050,1184471,37
521,5643637,241290,1187990,37
552,5657734,241517,1191542,37
583,5671923,241748,1195077,37
614,5686187,241982,1199044,37
644,5700540,242225,1202702,37
675,5716708,242511,1206140,38
706,5730845,242762,1210061,38
737,5744738,242994,1213729,38
767,5758692,243232,1217272,38
798,5772685,243471,1220775,38
829,5786722,243706,1224362,38
860,5800867,243937,1228059,38
890,5814904,244157,1231684,38
921,5828989,244380,1235436,38
951,5843398,244611,1239117,38
982,5857462,244845,1242644,38
1013,5871586,245082,1246189,38
1043,5887967,245315,1249774,38
1074,5902044,245538,1253734,38
1104,5919120,245829,1257295,39
1135,5933223,246077,1260960,39
1166,5947295,246317,1264539,39
1197,5961620,246578,1268119,39
1228,5975686,246822,1271818,39
1258,5991651,247107,1275395,40
1290,6005899,247341,1279093,40
1321,6020303,247597,1282783,40
1352,6034475,247836,1286309,40
1383,6049282,248086,1289857,40
1414,6063669,248347,1293343,40
1444,6078162,248618,1296964,40
1475,6092861,248887,1300656,40
1506,6107369,249154,1304221,40
1537,6121562,249430,1307657,40
1568,6136799,249731,1311347,41
1599,6151977,250002,1315207,41
1629,6166540,250263,1318855,41
1660,6181924,250577,1322543,42
1691,6195960,250839,1326148,42
1722,6210285,251102,1329688,42
1753,6224529,251378,1333486,42
1784,6238418,251644,1336792,42
1815,6252587,251898,1340572,42
1846,6267115,252191,1344310,43
1877,6281482,252445,1347990,43
1907,6295592,252718,1352053,43
1938,6309957,252993,1356603,43
1969,6322494,253242,1360338,43
2000,6334547,253473,1364454,43
2031,6345085,253674,1368309,43
2062,6359315,253941,1372017,43
2093,6373904,254201,1375752,43
2124,6389526,254501,1379472,44
2155,6403944,254758,1383134,44
2187,6418456,255016,1387140,44
2217,6432752,255279,1390779,44
2249,6447329,255545,1394435,44
2279,6461712,255795,1398026,44
