t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,104,668,0,772,772
0.101,9472,12244,0,21716,21716
0.201,9472,12244,0,21716,21716
0.302,9472,12244,0,21716,21716
0.402,9472,12244,0,21716,21716
0.502,9984,12244,0,22228,22228
0.603,9984,12244,0,22228,22228
0.703,9984,12244,0,22228,22228
0.803,9984,12244,0,22228,22228
0.904,9984,12244,0,22228,22228
1.004,9984,12244,0,22228,22228
1.104,9984,12244,0,22228,22228
1.205,10140,12244,0,22384,22384
1.305,10140,12244,0,22384,22384
1.405,10140,12244,0,22384,22384
1.506,10140,12244,0,22384,22384
1.606,10140,12244,0,22384,22384
1.706,10140,12244,0,22384,22384
1.807,10140,12244,0,22384,22384
1.907,10140,12244,0,22384,22384
2.008,10140,12244,0,22384,22384
2.108,10140,12244,0,22384,22384
2.208,10140,12244,0,22384,22384
2.308,10140,12244,0,22384,22384
2.409,10140,12244,0,22384,22384
2.509,10140,12244,0,22384,22384
2.610,10140,12244,0,22384,22384
2.710,10140,12244,0,22384,22384
2.810,10140,12244,0,22384,22384
2.911,10140,12244,0,22384,22384
3.011,10140,12244,0,22384,22384
3.111,10140,12244,0,22384,22384
3.212,10140,12244,0,22384,22384
3.312,10140,12244,0,22384,22384
3.412,10140,12244,0,22384,22384
3.513,10140,12244,0,22384,22384
3.613,10140,12244,0,22384,22384
3.713,10140,12244,0,22384,22384
3.814,10140,12244,0,22384,22384
3.914,10140,12244,0,22384,22384
4.014,10140,12244,0,22384,22384
4.115,10140,12244,0,22384,22384
4.215,10140,12244,0,22384,22384
4.315,10140,12244,0,22384,22384
4.416,10140,12244,0,22384,22384
4.516,10140,12244,0,22384,22384
4.616,10140,12244,0,22384,22384
4.717,10140,12244,0,22384,22384
4.817,10140,12244,0,22384,22384
4.917,10140,12244,0,22384,22384
5.018,10140,12244,0,22384,22384
5.118,10140,12244,0,22384,22384
5.218,10140,12244,0,22384,22384
5.319,10140,12244,0,22384,22384
5.419,10140,12244,0,22384,22384
5.519,10140,12244,0,22384,22384
5.620,10140,12244,0,22384,22384
5.720,10140,12244,0,22384,22384
5.820,10140,12244,0,22384,22384
5.921,10140,12244,0,22384,22384
6.021,10140,12244,0,22384,22384
6.121,162604,12808,0,175412,175412
6.222,270920,12808,0,283728,283728
6.322,377492,12808,0,390300,390300
6.422,479152,12808,0,491960,491960
6.523,564320,12808,0,577128,577128
6.623,658948,12808,0,671756,671756
6.723,761072,12808,0,773880,773880
6.824,859712,13064,0,872776,872776
6.924,811572,13064,0,824636,873296
7.025,811572,13128,0,824700,873296
7.126,811572,13128,0,824700,873296
7.229,811696,13256,0,824952,873296
7.332,811740,13256,0,824996,873296
7.433,811812,13256,0,825068,873296
7.534,811852,13256,0,825108,873296
7.634,812052,13256,0,825308,873296
7.734,910128,13256,0,923384,923384
7.835,1091044,13256,0,1104300,1104300
7.935,1267712,13256,0,1280968,1280968
8.035,1432660,13256,0,1445916,1445916
8.136,1609844,13256,0,1623100,1623100
8.236,812052,13256,0,825308,1622256
8.336,814952,13256,0,828208,1622256
8.437,814952,13256,0,828208,1622256
8.537,815000,13256,0,828256,1622256
8.637,815000,13256,0,828256,1622256
8.738,815000,13256,0,828256,1622256
8.838,815000,13256,0,828256,1622256
8.939,815000,13256,0,828256,1622256
9.039,815000,13256,0,828256,1622256
9.139,815000,13256,0,828256,1622256
9.240,815000,13256,0,828256,1622256
9.340,815000,13256,0,828256,1622256
9.440,815000,13256,0,828256,1622256
9.541,815000,13256,0,828256,1622256
9.641,815000,13256,0,828256,1622256
