bundle: data/bench-fixtures/1e8
grant mode: random (--dense, bench GrantShape::Random) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81     37289203       476317       709412      1.49  SERIAL
         natural/z4/s1      4         81     34600874       426800       856762      2.01  SERIAL
         natural/z4/s2      4         81     27137994       458567       787326      1.72  SERIAL
         natural/z4/s3      4         81     24555694       111640       719704      6.45  SERIAL
         natural/z4/s4      4         81     31847090       452450       738238      1.63  SERIAL
         natural/z4/s5      4         81     26738918       459999       750541      1.63  SERIAL
         natural/z4/s6      4         81     43241684       536215       847888      1.58  SERIAL
         natural/z4/s7      4         81     28718393       469963       933374      1.99  SERIAL
         natural/z5/s0      5        289     25573662       195622      1177623      6.02  SERIAL
         natural/z5/s1      5        289     29483588       203383       970728      4.77  SERIAL
         natural/z5/s2      5        289     20407718       809248      1064678      1.32  SERIAL
         natural/z5/s3      5        289     29334000       727629      1086927      1.49  SERIAL
         natural/z5/s4      5        289     33029584       205904      1071148      5.20  SERIAL
         natural/z5/s5      5        289     28589927       735373      1175618      1.60  SERIAL
         natural/z5/s6      5        289     37419143       775028      1242160      1.60  SERIAL
         natural/z5/s7      5        289     35596912       679828       972825      1.43  SERIAL
         natural/z6/s0      6        289     19014668       802746      1038951      1.29  SERIAL
         natural/z6/s1      6        289      8347029       169842      1025486      6.04  SERIAL
         natural/z6/s2      6        289      3880906       127734      1021356      8.00  SERIAL
         natural/z6/s3      6        289      4372600       152921      1111658      7.27  SERIAL
         natural/z6/s4      6        289     11083603       618974      1178283      1.90  SERIAL
         natural/z6/s5      6        289      4543225       185214       995639      5.38  SERIAL
         natural/z6/s6      6        289      7226987       140185       813638      5.80  SERIAL
         natural/z6/s7      6        289      3794451       168258       813828      4.84  SERIAL
         natural/z7/s0      7        289        47728        24783        24753      1.00     PAR
         natural/z7/s1      7        289      1436610       131035      1140463      8.70  SERIAL
         natural/z7/s2      7        289      2430183       128365      1089668      8.49  SERIAL
         natural/z7/s3      7        289      2502272       133408       992245      7.44  SERIAL
         natural/z7/s4      7        289       814276       143081      1054182      7.37  SERIAL
         natural/z7/s5      7        289        52351        26457        26497      1.00  SERIAL
         natural/z7/s6      7        289        81110        41636        41488      1.00     PAR
         natural/z7/s7      7        289       570640       100964       980015      9.71  SERIAL
         natural/z8/s0      8        289        97054        35332        34327      0.97     PAR
         natural/z8/s1      8        289      2361632       134891      1069268      7.93  SERIAL
         natural/z8/s2      8        289        30466        29126        28496      0.98     PAR
         natural/z8/s3      8        289       153109        35903        36406      1.01  SERIAL
         natural/z8/s4      8        289      2305344       273874       777898      2.84  SERIAL
         natural/z8/s5      8        289       146232        34623        34366      0.99     PAR
         natural/z8/s6      8        289       146814        34288        34209      1.00     PAR
         natural/z8/s7      8        289       995941       136817       559347      4.09  SERIAL
        natural/z10/s0     10        289            0        21266        21188      1.00     PAR
        natural/z10/s1     10        289         2465        34967        27708      0.79     PAR
        natural/z10/s2     10        289           57        29639        29333      0.99     PAR
        natural/z10/s3     10        289         9724        34140        34081      1.00     PAR
        natural/z10/s4     10        289        15750        30929        30821      1.00     PAR
        natural/z10/s5     10        289       619358       133478      1085223      8.13  SERIAL
        natural/z10/s6     10        289          114        22153        22143      1.00     PAR
        natural/z10/s7     10        289        12446        37961        30407      0.80     PAR
        natural/z12/s0     12        289          284        24842        24822      1.00     PAR
        natural/z12/s1     12        289         1809        27698        27699      1.00  SERIAL
        natural/z12/s2     12        289          308        30939        25058      0.81     PAR
        natural/z12/s3     12        289          353        24950        24871      1.00     PAR
        natural/z12/s4     12        289          238        24812        24763      1.00     PAR
        natural/z12/s5     12        289          782        27905        27836      1.00     PAR
        natural/z12/s6     12        289          477        26013        25984      1.00     PAR
        natural/z12/s7     12        289            0        21955        21956      1.00  SERIAL
        natural/z14/s0     14        289           75        23423        23423      1.00  SERIAL
        natural/z14/s1     14        289            0        22350        22852      1.02  SERIAL
        natural/z14/s2     14        289           81        23867        23857      1.00     PAR
        natural/z14/s3     14        289          113        24054        24024      1.00     PAR
        natural/z14/s4     14        289            0        22300        22990      1.03  SERIAL
        natural/z14/s5     14        289            0        23109        23147      1.00  SERIAL
        natural/z14/s6     14        289           59        26586        25629      0.96     PAR
        natural/z14/s7     14        289            6        23285        23157      0.99     PAR
        full-extent/z1      1          4    100000000      2078543      2165981      1.04  SERIAL
        full-extent/z2      2         16    100000000      1879500      1205436      0.64     PAR
        full-extent/z3      3         64    100000000      2218596      1107259      0.50     PAR
        full-extent/z4      4        256    100000000      1662061      1123161      0.68     PAR
        full-extent/z5      5       1024    100000000      3669669      1788837      0.49     PAR
