bundle: data/bench-fixtures/1e8
grant mode: spread (deterministic) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81     37289203      1302862       729616      0.56     PAR
         natural/z4/s1      4         81     34600874       674099       839075      1.24  SERIAL
         natural/z4/s2      4         81     27137994       657831       720615      1.10  SERIAL
         natural/z4/s3      4         81     24555694       455340       758750      1.67  SERIAL
         natural/z4/s4      4         81     31847090       875717       690177      0.79     PAR
         natural/z4/s5      4         81     26738918       986827      1134818      1.15  SERIAL
         natural/z4/s6      4         81     43241684      1861917      1504985      0.81     PAR
         natural/z4/s7      4         81     28718393       812286       871055      1.07  SERIAL
         natural/z5/s0      5        289     25573662      1157292      1102848      0.95     PAR
         natural/z5/s1      5        289     29483588       635330       906882      1.43  SERIAL
         natural/z5/s2      5        289     20407718      1293932       996199      0.77     PAR
         natural/z5/s3      5        289     29334000      1232622      1048543      0.85     PAR
         natural/z5/s4      5        289     33029584      1152879      1052762      0.91     PAR
         natural/z5/s5      5        289     28589927      1148259      1080887      0.94     PAR
         natural/z5/s6      5        289     37419143      1632736      1091442      0.67     PAR
         natural/z5/s7      5        289     35596912      1553784      1388339      0.89     PAR
         natural/z6/s0      6        289     19014668       579087      1029516      1.78  SERIAL
         natural/z6/s1      6        289      8347029       890437      1169362      1.31  SERIAL
         natural/z6/s2      6        289      3880906       198968       827863      4.16  SERIAL
         natural/z6/s3      6        289      4372600       424069       996435      2.35  SERIAL
         natural/z6/s4      6        289     11083603       336346      1034642      3.08  SERIAL
         natural/z6/s5      6        289      4543225       416817       963494      2.31  SERIAL
         natural/z6/s6      6        289      7226987       180570      1080947      5.99  SERIAL
         natural/z6/s7      6        289      3794451       497335      1019584      2.05  SERIAL
         natural/z7/s0      7        289        47728       100445       100661      1.00  SERIAL
         natural/z7/s1      7        289      1436610       352724       620254      1.76  SERIAL
         natural/z7/s2      7        289      2430183       224352       884569      3.94  SERIAL
         natural/z7/s3      7        289      2502272       260552       925102      3.55  SERIAL
         natural/z7/s4      7        289       814276       204555       994527      4.86  SERIAL
         natural/z7/s5      7        289        52351        48917        49567      1.01  SERIAL
         natural/z7/s6      7        289        81110        30203        30135      1.00     PAR
         natural/z7/s7      7        289       570640       110407       981664      8.89  SERIAL
         natural/z8/s0      8        289        97054        91369        93626      1.02  SERIAL
         natural/z8/s1      8        289      2361632       215246      1031389      4.79  SERIAL
         natural/z8/s2      8        289        30466        35002        40580      1.16  SERIAL
         natural/z8/s3      8        289       153109        58554        57785      0.99     PAR
         natural/z8/s4      8        289      2305344       144917       949191      6.55  SERIAL
         natural/z8/s5      8        289       146232       168134       169178      1.01  SERIAL
         natural/z8/s6      8        289       146814        41378        41328      1.00     PAR
         natural/z8/s7      8        289       995941       244258       844149      3.46  SERIAL
        natural/z10/s0     10        289            0        21482        21423      1.00     PAR
        natural/z10/s1     10        289         2465        28025        28203      1.01  SERIAL
        natural/z10/s2     10        289           57        22004        22034      1.00  SERIAL
        natural/z10/s3     10        289         9724        30036        29868      0.99     PAR
        natural/z10/s4     10        289        15750        30913        34480      1.12  SERIAL
        natural/z10/s5     10        289       619358      1743360       941685      0.54     PAR
        natural/z10/s6     10        289          114        21680        21689      1.00  SERIAL
        natural/z10/s7     10        289        12446        35811        35761      1.00     PAR
        natural/z12/s0     12        289          284        24941        24970      1.00  SERIAL
        natural/z12/s1     12        289         1809        47813        47744      1.00     PAR
        natural/z12/s2     12        289          308        29592        29562      1.00     PAR
        natural/z12/s3     12        289          353        31840        31810      1.00     PAR
        natural/z12/s4     12        289          238        27464        27494      1.00  SERIAL
        natural/z12/s5     12        289          782        38097        38166      1.00  SERIAL
        natural/z12/s6     12        289          477        26272        26320      1.00  SERIAL
        natural/z12/s7     12        289            0        21955        21975      1.00  SERIAL
        natural/z14/s0     14        289           75        23493        23483      1.00     PAR
        natural/z14/s1     14        289            0        22340        22359      1.00  SERIAL
        natural/z14/s2     14        289           81        24350        24359      1.00  SERIAL
        natural/z14/s3     14        289          113        24271        24300      1.00  SERIAL
        natural/z14/s4     14        289            0        22182        22191      1.00  SERIAL
        natural/z14/s5     14        289            0        22429        22419      1.00     PAR
        natural/z14/s6     14        289           59        23423        23444      1.00  SERIAL
        natural/z14/s7     14        289            6        22823        22763      1.00     PAR
        full-extent/z1      1          4    100000000      3278844      3590793      1.10  SERIAL
        full-extent/z2      2         16    100000000      2974156      2376354      0.80     PAR
        full-extent/z3      3         64    100000000      3185051      1687162      0.53     PAR
        full-extent/z4      4        256    100000000      5449035      5172403      0.95     PAR
        full-extent/z5      5       1024    100000000      6774100      1956922      0.29     PAR
