bundle: /home/user/code/tessera/data/bench-fixtures/1e9
grant mode: random (--dense, bench GrantShape::Random) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81    320953881       134955       695322      5.15  SERIAL
         natural/z4/s1      4         81    304609360       186590       693282      3.72  SERIAL
         natural/z4/s2      4         81    308795367       177337       679865      3.83  SERIAL
         natural/z4/s3      4         81    268542886       361524       733259      2.03  SERIAL
         natural/z4/s4      4         81    338883234       122167       676412      5.54  SERIAL
         natural/z4/s5      4         81    311552953       333317       628202      1.88  SERIAL
         natural/z4/s6      4         81    354900645       669185      1003486      1.50  SERIAL
         natural/z4/s7      4         81    304125009       298716       680925      2.28  SERIAL
         natural/z5/s0      5        289    224091122       312528      1213017      3.88  SERIAL
         natural/z5/s1      5        289    222855691       342115      1159299      3.39  SERIAL
         natural/z5/s2      5        289    270373877       446764      1256374      2.81  SERIAL
         natural/z5/s3      5        289    337896910       847804      1687165      1.99  SERIAL
         natural/z5/s4      5        289    241337571       991803      1654278      1.67  SERIAL
         natural/z5/s5      5        289    257209700       323396      1189948      3.68  SERIAL
         natural/z5/s6      5        289    309164943       889853      1571665      1.77  SERIAL
         natural/z5/s7      5        289    327056320       940237      1335770      1.42  SERIAL
         natural/z6/s0      6        289    113526570       211496      1231367      5.82  SERIAL
         natural/z6/s1      6        289     76793568       198786      1038648      5.22  SERIAL
         natural/z6/s2      6        289     54826319       283485      1018463      3.59  SERIAL
         natural/z6/s3      6        289     80902679       209377      1134891      5.42  SERIAL
         natural/z6/s4      6        289     97662231       514157      1050659      2.04  SERIAL
         natural/z6/s5      6        289     81583370       458300      1134057      2.47  SERIAL
         natural/z6/s6      6        289     46774936       185220      1090802      5.89  SERIAL
         natural/z6/s7      6        289     46401502       185643       916920      4.94  SERIAL
         natural/z7/s0      7        289     12306649       142856       846199      5.92  SERIAL
         natural/z7/s1      7        289     19904205       168984      1117455      6.61  SERIAL
         natural/z7/s2      7        289     15461427       389583      1097891      2.82  SERIAL
         natural/z7/s3      7        289     16674636       168609      1127250      6.69  SERIAL
         natural/z7/s4      7        289     14997198       577215      1129219      1.96  SERIAL
         natural/z7/s5      7        289     17752849       155634      1144265      7.35  SERIAL
         natural/z7/s6      7        289     13147339       161346      1132835      7.02  SERIAL
         natural/z7/s7      7        289      9422949       243091       983172      4.04  SERIAL
         natural/z8/s0      8        289      4687614       137880      1074717      7.79  SERIAL
         natural/z8/s1      8        289      4804014       139269       964198      6.92  SERIAL
         natural/z8/s2      8        289       932364       110580      1097968      9.93  SERIAL
         natural/z8/s3      8        289      4135063       126757      1101455      8.69  SERIAL
         natural/z8/s4      8        289      8563641       138786      1083486      7.81  SERIAL
         natural/z8/s5      8        289      2713383       154097       862270      5.60  SERIAL
         natural/z8/s6      8        289      1102400       119909       980216      8.17  SERIAL
         natural/z8/s7      8        289      9962559       151732       958354      6.32  SERIAL
        natural/z10/s0     10        289        10818        31517        32305      1.03  SERIAL
        natural/z10/s1     10        289        46849        34127        34798      1.02  SERIAL
        natural/z10/s2     10        289        41268        33616        34000      1.01  SERIAL
        natural/z10/s3     10        289       521879       130068      1029896      7.92  SERIAL
        natural/z10/s4     10        289        96894        36108        36916      1.02  SERIAL
        natural/z10/s5     10        289       770931       118433       978946      8.27  SERIAL
        natural/z10/s6     10        289       154301        37291        39290      1.05  SERIAL
        natural/z10/s7     10        289        60438        34118        35487      1.04  SERIAL
        natural/z12/s0     12        289         6985        31251        31813      1.02  SERIAL
        natural/z12/s1     12        289        27428        32956        33547      1.02  SERIAL
        natural/z12/s2     12        289         2325        30039        30590      1.02  SERIAL
        natural/z12/s3     12        289         2686        30118        30660      1.02  SERIAL
        natural/z12/s4     12        289        11094        32463        33133      1.02  SERIAL
        natural/z12/s5     12        289        19507        33448        34039      1.02  SERIAL
        natural/z12/s6     12        289        38970        34256        34522      1.01  SERIAL
        natural/z12/s7     12        289         2949        30275        30709      1.01  SERIAL
        natural/z14/s0     14        289          938        28532        28945      1.01  SERIAL
        natural/z14/s1     14        289          253        26098        26266      1.01  SERIAL
        natural/z14/s2     14        289         4060        30926        31655      1.02  SERIAL
        natural/z14/s3     14        289          447        26896        27320      1.02  SERIAL
        natural/z14/s4     14        289          536        27320        27773      1.02  SERIAL
        natural/z14/s5     14        289          183        25094        25172      1.00  SERIAL
        natural/z14/s6     14        289          240        25685        25921      1.01  SERIAL
        natural/z14/s7     14        289         1840        29734        30256      1.02  SERIAL
        full-extent/z1      1          4   1000000000      2335848      2160420      0.92     PAR
        full-extent/z2      2         16   1000000000      2587756      1864424      0.72     PAR
        full-extent/z3      3         64   1000000000      2485214      1351778      0.54     PAR
        full-extent/z4      4        256   1000000000      3157938      1824779      0.58     PAR
        full-extent/z5      5       1024   1000000000      5063810      3569067      0.70     PAR
