bundle: /home/user/code/tessera/data/bench-fixtures/1e9
grant mode: spread (deterministic) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81    320953881      1191272       911616      0.77     PAR
         natural/z4/s1      4         81    304609360      1069773      1182839      1.11  SERIAL
         natural/z4/s2      4         81    308795367      1320652       939959      0.71     PAR
         natural/z4/s3      4         81    268542886       391521       854180      2.18  SERIAL
         natural/z4/s4      4         81    338883234       981108       744636      0.76     PAR
         natural/z4/s5      4         81    311552953      2466607      1519437      0.62     PAR
         natural/z4/s6      4         81    354900645      1106943       792508      0.72     PAR
         natural/z4/s7      4         81    304125009      1419671      1398578      0.99     PAR
         natural/z5/s0      5        289    224091122       808198      1099939      1.36  SERIAL
         natural/z5/s1      5        289    222855691       491972      1013510      2.06  SERIAL
         natural/z5/s2      5        289    270373877      1845603      1153325      0.62     PAR
         natural/z5/s3      5        289    337896910      1564834      1247899      0.80     PAR
         natural/z5/s4      5        289    241337571       876740      1070215      1.22  SERIAL
         natural/z5/s5      5        289    257209700      1974383      1365192      0.69     PAR
         natural/z5/s6      5        289    309164943      1646976      1149460      0.70     PAR
         natural/z5/s7      5        289    327056320       872938      1096160      1.26  SERIAL
         natural/z6/s0      6        289    113526570       397403      1171765      2.95  SERIAL
         natural/z6/s1      6        289     76793568       831975      1013678      1.22  SERIAL
         natural/z6/s2      6        289     54826319       223069      1136379      5.09  SERIAL
         natural/z6/s3      6        289     80902679      1462594      1028830      0.70     PAR
         natural/z6/s4      6        289     97662231       453236      1085099      2.39  SERIAL
         natural/z6/s5      6        289     81583370      1693054      1078028      0.64     PAR
         natural/z6/s6      6        289     46774936       208804      1204006      5.77  SERIAL
         natural/z6/s7      6        289     46401502       575943      1151953      2.00  SERIAL
         natural/z7/s0      7        289     12306649       160818      1097466      6.82  SERIAL
         natural/z7/s1      7        289     19904205       376202       989206      2.63  SERIAL
         natural/z7/s2      7        289     15461427       212123      1140595      5.38  SERIAL
         natural/z7/s3      7        289     16674636       167664      1052778      6.28  SERIAL
         natural/z7/s4      7        289     14997198       263205      1002801      3.81  SERIAL
         natural/z7/s5      7        289     17752849       233187      1026998      4.40  SERIAL
         natural/z7/s6      7        289     13147339       158059      1129703      7.15  SERIAL
         natural/z7/s7      7        289      9422949       157084      1054659      6.71  SERIAL
         natural/z8/s0      8        289      4687614       219533      1046704      4.77  SERIAL
         natural/z8/s1      8        289      4804014       141803       984394      6.94  SERIAL
         natural/z8/s2      8        289       932364       117697      1170308      9.94  SERIAL
         natural/z8/s3      8        289      4135063       193584       931041      4.81  SERIAL
         natural/z8/s4      8        289      8563641       166629      1069437      6.42  SERIAL
         natural/z8/s5      8        289      2713383       199297       952735      4.78  SERIAL
         natural/z8/s6      8        289      1102400       123982       953691      7.69  SERIAL
         natural/z8/s7      8        289      9962559       156148       823380      5.27  SERIAL
        natural/z10/s0     10        289        10818        33200        33130      1.00     PAR
        natural/z10/s1     10        289        46849        35850        35722      1.00     PAR
        natural/z10/s2     10        289        41268        35801        35958      1.00  SERIAL
        natural/z10/s3     10        289       521879       143193      1021972      7.14  SERIAL
        natural/z10/s4     10        289        96894       571411       614186      1.07  SERIAL
        natural/z10/s5     10        289       770931       147183       924143      6.28  SERIAL
        natural/z10/s6     10        289       154301        39042        39101      1.00  SERIAL
        natural/z10/s7     10        289        60438        41662        41770      1.00  SERIAL
        natural/z12/s0     12        289         6985        33013        33042      1.00  SERIAL
        natural/z12/s1     12        289        27428        48923        48687      1.00     PAR
        natural/z12/s2     12        289         2325        32175        32254      1.00  SERIAL
        natural/z12/s3     12        289         2686        37318        37377      1.00  SERIAL
        natural/z12/s4     12        289        11094        35436        35387      1.00     PAR
        natural/z12/s5     12        289        19507        35525        35593      1.00  SERIAL
        natural/z12/s6     12        289        38970        35407        35613      1.01  SERIAL
        natural/z12/s7     12        289         2949        31869        31870      1.00  SERIAL
        natural/z14/s0     14        289          938        30047        30097      1.00  SERIAL
        natural/z14/s1     14        289          253        28067        28106      1.00  SERIAL
        natural/z14/s2     14        289         4060        32717        32747      1.00  SERIAL
        natural/z14/s3     14        289          447        28462        28304      0.99     PAR
        natural/z14/s4     14        289          536        28639        28846      1.01  SERIAL
        natural/z14/s5     14        289          183        26077        26067      1.00     PAR
        natural/z14/s6     14        289          240        27190        27338      1.01  SERIAL
        natural/z14/s7     14        289         1840        29584        29702      1.00  SERIAL
        full-extent/z1      1          4   1000000000      3134741      3157616      1.01  SERIAL
        full-extent/z2      2         16   1000000000      3109156      2600981      0.84     PAR
        full-extent/z3      3         64   1000000000      3416140      2189951      0.64     PAR
        full-extent/z4      4        256   1000000000      4418203      2152924      0.49     PAR
        full-extent/z5      5       1024   1000000000      7008390      2502704      0.36     PAR
