bundle: data/bench-fixtures/2m4
grant mode: random (--dense, bench GrantShape::Random) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81      1752940      1380892       670351      0.49     PAR
         natural/z4/s1      4         81      1724471      1262194       775549      0.61     PAR
         natural/z4/s2      4         81      1403195      1045292       652055      0.62     PAR
         natural/z4/s3      4         81      1333397      1115978       829480      0.74     PAR
         natural/z4/s4      4         81      1233150      1014453       635229      0.63     PAR
         natural/z4/s5      4         81      1017215       712610       605816      0.85     PAR
         natural/z4/s6      4         81      1699150      1536597       707140      0.46     PAR
         natural/z4/s7      4         81      1530336      1081659       736169      0.68     PAR
         natural/z5/s0      5        289      1228921      1585920      1064752      0.67     PAR
         natural/z5/s1      5        289      1123655      1475007      1076615      0.73     PAR
         natural/z5/s2      5        289       841415       901962       918640      1.02  SERIAL
         natural/z5/s3      5        289      1031789      1549456       921792      0.59     PAR
         natural/z5/s4      5        289      1544831      2156050      1094010      0.51     PAR
         natural/z5/s5      5        289      1566784      2210643      1075177      0.49     PAR
         natural/z5/s6      5        289      1682345      2973543      1148137      0.39     PAR
         natural/z5/s7      5        289       863764      1536015       868605      0.57     PAR
         natural/z6/s0      6        289       431579      1672794       983406      0.59     PAR
         natural/z6/s1      6        289       437968       918969       916806      1.00     PAR
         natural/z6/s2      6        289       104282       381543       382085      1.00  SERIAL
         natural/z6/s3      6        289       142965        46043        46703      1.01  SERIAL
         natural/z6/s4      6        289       319129      1325721       901559      0.68     PAR
         natural/z6/s5      6        289       166237        55856        51501      0.92     PAR
         natural/z6/s6      6        289       154700       468781       468682      1.00     PAR
         natural/z6/s7      6        289       507171      1189750       926417      0.78     PAR
         natural/z7/s0      7        289        47697        36959        36968      1.00  SERIAL
         natural/z7/s1      7        289        18181        33155        33205      1.00  SERIAL
         natural/z7/s2      7        289        10073        34643        34535      1.00     PAR
         natural/z7/s3      7        289           48        23696        23706      1.00  SERIAL
         natural/z7/s4      7        289        70822        52319        50013      0.96     PAR
         natural/z7/s5      7        289        45833       219847       216546      0.98     PAR
         natural/z7/s6      7        289          200        38564        38367      0.99     PAR
         natural/z7/s7      7        289          661        29470        29519      1.00  SERIAL
         natural/z8/s0      8        289        34388       529937       524557      0.99     PAR
         natural/z8/s1      8        289            0        21224        21272      1.00  SERIAL
         natural/z8/s2      8        289        29901       424472       419852      0.99     PAR
         natural/z8/s3      8        289           62        21292        21400      1.01  SERIAL
         natural/z8/s4      8        289        19515       361985       344683      0.95     PAR
         natural/z8/s5      8        289        41260       602622       599351      0.99     PAR
         natural/z8/s6      8        289         4499        89425        89415      1.00     PAR
         natural/z8/s7      8        289        53297       693545       691682      1.00     PAR
        natural/z10/s0     10        289            0        21578        21598      1.00  SERIAL
        natural/z10/s1     10        289            0        21479        21509      1.00  SERIAL
        natural/z10/s2     10        289            0        21391        21352      1.00     PAR
        natural/z10/s3     10        289           76        21794        21774      1.00     PAR
        natural/z10/s4     10        289            0        21489        21499      1.00  SERIAL
        natural/z10/s5     10        289           61        29579        29589      1.00  SERIAL
        natural/z10/s6     10        289           98        38387        38594      1.01  SERIAL
        natural/z10/s7     10        289            0        21716        21755      1.00  SERIAL
        natural/z12/s0     12        289          282       483452       481412      1.00     PAR
        natural/z12/s1     12        289         1634       457558       458790      1.00  SERIAL
        natural/z12/s2     12        289          308        37362        35057      0.94     PAR
        natural/z12/s3     12        289           25        88617        88459      1.00     PAR
        natural/z12/s4     12        289          135       203758       204940      1.01  SERIAL
        natural/z12/s5     12        289           10        24179        24149      1.00     PAR
        natural/z12/s6     12        289            0        22278        22228      1.00     PAR
        natural/z12/s7     12        289            0        22288        22179      1.00     PAR
        natural/z14/s0     14        289            0        22484        22445      1.00     PAR
        natural/z14/s1     14        289            0        22602        22435      0.99     PAR
        natural/z14/s2     14        289            0        22435        22425      1.00     PAR
        natural/z14/s3     14        289            0        22484        22475      1.00     PAR
        natural/z14/s4     14        289            0        22179        22238      1.00  SERIAL
        natural/z14/s5     14        289            0        22376        22385      1.00  SERIAL
        natural/z14/s6     14        289            0        22435        22386      1.00     PAR
        natural/z14/s7     14        289            0        22070        22080      1.00  SERIAL
        full-extent/z1      1          4      2422486      1344116      1106406      0.82     PAR
        full-extent/z2      2         16      2422486      1156286       741440      0.64     PAR
        full-extent/z3      3         64      2422486      1337362       830187      0.62     PAR
        full-extent/z4      4        256      2422486      1891922      1035953      0.55     PAR
        full-extent/z5      5       1024      2422486      4479023      1627333      0.36     PAR
