bundle: data/bench-fixtures/2m4
grant mode: spread (deterministic) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81      1752940      2309478       696026      0.30     PAR
         natural/z4/s1      4         81      1724471      1865746       857966      0.46     PAR
         natural/z4/s2      4         81      1403195      1565840       738306      0.47     PAR
         natural/z4/s3      4         81      1333397      1432186       880676      0.61     PAR
         natural/z4/s4      4         81      1233150      1358684       677204      0.50     PAR
         natural/z4/s5      4         81      1017215      1279860       670902      0.52     PAR
         natural/z4/s6      4         81      1699150      2019479       751691      0.37     PAR
         natural/z4/s7      4         81      1530336      1715890       839487      0.49     PAR
         natural/z5/s0      5        289      1228921      2982498      1251791      0.42     PAR
         natural/z5/s1      5        289      1123655      2096538      1186369      0.57     PAR
         natural/z5/s2      5        289       841415      1710831       951844      0.56     PAR
         natural/z5/s3      5        289      1031789      1898749       949951      0.50     PAR
         natural/z5/s4      5        289      1544831      3072485      1202485      0.39     PAR
         natural/z5/s5      5        289      1566784      2805019      1392021      0.50     PAR
         natural/z5/s6      5        289      1682345      5980111      1470017      0.25     PAR
         natural/z5/s7      5        289       863764      1983160      1454375      0.73     PAR
         natural/z6/s0      6        289       431579      2658447      2174938      0.82     PAR
         natural/z6/s1      6        289       437968      1820115      1193461      0.66     PAR
         natural/z6/s2      6        289       104282       489551       455184      0.93     PAR
         natural/z6/s3      6        289       142965       537416       525061      0.98     PAR
         natural/z6/s4      6        289       319129      1138269      1014703      0.89     PAR
         natural/z6/s5      6        289       166237       550993       541248      0.98     PAR
         natural/z6/s6      6        289       154700       571072       563673      0.99     PAR
         natural/z6/s7      6        289       507171      1734791      1084265      0.63     PAR
         natural/z7/s0      7        289        47697       403623       389977      0.97     PAR
         natural/z7/s1      7        289        18181       274817       273122      0.99     PAR
         natural/z7/s2      7        289        10073       127506       119802      0.94     PAR
         natural/z7/s3      7        289           48        23509        23559      1.00  SERIAL
         natural/z7/s4      7        289        70822       415131       397505      0.96     PAR
         natural/z7/s5      7        289        45833       188367       184643      0.98     PAR
         natural/z7/s6      7        289          200        37815        37786      1.00     PAR
         natural/z7/s7      7        289          661        43008        42919      1.00     PAR
         natural/z8/s0      8        289        34388       321756       337846      1.05  SERIAL
         natural/z8/s1      8        289            0        21154        21105      1.00     PAR
         natural/z8/s2      8        289        29901       541751       519474      0.96     PAR
         natural/z8/s3      8        289           62        28199        28277      1.00  SERIAL
         natural/z8/s4      8        289        19515       376597       371129      0.99     PAR
         natural/z8/s5      8        289        41260       629452       607303      0.96     PAR
         natural/z8/s6      8        289         4499        90587        90646      1.00  SERIAL
         natural/z8/s7      8        289        53297       674558       648783      0.96     PAR
        natural/z10/s0     10        289            0        21371        21312      1.00     PAR
        natural/z10/s1     10        289            0        21233        21214      1.00     PAR
        natural/z10/s2     10        289            0        21322        21312      1.00     PAR
        natural/z10/s3     10        289           76        29017        28957      1.00     PAR
        natural/z10/s4     10        289            0        21312        21302      1.00     PAR
        natural/z10/s5     10        289           61        30445        29332      0.96     PAR
        natural/z10/s6     10        289           98        37727        37746      1.00  SERIAL
        natural/z10/s7     10        289            0        21470        21490      1.00  SERIAL
        natural/z12/s0     12        289          282       485107       484624      1.00     PAR
        natural/z12/s1     12        289         1634       467470       469372      1.00  SERIAL
        natural/z12/s2     12        289          308        30377        30288      1.00     PAR
        natural/z12/s3     12        289           25        89484        89336      1.00     PAR
        natural/z12/s4     12        289          135       203285       204556      1.01  SERIAL
        natural/z12/s5     12        289           10        24613        24602      1.00     PAR
        natural/z12/s6     12        289            0        22179        22149      1.00     PAR
        natural/z12/s7     12        289            0        22129        22169      1.00  SERIAL
        natural/z14/s0     14        289            0        22533        22366      0.99     PAR
        natural/z14/s1     14        289            0        22513        22484      1.00     PAR
        natural/z14/s2     14        289            0        22386        22405      1.00  SERIAL
        natural/z14/s3     14        289            0        22189        22218      1.00  SERIAL
        natural/z14/s4     14        289            0        22356        22278      1.00     PAR
        natural/z14/s5     14        289            0        22258        22218      1.00     PAR
        natural/z14/s6     14        289            0        22317        22317      1.00  SERIAL
        natural/z14/s7     14        289            0        22051        22021      1.00     PAR
        full-extent/z1      1          4      2422486      1784181      1798414      1.01  SERIAL
        full-extent/z2      2         16      2422486      1964390      1263367      0.64     PAR
        full-extent/z3      3         64      2422486      2280086       950301      0.42     PAR
        full-extent/z4      4        256      2422486      3030704      1177409      0.39     PAR
        full-extent/z5      5       1024      2422486      5514867      1583397      0.29     PAR
