bundle: /home/user/code/tessera/data/bench-fixtures/1e9
grant mode: spread (deterministic) (w=10)

                 shape   zoom      tiles  rows_in_rng    serial_ns       par_ns     ratio  winner
----------------------------------------------------------------------------------------------------
         natural/z4/s0      4         81    303173705      2360973      1200483      0.51     PAR
         natural/z4/s1      4         81    283410719      1961521      1607576      0.82     PAR
         natural/z4/s2      4         81    271097582      2575655      1027875      0.40     PAR
         natural/z4/s3      4         81    216726599       735502       864078      1.17  SERIAL
         natural/z4/s4      4         81    293620575      1736231       907952      0.52     PAR
         natural/z4/s5      4         81    267300276      3656055      2060236      0.56     PAR
         natural/z4/s6      4         81    328113663      2322503      1265815      0.55     PAR
         natural/z4/s7      4         81    282221299      2030494      1897665      0.93     PAR
         natural/z5/s0      5        289    140986057      1790784      1807381      1.01  SERIAL
         natural/z5/s1      5        289    115685740      1112230      1256512      1.13  SERIAL
         natural/z5/s2      5        289    195297223      3429091      2319583      0.68     PAR
         natural/z5/s3      5        289    254247029      2296652      1272902      0.55     PAR
         natural/z5/s4      5        289    185101681      1692374      1278713      0.76     PAR
         natural/z5/s5      5        289    199595757      2735811      1874728      0.69     PAR
         natural/z5/s6      5        289    251760075      2664204      1582082      0.59     PAR
         natural/z5/s7      5        289    212983058      1804531      1690411      0.94     PAR
         natural/z6/s0      6        289     63189256      1084538      1260306      1.16  SERIAL
         natural/z6/s1      6        289     52933625      1471806      1210064      0.82     PAR
         natural/z6/s2      6        289     14528769       620675       828437      1.33  SERIAL
         natural/z6/s3      6        289     54757970      2544665      1440151      0.57     PAR
         natural/z6/s4      6        289     47726164       858466      1339208      1.56  SERIAL
         natural/z6/s5      6        289     58196625      2127172      1352970      0.64     PAR
         natural/z6/s6      6        289      5887843       637539      1069503      1.68  SERIAL
         natural/z6/s7      6        289     32833323      1182679      1298917      1.10  SERIAL
         natural/z7/s0      7        289      1722294       302944       738832      2.44  SERIAL
         natural/z7/s1      7        289      3626990       725309      1011536      1.39  SERIAL
         natural/z7/s2      7        289       556573       274885      1037457      3.77  SERIAL
         natural/z7/s3      7        289            0       501908       696898      1.39  SERIAL
         natural/z7/s4      7        289      6996189       651802      1351357      2.07  SERIAL
         natural/z7/s5      7        289      3788216       457618       858564      1.88  SERIAL
         natural/z7/s6      7        289            0       273490      1139912      4.17  SERIAL
         natural/z7/s7      7        289        81587       330874      1334690      4.03  SERIAL
         natural/z8/s0      8        289      1870261       358784       611751      1.71  SERIAL
         natural/z8/s1      8        289            0       356013       823094      2.31  SERIAL
         natural/z8/s2      8        289        33891       295799       843333      2.85  SERIAL
         natural/z8/s3      8        289       782611       455471       695775      1.53  SERIAL
         natural/z8/s4      8        289      1665779       319404      1303569      4.08  SERIAL
         natural/z8/s5      8        289      1289705       480421      1263638      2.63  SERIAL
         natural/z8/s6      8        289        87905       261782       527434      2.01  SERIAL
         natural/z8/s7      8        289       155636       263355      1008706      3.83  SERIAL
        natural/z10/s0     10        289            0        36778        33235      0.90     PAR
        natural/z10/s1     10        289            0        42360        35482      0.84     PAR
        natural/z10/s2     10        289            0        43291        36144      0.83     PAR
        natural/z10/s3     10        289        22955       177270       852706      4.81  SERIAL
        natural/z10/s4     10        289        75809       743291       642607      0.86     PAR
        natural/z10/s5     10        289            0       177863      1032330      5.80  SERIAL
        natural/z10/s6     10        289            0        75041        61571      0.82     PAR
        natural/z10/s7     10        289         1139        71893        62709      0.87     PAR
        natural/z12/s0     12        289            0        49249        49001      0.99     PAR
        natural/z12/s1     12        289         4659        80049        70290      0.88     PAR
        natural/z12/s2     12        289            0        50783        47448      0.93     PAR
        natural/z12/s3     12        289           75        57869        54811      0.95     PAR
        natural/z12/s4     12        289            0        69637        51386      0.74     PAR
        natural/z12/s5     12        289            0        54791        49862      0.91     PAR
        natural/z12/s6     12        289            0        73556        49833      0.68     PAR
        natural/z12/s7     12        289            0        47012        44251      0.94     PAR
        natural/z14/s0     14        289            0        56484        43053      0.76     PAR
        natural/z14/s1     14        289            0        47091        42341      0.90     PAR
        natural/z14/s2     14        289            0        49358        46101      0.93     PAR
        natural/z14/s3     14        289            0        44310        41648      0.94     PAR
        natural/z14/s4     14        289            0        47289        41033      0.87     PAR
        natural/z14/s5     14        289            0        40915        37253      0.91     PAR
        natural/z14/s6     14        289            0        43973        40262      0.92     PAR
        natural/z14/s7     14        289            0        46922        43607      0.93     PAR
        full-extent/z1      1          4   1000000000      3838461      3662052      0.95     PAR
        full-extent/z2      2         16    961157148      3742368      3037433      0.81     PAR
        full-extent/z3      3         64    790642506      4152041      2579406      0.62     PAR
        full-extent/z4      4        256    656751119      4870232      2538400      0.52     PAR
        full-extent/z5      5       1024    502102102      7614233      4791051      0.63     PAR
