principal,terms,visible_total,fraction,depth,tiles_resolved,tiles_nonempty,sigma_visible,points_gathered,server_us,count_us,select_us,gather_us,refused
narrow,1,1205,1,0,1,1,1205,9,27,0,20,0,
narrow,1,1205,1,1,4,4,1205,63,32,0,20,1,
narrow,1,1205,1,2,16,10,1205,260,45,0,21,6,
narrow,1,1205,1,3,64,21,1205,1028,96,1,24,26,
narrow,1,1205,1,4,256,49,1205,1205,183,3,23,32,
narrow,1,1205,1,5,1024,109,1205,1205,386,7,32,36,
narrow,1,1205,1,6,4096,236,1205,1205,2621,22,107,153,
narrow,1,1205,1,7,16384,413,1205,1205,6082,31,128,156,
narrow,1,1205,1,8,65536,623,1205,1205,17961,50,167,205,
narrow,1,1205,1,9,262144,802,1205,1205,45765,56,316,375,
narrow,1,1205,1/4,0,1,1,1205,9,32,0,23,0,
narrow,1,1205,1/4,1,4,4,1205,63,29,0,20,1,
narrow,1,1205,1/4,2,9,7,1197,254,38,0,20,5,
narrow,1,1205,1/4,3,25,18,1197,1020,75,1,23,25,
narrow,1,1205,1/4,4,81,45,1197,1197,126,3,23,31,
narrow,1,1205,1/4,5,289,101,1192,1192,230,8,39,52,
narrow,1,1205,1/4,6,1089,225,1190,1190,418,14,45,44,
narrow,1,1205,1/4,7,4225,398,1181,1181,2377,55,123,118,
narrow,1,1205,1/4,8,16641,604,1181,1181,5378,52,188,213,
narrow,1,1205,1/4,9,66049,781,1181,1181,14361,61,200,239,
narrow,1,1205,1/16,0,1,1,1205,9,33,0,23,0,
narrow,1,1205,1/16,1,4,4,1205,63,29,0,20,1,
narrow,1,1205,1/16,2,4,4,1181,248,32,0,19,4,
narrow,1,1205,1/16,3,9,9,808,697,41,0,13,14,
narrow,1,1205,1/16,4,25,24,802,802,47,1,10,18,
narrow,1,1205,1/16,5,81,55,789,789,84,3,15,21,
narrow,1,1205,1/16,6,289,131,762,762,145,7,23,26,
narrow,1,1205,1/16,7,1089,252,744,744,345,15,41,34,
narrow,1,1205,1/16,8,4225,395,736,736,1565,30,98,88,
narrow,1,1205,1/16,9,16641,514,732,732,2444,40,126,112,
medium,1,19327,1,0,1,1,19327,18,131,0,121,0,
medium,1,19327,1,1,4,4,19327,65,253,0,238,2,
medium,1,19327,1,2,16,9,19327,298,356,1,310,11,
medium,1,19327,1,3,64,20,19327,1059,446,2,322,34,
medium,1,19327,1,4,256,48,19327,3679,823,4,439,117,
medium,1,19327,1,5,1024,132,19327,11970,1706,13,534,397,
medium,1,19327,1,6,4096,325,19327,16040,3007,44,612,649,
medium,1,19327,1,7,16384,787,19327,18317,6667,87,669,724,
medium,1,19327,1,8,65536,1813,19327,19327,18150,174,796,1014,
medium,1,19327,1,9,262144,3652,19327,19327,44670,322,1278,1626,
medium,1,19327,1/4,0,1,1,19327,18,150,0,147,1,
medium,1,19327,1/4,1,4,4,19327,65,257,0,241,2,
medium,1,19327,1/4,2,9,6,19299,293,302,1,277,10,
medium,1,19327,1/4,3,25,16,19299,1052,370,1,312,26,
medium,1,19327,1/4,4,81,41,19298,3666,584,4,452,77,
