principal,terms,visible_total,fraction,depth,tiles_resolved,tiles_nonempty,sigma_visible,points_gathered,server_us,count_us,select_us,gather_us,refused
narrow,1,243,1,0,1,1,243,14,5,0,3,0,
narrow,1,243,1,1,4,3,243,57,7,0,3,1,
narrow,1,243,1,2,16,6,243,243,14,0,2,4,
narrow,1,243,1,3,64,13,243,243,22,0,3,4,
narrow,1,243,1,4,256,27,243,243,62,1,5,6,
narrow,1,243,1,5,1024,47,243,243,296,2,10,12,
narrow,1,243,1,6,4096,74,243,243,914,5,53,25,
narrow,1,243,1,7,16384,110,243,243,2453,7,41,35,
narrow,1,243,1,8,65536,159,243,243,4872,10,51,47,
narrow,1,243,1,9,262144,193,243,243,23964,11,76,104,
narrow,1,243,1/4,0,1,1,243,14,7,0,3,0,
narrow,1,243,1/4,1,4,3,243,57,7,0,3,1,
narrow,1,243,1/4,2,9,4,238,238,16,0,3,4,
narrow,1,243,1/4,3,25,11,238,238,16,0,3,4,
narrow,1,243,1/4,4,81,25,238,238,32,1,4,5,
narrow,1,243,1/4,5,289,44,237,237,88,2,7,7,
narrow,1,243,1/4,6,1089,71,237,237,277,3,13,11,
narrow,1,243,1/4,7,4225,107,237,237,1803,8,46,31,
narrow,1,243,1/4,8,16641,156,237,237,2408,10,60,51,
narrow,1,243,1/4,9,66049,190,237,237,6018,11,85,71,
narrow,1,243,1/16,0,1,1,243,14,7,0,3,0,
narrow,1,243,1/16,1,4,3,243,57,7,0,3,1,
narrow,1,243,1/16,2,4,3,237,237,11,0,2,3,
narrow,1,243,1/16,3,9,7,97,97,7,0,1,1,
narrow,1,243,1/16,4,25,10,92,92,10,0,1,2,
narrow,1,243,1/16,5,81,17,83,83,23,0,2,2,
narrow,1,243,1/16,6,289,22,80,80,72,1,3,2,
narrow,1,243,1/16,7,1089,33,79,79,240,1,7,8,
narrow,1,243,1/16,8,4225,44,73,73,888,3,23,16,
narrow,1,243,1/16,9,16641,53,73,73,1743,3,28,19,
medium,1,12465,1,0,1,1,12465,15,149,0,143,0,
medium,1,12465,1,1,4,4,12465,61,191,0,143,2,
medium,1,12465,1,2,16,9,12465,233,252,1,381,13,
medium,1,12465,1,3,64,25,12465,994,328,2,250,47,
medium,1,12465,1,4,256,73,12465,2921,586,5,274,140,
medium,1,12465,1,5,1024,152,12465,7508,1279,12,286,304,
medium,1,12465,1,6,4096,294,12465,10606,1848,44,443,627,
medium,1,12465,1,7,16384,599,12465,11964,2923,57,417,479,
medium,1,12465,1,8,65536,1186,12465,12296,6605,141,694,1011,
medium,1,12465,1,9,262144,2262,12465,12465,26358,191,837,1306,
medium,1,12465,1/4,0,1,1,12465,15,127,0,109,0,
medium,1,12465,1/4,1,4,4,12465,61,156,0,142,2,
medium,1,12465,1/4,2,9,7,12346,227,225,1,187,10,
medium,1,12465,1/4,3,25,19,12114,962,336,2,212,45,
medium,1,12465,1/4,4,81,51,6793,1662,287,4,165,67,
medium,1,12465,1/4,5,289,105,5354,3129,439,7,103,117,
medium,1,12465,1/4,6,1089,182,3371,3220,921,11,75,78,
medium,1,12465,1/4,7,4225,312,2562,2562,1411,26,115,128,
medium,1,12465,1/4,8,16641,496,2372,2372,2205,35,142,163,
medium,1,12465,1/4,9,66049,748,2277,2277,6445,58,211,281,
medium,1,12465,1/16,0,1,1,12465,15,117,0,102,0,
medium,1,12465,1/16,1,4,4,12465,61,171,0,190,4,
medium,1,12465,1/16,2,4,4,2174,38,48,0,35,1,
medium,1,12465,1/16,3,9,8,547,36,15,0,7,0,
medium,1,12465,1/16,4,25,20,282,89,17,0,5,2,
medium,1,12465,1/16,5,81,33,209,209,38,1,5,5,
medium,1,12465,1/16,6,289,49,169,169,87,2,7,6,
medium,1,12465,1/16,7,1089,61,152,152,220,2,8,7,
medium,1,12465,1/16,8,4225,77,148,148,1553,4,30,24,
medium,1,12465,1/16,9,16641,91,147,147,1628,5,37,27,
broad,1,181900,1,0,1,1,181900,18,872,0,960,3,
broad,1,181900,1,1,4,4,181900,68,903,2,893,2,
broad,1,181900,1,2,16,14,181900,258,1020,14,1321,27,
broad,1,181900,1,3,64,32,181900,1023,1706,22,1383,28,
broad,1,181900,1,4,256,94,181900,4167,2676,74,2326,143,
broad,1,181900,1,5,1024,243,181900,15325,5161,227,3767,633,
broad,1,181900,1,6,4096,629,181900,57097,3672,996,5942,2927,
broad,1,181900,1,7,16384,1673,181900,149995,5664,2587,5181,4960,
broad,1,181900,1,8,65536,4625,181900,173383,15596,8676,5430,6660,
broad,1,181900,1,9,262144,12418,181900,180141,33808,21168,6110,6526,
broad,1,181900,1/4,0,1,1,181900,18,753,0,672,0,
broad,1,181900,1/4,1,4,4,181900,68,875,2,859,2,
broad,1,181900,1/4,2,9,8,179925,245,933,6,914,7,
broad,1,181900,1/4,3,25,22,179925,995,1419,15,1340,23,
broad,1,181900,1/4,4,81,65,179910,4084,2529,68,2209,82,
broad,1,181900,1/4,5,289,191,179273,15033,4576,191,3516,425,
broad,1,181900,1/4,6,1089,552,178353,55763,8155,616,4763,1907,
broad,1,181900,1/4,7,4225,1552,178139,147098,4233,2956,5133,4992,
broad,1,181900,1/4,8,16641,4452,178107,170154,5722,7231,4891,4637,
broad,1,181900,1/4,9,66049,12177,178090,176783,11505,20385,5463,5759,
broad,1,181900,1/16,0,1,1,181900,18,611,0,586,0,
broad,1,181900,1/16,1,4,4,181900,68,895,2,886,2,
broad,1,181900,1/16,2,4,4,178078,236,880,3,846,5,
broad,1,181900,1/16,3,9,9,127625,703,922,7,886,18,
broad,1,181900,1/16,4,25,25,127305,2867,1613,26,1478,55,
broad,1,181900,1/16,5,81,79,123537,10127,2800,100,2231,193,
broad,1,181900,1/16,6,289,248,120105,35859,5054,297,3031,754,
broad,1,181900,1/16,7,1089,759,115101,93863,7776,980,2630,2011,
broad,1,181900,1/16,8,4225,2372,110556,106516,2816,3927,2769,3000,
broad,1,181900,1/16,9,16641,6990,108496,108108,5522,12740,3165,3500,
everything,176,2422486,1,0,1,1,2422486,17,2017,2,2006,3,
everything,176,2422486,1,1,4,4,2422486,50,2683,7,2606,5,
everything,176,2422486,1,2,16,16,2422486,265,3914,31,3847,29,
everything,176,2422486,1,3,64,55,2422486,1086,6435,92,6248,103,
everything,176,2422486,1,4,256,192,2422486,4248,13109,308,12293,331,
everything,176,2422486,1,5,1024,605,2422486,16675,27512,990,24874,1128,
everything,176,2422486,1,6,4096,1734,2422486,66230,7069,3482,47619,4287,
everything,176,2422486,1,7,16384,5170,2422486,262589,17128,10093,61692,10322,
everything,176,2422486,1,8,65536,16543,2422486,1025467,46624,34523,67899,27953,
everything,176,2422486,1,9,262144,54157,2422486,2348286,119609,117285,46024,62594,
everything,176,2422486,1/4,0,1,1,2422486,17,2171,2,1981,2,
everything,176,2422486,1/4,1,4,4,2422486,50,2803,8,2865,9,
everything,176,2422486,1/4,2,9,9,2024521,214,2863,17,2784,14,
everything,176,2422486,1/4,3,25,25,2021187,874,4687,41,4488,56,
everything,176,2422486,1/4,4,81,81,1920937,3237,8952,128,8541,200,
everything,176,2422486,1/4,5,289,281,1831587,12332,19146,458,17719,819,
everything,176,2422486,1/4,6,1089,985,1781371,48300,36582,1561,31234,2874,
everything,176,2422486,1/4,7,4225,3393,1745511,188811,8001,6640,44610,7006,
everything,176,2422486,1/4,8,16641,11649,1722815,732824,29025,24287,47992,17894,
everything,176,2422486,1/4,9,66049,39540,1712741,1675679,59264,79347,30180,37244,
everything,176,2422486,1/16,0,1,1,2422486,17,2513,3,2449,5,
everything,176,2422486,1/16,1,4,4,2422486,50,3163,8,3126,11,
everything,176,2422486,1/16,2,4,4,1702670,181,2455,10,2516,29,
everything,176,2422486,1/16,3,9,9,958711,414,2366,13,1956,38,
everything,176,2422486,1/16,4,25,25,741070,1279,3320,44,3352,110,
everything,176,2422486,1/16,5,81,81,635027,4239,6905,132,6913,378,
everything,176,2422486,1/16,6,289,284,589458,16167,13217,469,10942,1393,
everything,176,2422486,1/16,7,1089,996,562191,60947,20149,1706,14250,2253,
everything,176,2422486,1/16,8,4225,3564,549513,237177,6757,6903,15367,6105,
everything,176,2422486,1/16,9,16641,12604,544260,540548,23947,23122,9488,12564,
