principal,visible_total,zoom,tiles,offset,cells_per_tile,cells_evaluated,cells_emitted,underlay_us,total_us,us_per_cell_evaluated
medium,19327,2,1,0,1,0,0,0,59,
medium,19327,2,1,1,4,4,4,0,43,0.0000
medium,19327,2,1,2,16,16,9,2,43,0.1250
medium,19327,2,1,3,64,64,25,8,50,0.1250
medium,19327,2,1,4,256,256,58,41,103,0.1602
medium,19327,2,1,5,1024,1024,139,146,263,0.1426
medium,19327,2,1,6,4096,4096,324,473,548,0.1155
medium,19327,2,1,7,16384,16384,646,1652,1923,0.1008
medium,19327,2,1,8,65536,65536,1142,11326,7887,0.1728
medium,19327,2,1,9,262144,262144,1824,19487,19708,0.0743
medium,19327,4,1,0,1,0,0,0,40,
medium,19327,4,1,1,4,4,4,0,25,0.0000
medium,19327,4,1,2,16,16,15,3,35,0.1875
medium,19327,4,1,3,64,64,49,6,36,0.0938
medium,19327,4,1,4,256,256,145,22,50,0.0859
medium,19327,4,1,5,1024,1024,313,94,121,0.0918
medium,19327,4,1,6,4096,4096,555,295,327,0.0720
medium,19327,4,1,7,16384,16384,866,1099,1094,0.0671
medium,19327,4,1,8,65536,65536,1073,3441,3536,0.0525
medium,19327,4,1,9,262144,262144,1178,11572,11617,0.0441
medium,19327,6,1,0,1,0,0,0,2,
medium,19327,6,1,1,4,4,4,0,2,0.0000
medium,19327,6,1,2,16,16,10,1,3,0.0625
medium,19327,6,1,3,64,64,18,4,6,0.0625
medium,19327,6,1,4,256,256,24,16,18,0.0625
medium,19327,6,1,5,1024,1024,30,52,55,0.0508
medium,19327,6,1,6,4096,4096,33,165,187,0.0403
medium,19327,6,1,7,16384,16384,33,568,594,0.0347
medium,19327,6,1,8,65536,65536,33,2154,2163,0.0329
medium,19327,6,1,9,262144,262144,33,8463,8397,0.0323
everything,53300931,2,1,0,1,0,0,0,7662,
everything,53300931,2,1,1,4,4,4,20,7756,5.0000
everything,53300931,2,1,2,16,16,16,67,7769,4.1875
everything,53300931,2,1,3,64,64,64,221,7844,3.4531
everything,53300931,2,1,4,256,256,256,728,9584,2.8438
everything,53300931,2,1,5,1024,1024,1017,2603,10262,2.5420
everything,53300931,2,1,6,4096,4096,3977,9370,17189,2.2876
everything,53300931,2,1,7,16384,16384,15216,34113,41851,2.0821
everything,53300931,2,1,8,65536,65536,56053,119669,128095,1.8260
everything,53300931,2,1,9,262144,262144,191166,416763,426117,1.5898
everything,53300931,4,1,0,1,0,0,0,684,
everything,53300931,4,1,1,4,4,4,10,737,2.5000
everything,53300931,4,1,2,16,16,16,40,705,2.5000
everything,53300931,4,1,3,64,64,63,144,879,2.2500
everything,53300931,4,1,4,256,256,247,534,1226,2.0859
everything,53300931,4,1,5,1024,1024,921,1861,2602,1.8174
everything,53300931,4,1,6,4096,4096,2979,6191,6949,1.5115
everything,53300931,4,1,7,16384,16384,7696,16170,17059,0.9869
everything,53300931,4,1,8,65536,65536,15189,33924,34636,0.5176
everything,53300931,4,1,9,262144,262144,23675,59231,60002,0.2259
everything,53300931,6,1,0,1,0,0,0,172,
everything,53300931,6,1,1,4,4,4,8,231,2.0000
everything,53300931,6,1,2,16,16,16,31,210,1.9375
everything,53300931,6,1,3,64,64,60,109,276,1.7031
everything,53300931,6,1,4,256,256,182,331,494,1.2930
everything,53300931,6,1,5,1024,1024,401,757,921,0.7393
everything,53300931,6,1,6,4096,4096,638,1489,1484,0.3635
everything,53300931,6,1,7,16384,16384,885,2211,2335,0.1349
everything,53300931,6,1,8,65536,65536,1177,4339,4439,0.0662
everything,53300931,6,1,9,262144,262144,1576,11106,11276,0.0424
