principal,visible_total,zoom,tiles,offset,cells_per_tile,cells_evaluated,cells_emitted,underlay_us,total_us,us_per_cell_evaluated
medium,21006,2,1,0,1,0,0,0,96,
medium,21006,2,1,1,4,4,4,1,30,0.2500
medium,21006,2,1,2,16,16,13,3,36,0.1875
medium,21006,2,1,3,64,64,34,19,75,0.2969
medium,21006,4,1,0,1,0,0,0,35,
medium,21006,4,1,1,4,4,4,0,10,0.0000
medium,21006,4,1,2,16,16,12,2,12,0.1250
medium,21006,4,1,3,64,64,32,7,21,0.1094
medium,21006,6,1,0,1,0,0,0,1,
medium,21006,6,1,1,4,4,1,0,1,0.0000
medium,21006,6,1,2,16,16,1,1,2,0.0625
medium,21006,6,1,3,64,64,1,4,5,0.0625
everything,518502081,2,1,0,1,0,0,0,103599,
everything,518502081,2,1,1,4,4,4,40,96889,10.0000
everything,518502081,2,1,2,16,16,16,105,101093,6.5625
everything,518502081,2,1,3,64,64,64,372,110359,5.8125
everything,518502081,4,1,0,1,0,0,0,3517,
everything,518502081,4,1,1,4,4,4,15,2950,3.7500
everything,518502081,4,1,2,16,16,16,43,2934,2.6875
everything,518502081,4,1,3,64,64,64,152,3065,2.3750
everything,518502081,6,1,0,1,0,0,0,235,
everything,518502081,6,1,1,4,4,4,6,227,1.5000
everything,518502081,6,1,2,16,16,16,33,258,2.0625
everything,518502081,6,1,3,64,64,64,132,374,2.0625

principal,visible_total,depth,tiles,offset,cells_per_tile,total_cells_evaluated,total_cells_emitted,underlay_us,total_us
medium,21006,5,1024,0,1,0,0,0,4390
medium,21006,5,1024,2,16,2928,1021,2537,3015
medium,21006,5,1024,3,64,11712,2278,9027,3439
medium,21006,5,1024,4,256,46848,4657,28217,5451
medium,21006,5,1024,5,1024,187392,8275,83291,9784
medium,21006,6,4096,0,1,0,0,0,8233
medium,21006,6,4096,2,16,7104,2278,6746,7214
medium,21006,6,4096,3,64,28416,4657,18786,9069
medium,21006,6,4096,4,256,113664,8275,46475,12197
medium,21006,6,4096,5,1024,454656,12514,87844,16054
medium,21006,7,16384,0,1,0,0,0,19632
medium,21006,7,16384,2,16,16336,4657,11300,21078
medium,21006,7,16384,3,64,65344,8275,25364,22400
medium,21006,7,16384,4,256,261376,12514,63198,29837
medium,21006,7,16384,5,1024,1045504,16308,113214,40293
everything,518502081,5,1024,0,1,0,0,0,240787
everything,518502081,5,1024,2,16,16384,16371,89108,248620
everything,518502081,5,1024,3,64,65536,65430,283976,255309
everything,518502081,5,1024,4,256,262144,261143,857789,282470
everything,518502081,5,1024,5,1024,1048576,1039247,2891901,440089
everything,518502081,6,4096,0,1,0,0,0,221598
everything,518502081,6,4096,2,16,65504,65430,218263,239973
everything,518502081,6,4096,3,64,262016,261143,788541,287475
everything,518502081,6,4096,4,256,1048064,1039247,2926125,465632
everything,518502081,6,4096,5,1024,4192256,4107471,9705913,1088357
everything,518502081,7,16384,0,1,0,0,0,312406
everything,518502081,7,16384,2,16,261936,261143,809002,363720
everything,518502081,7,16384,3,64,1047744,1039247,2824938,554806
everything,518502081,7,16384,4,256,4190976,4107471,10086351,1159252
everything,518502081,7,16384,5,1024,16763904,15754132,40294196,3690130
