principal,visible_total,zoom,tiles,offset,cells_per_tile,cells_evaluated,cells_emitted,underlay_us,total_us,us_per_cell_evaluated
medium,12465,2,1,0,1,0,0,0,7,
medium,12465,2,1,1,4,4,4,0,5,0.0000
medium,12465,2,1,2,16,16,15,1,7,0.0625
medium,12465,2,1,3,64,64,33,5,11,0.0781
medium,12465,2,1,4,256,256,54,19,26,0.0742
medium,12465,2,1,5,1024,1024,94,78,85,0.0762
medium,12465,2,1,6,4096,4096,140,305,313,0.0745
medium,12465,2,1,7,16384,16384,183,906,914,0.0553
medium,12465,2,1,8,65536,65536,236,3368,3333,0.0514
medium,12465,2,1,9,262144,262144,278,12293,12308,0.0469
medium,12465,4,1,0,1,0,0,0,1,
medium,12465,4,1,1,4,4,1,0,1,0.0000
medium,12465,4,1,2,16,16,1,0,2,0.0000
medium,12465,4,1,3,64,64,1,3,4,0.0469
medium,12465,4,1,4,256,256,2,13,14,0.0508
medium,12465,4,1,5,1024,1024,2,50,55,0.0488
medium,12465,4,1,6,4096,4096,3,189,190,0.0461
medium,12465,4,1,7,16384,16384,3,684,688,0.0417
medium,12465,4,1,8,65536,65536,3,2384,2392,0.0364
medium,12465,4,1,9,262144,262144,3,8482,8522,0.0324
medium,12465,6,1,0,1,0,0,0,0,
medium,12465,6,1,1,4,0,0,0,0,
medium,12465,6,1,2,16,0,0,0,0,
medium,12465,6,1,3,64,0,0,0,0,
medium,12465,6,1,4,256,0,0,0,0,
medium,12465,6,1,5,1024,0,0,0,0,
medium,12465,6,1,6,4096,0,0,0,0,
medium,12465,6,1,7,16384,0,0,0,0,
medium,12465,6,1,8,65536,0,0,0,0,
medium,12465,6,1,9,262144,0,0,0,0,
everything,2422486,2,1,0,1,0,0,0,459,
everything,2422486,2,1,1,4,4,4,8,434,2.0000
everything,2422486,2,1,2,16,16,16,28,475,1.7500
everything,2422486,2,1,3,64,64,63,140,562,2.1875
everything,2422486,2,1,4,256,256,232,435,874,1.6992
everything,2422486,2,1,5,1024,1024,819,1793,2128,1.7510
everything,2422486,2,1,6,4096,4096,2820,5707,6193,1.3933
everything,2422486,2,1,7,16384,16384,9385,19194,19769,1.1715
everything,2422486,2,1,8,65536,65536,28637,56636,58747,0.8642
everything,2422486,2,1,9,262144,262144,74486,152330,153111,0.5811
everything,2422486,4,1,0,1,0,0,0,121,
everything,2422486,4,1,1,4,4,4,4,108,1.0000
everything,2422486,4,1,2,16,16,16,18,123,1.1250
everything,2422486,4,1,3,64,64,63,67,166,1.0469
everything,2422486,4,1,4,256,256,245,278,370,1.0859
everything,2422486,4,1,5,1024,1024,883,992,1105,0.9688
everything,2422486,4,1,6,4096,4096,2761,3261,3387,0.7961
everything,2422486,4,1,7,16384,16384,7112,9151,9158,0.5585
everything,2422486,4,1,8,65536,65536,14205,19539,19741,0.2981
everything,2422486,4,1,9,262144,262144,22290,37223,37209,0.1420
everything,2422486,6,1,0,1,0,0,0,26,
everything,2422486,6,1,1,4,4,4,1,18,0.2500
everything,2422486,6,1,2,16,16,16,6,23,0.3750
everything,2422486,6,1,3,64,64,53,22,40,0.3438
everything,2422486,6,1,4,256,256,111,50,69,0.1953
everything,2422486,6,1,5,1024,1024,209,102,119,0.0996
everything,2422486,6,1,6,4096,4096,336,206,223,0.0503
everything,2422486,6,1,7,16384,16384,482,474,500,0.0289
everything,2422486,6,1,8,65536,65536,629,1367,1398,0.0209
everything,2422486,6,1,9,262144,262144,765,4923,4957,0.0188
