n,presence,layout,present_entities,addressing_bytes,values_bytes,addressing_bytes_per_present,candidate,scan_ms,hits
1000000,all,bare,1000000,0,4000000,0.0000,sparse-contiguous-1pct,0.03,12
1000000,all,bare,1000000,0,4000000,0.0000,broad-25pct,0.65,267
1000000,all,bare,1000000,0,4000000,0.0000,sparse-scattered-1pct,0.04,15
1000000,all,pairs,1000000,4000000,4000000,4.0000,sparse-contiguous-1pct,0.28,12
1000000,all,pairs,1000000,4000000,4000000,4.0000,broad-25pct,0.76,267
1000000,all,pairs,1000000,4000000,4000000,4.0000,sparse-scattered-1pct,0.85,15
1000000,all,roaring,1000000,230,4000000,0.0002,sparse-contiguous-1pct,1.00,12
1000000,all,roaring,1000000,230,4000000,0.0002,broad-25pct,1.37,267
1000000,all,roaring,1000000,230,4000000,0.0002,sparse-scattered-1pct,4.61,15
1000000,all,runs,1000000,12,4000000,0.0000,sparse-contiguous-1pct,0.05,12
1000000,all,runs,1000000,12,4000000,0.0000,broad-25pct,0.81,267
1000000,all,runs,1000000,12,4000000,0.0000,sparse-scattered-1pct,0.05,15
1000000,slices-10,pairs,100000,400000,400000,4.0000,sparse-contiguous-1pct,0.06,0
1000000,slices-10,pairs,100000,400000,400000,4.0000,broad-25pct,0.31,126
1000000,slices-10,pairs,100000,400000,400000,4.0000,sparse-scattered-1pct,0.07,0
1000000,slices-10,roaring,100000,25,400000,0.0003,sparse-contiguous-1pct,0.00,0
1000000,slices-10,roaring,100000,25,400000,0.0003,broad-25pct,0.57,126
1000000,slices-10,roaring,100000,25,400000,0.0003,sparse-scattered-1pct,0.57,0
1000000,slices-10,runs,100000,12,400000,0.0001,sparse-contiguous-1pct,0.04,0
1000000,slices-10,runs,100000,12,400000,0.0001,broad-25pct,1.18,126
1000000,slices-10,runs,100000,12,400000,0.0001,sparse-scattered-1pct,0.03,0
1000000,scattered-10pct,pairs,100016,400064,400064,4.0000,sparse-contiguous-1pct,0.05,1
1000000,scattered-10pct,pairs,100016,400064,400064,4.0000,broad-25pct,0.81,23
1000000,scattered-10pct,pairs,100016,400064,400064,4.0000,sparse-scattered-1pct,0.14,1
1000000,scattered-10pct,roaring,100016,126424,400064,1.2640,sparse-contiguous-1pct,0.16,1
1000000,scattered-10pct,roaring,100016,126424,400064,1.2640,broad-25pct,0.24,23
1000000,scattered-10pct,roaring,100016,126424,400064,1.2640,sparse-scattered-1pct,0.60,1
1000000,scattered-10pct,runs,100016,1079844,400064,10.7967,sparse-contiguous-1pct,0.37,1
1000000,scattered-10pct,runs,100016,1079844,400064,10.7967,broad-25pct,6.11,23
1000000,scattered-10pct,runs,100016,1079844,400064,10.7967,sparse-scattered-1pct,0.24,1
