n,shape,needle_share,coverage,form,posting_bytes,column_bytes,ms,hits
100000000,correlated,0,25pct,scan,8,100000000,81.627,0
100000000,correlated,0,25pct,intersect,8,100000000,0.000,0
100000000,correlated,0,25pct,probe,8,100000000,0.194,0
100000000,correlated,0,100pct,scan,8,100000000,295.435,0
100000000,correlated,0,100pct,intersect,8,100000000,0.000,0
100000000,correlated,0,100pct,probe,8,100000000,0.167,0
100000000,correlated,0,hidden-25pct,scan,8,100000000,69.790,0
100000000,correlated,0,hidden-25pct,intersect,8,100000000,0.000,0
100000000,correlated,0,hidden-25pct,probe,8,100000000,0.107,0
100000000,correlated,0.001,25pct,scan,35,100000000,68.435,100000
100000000,correlated,0.001,25pct,intersect,35,100000000,0.000,100000
100000000,correlated,0.001,25pct,probe,35,100000000,0.106,100000
100000000,correlated,0.001,100pct,scan,35,100000000,286.334,100000
100000000,correlated,0.001,100pct,intersect,35,100000000,0.000,100000
100000000,correlated,0.001,100pct,probe,35,100000000,0.163,100000
100000000,correlated,0.001,hidden-25pct,scan,35,100000000,74.992,0
100000000,correlated,0.001,hidden-25pct,intersect,35,100000000,0.000,0
100000000,correlated,0.001,hidden-25pct,probe,35,100000000,0.105,0
100000000,correlated,0.01,25pct,scan,230,100000000,76.013,1000000
100000000,correlated,0.01,25pct,intersect,230,100000000,0.001,1000000
100000000,correlated,0.01,25pct,probe,230,100000000,0.105,1000000
100000000,correlated,0.01,100pct,scan,230,100000000,277.981,1000000
100000000,correlated,0.01,100pct,intersect,230,100000000,0.001,1000000
100000000,correlated,0.01,100pct,probe,230,100000000,0.194,1000000
100000000,correlated,0.01,hidden-25pct,scan,230,100000000,68.234,0
100000000,correlated,0.01,hidden-25pct,intersect,230,100000000,0.000,0
100000000,correlated,0.01,hidden-25pct,probe,230,100000000,0.104,0
100000000,correlated,0.25,25pct,scan,5414,100000000,95.303,12500000
100000000,correlated,0.25,25pct,intersect,5414,100000000,0.008,12500000
100000000,correlated,0.25,25pct,probe,5414,100000000,0.129,12500000
100000000,correlated,0.25,100pct,scan,5414,100000000,335.857,25000000
100000000,correlated,0.25,100pct,intersect,5414,100000000,0.017,25000000
100000000,correlated,0.25,100pct,probe,5414,100000000,0.236,25000000
100000000,correlated,0.25,hidden-25pct,scan,5414,100000000,71.493,0
100000000,correlated,0.25,hidden-25pct,intersect,5414,100000000,0.000,0
100000000,correlated,0.25,hidden-25pct,probe,5414,100000000,0.108,0
100000000,scattered,0,25pct,scan,8,100000000,82.511,0
100000000,scattered,0,25pct,intersect,8,100000000,0.000,0
100000000,scattered,0,25pct,probe,8,100000000,0.109,0
100000000,scattered,0,100pct,scan,8,100000000,283.559,0
100000000,scattered,0,100pct,intersect,8,100000000,0.000,0
100000000,scattered,0,100pct,probe,8,100000000,0.160,0
100000000,scattered,0.001,25pct,scan,213382,100000000,75.215,25046
100000000,scattered,0.001,25pct,intersect,213382,100000000,0.019,25046
100000000,scattered,0.001,25pct,probe,213382,100000000,0.176,25046
100000000,scattered,0.001,100pct,scan,213382,100000000,293.904,100583
100000000,scattered,0.001,100pct,intersect,213382,100000000,0.071,100583
100000000,scattered,0.001,100pct,probe,213382,100000000,0.845,100583
100000000,scattered,0.01,25pct,scan,2011130,100000000,73.304,249944
100000000,scattered,0.01,25pct,intersect,2011130,100000000,0.027,249944
100000000,scattered,0.01,25pct,probe,2011130,100000000,0.469,249944
100000000,scattered,0.01,100pct,scan,2011130,100000000,282.447,999457
100000000,scattered,0.01,100pct,intersect,2011130,100000000,0.160,999457
100000000,scattered,0.01,100pct,probe,2011130,100000000,1.657,999457
100000000,scattered,0.25,25pct,scan,12513208,100000000,121.505,6250341
100000000,scattered,0.25,25pct,intersect,12513208,100000000,0.170,6250341
100000000,scattered,0.25,25pct,probe,12513208,100000000,1.338,6250341
100000000,scattered,0.25,100pct,scan,12513208,100000000,469.537,24998876
100000000,scattered,0.25,100pct,intersect,12513208,100000000,1.269,24998876
100000000,scattered,0.25,100pct,probe,12513208,100000000,15.878,24998876
1000000000,correlated,0,25pct,scan,8,1000000000,733.605,0
1000000000,correlated,0,25pct,intersect,8,1000000000,0.000,0
1000000000,correlated,0,25pct,probe,8,1000000000,1.042,0
1000000000,correlated,0,100pct,scan,8,1000000000,2922.442,0
1000000000,correlated,0,100pct,intersect,8,1000000000,0.000,0
1000000000,correlated,0,100pct,probe,8,1000000000,1.700,0
1000000000,correlated,0,hidden-25pct,scan,8,1000000000,703.346,0
1000000000,correlated,0,hidden-25pct,intersect,8,1000000000,0.000,0
1000000000,correlated,0,hidden-25pct,probe,8,1000000000,1.160,0
1000000000,correlated,0.001,25pct,scan,230,1000000000,729.652,1000000
1000000000,correlated,0.001,25pct,intersect,230,1000000000,0.001,1000000
1000000000,correlated,0.001,25pct,probe,230,1000000000,1.154,1000000
1000000000,correlated,0.001,100pct,scan,230,1000000000,2856.825,1000000
1000000000,correlated,0.001,100pct,intersect,230,1000000000,0.001,1000000
1000000000,correlated,0.001,100pct,probe,230,1000000000,2.001,1000000
1000000000,correlated,0.001,hidden-25pct,scan,230,1000000000,719.255,0
1000000000,correlated,0.001,hidden-25pct,intersect,230,1000000000,0.000,0
1000000000,correlated,0.001,hidden-25pct,probe,230,1000000000,1.215,0
1000000000,correlated,0.01,25pct,scan,2166,1000000000,740.721,10000000
1000000000,correlated,0.01,25pct,intersect,2166,1000000000,0.008,10000000
1000000000,correlated,0.01,25pct,probe,2166,1000000000,1.091,10000000
1000000000,correlated,0.01,100pct,scan,2166,1000000000,2892.037,10000000
1000000000,correlated,0.01,100pct,intersect,2166,1000000000,0.008,10000000
1000000000,correlated,0.01,100pct,probe,2166,1000000000,1.765,10000000
1000000000,correlated,0.01,hidden-25pct,scan,2166,1000000000,766.321,0
1000000000,correlated,0.01,hidden-25pct,intersect,2166,1000000000,0.000,0
1000000000,correlated,0.01,hidden-25pct,probe,2166,1000000000,1.935,0
1000000000,correlated,0.25,25pct,scan,53905,1000000000,1159.897,125000000
1000000000,correlated,0.25,25pct,intersect,53905,1000000000,0.097,125000000
1000000000,correlated,0.25,25pct,probe,53905,1000000000,2.055,125000000
1000000000,correlated,0.25,100pct,scan,53905,1000000000,3610.116,250000000
1000000000,correlated,0.25,100pct,intersect,53905,1000000000,0.202,250000000
1000000000,correlated,0.25,100pct,probe,53905,1000000000,5.645,250000000
1000000000,correlated,0.25,hidden-25pct,scan,53905,1000000000,728.627,0
1000000000,correlated,0.25,hidden-25pct,intersect,53905,1000000000,0.000,0
1000000000,correlated,0.25,hidden-25pct,probe,53905,1000000000,1.150,0
1000000000,scattered,0,25pct,scan,8,1000000000,704.339,0
1000000000,scattered,0,25pct,intersect,8,1000000000,0.000,0
1000000000,scattered,0,25pct,probe,8,1000000000,1.093,0
1000000000,scattered,0,100pct,scan,8,1000000000,2816.503,0
1000000000,scattered,0,100pct,intersect,8,1000000000,0.000,0
1000000000,scattered,0,100pct,probe,8,1000000000,1.691,0
1000000000,scattered,0.001,25pct,scan,2123044,1000000000,710.247,250552
1000000000,scattered,0.001,25pct,intersect,2123044,1000000000,0.131,250552
1000000000,scattered,0.001,25pct,probe,2123044,1000000000,7.457,250552
1000000000,scattered,0.001,100pct,scan,2123044,1000000000,2808.360,1000482
1000000000,scattered,0.001,100pct,intersect,2123044,1000000000,0.584,1000482
1000000000,scattered,0.001,100pct,probe,2123044,1000000000,62.239,1000482
1000000000,scattered,0.01,25pct,scan,20123996,1000000000,774.149,2501594
1000000000,scattered,0.01,25pct,intersect,20123996,1000000000,0.548,2501594
1000000000,scattered,0.01,25pct,probe,20123996,1000000000,11.927,2501594
1000000000,scattered,0.01,100pct,scan,20123996,1000000000,2925.740,10000958
1000000000,scattered,0.01,100pct,intersect,20123996,1000000000,2.561,10000958
1000000000,scattered,0.01,100pct,probe,20123996,1000000000,73.355,10000958
1000000000,scattered,0.25,25pct,scan,125123808,1000000000,1255.456,62501660
1000000000,scattered,0.25,25pct,intersect,125123808,1000000000,3.223,62501660
1000000000,scattered,0.25,25pct,probe,125123808,1000000000,36.031,62501660
1000000000,scattered,0.25,100pct,scan,125123808,1000000000,5107.028,250013391
1000000000,scattered,0.25,100pct,intersect,125123808,1000000000,56.406,250013391
1000000000,scattered,0.25,100pct,probe,125123808,1000000000,206.590,250013391
