n,selectivity_pct,stage,ms,hits
1000000000,1,count,264.1,10000950
1000000000,1,collect,324.6,10000950
1000000000,1,collect_branchless,439.4,10000950
1000000000,1,add_many,56.6,10000950
1000000000,1,run_optimize,5.5,10000950
1000000000,2,count,323.3,20003484
1000000000,2,collect,401.0,20003484
1000000000,2,collect_branchless,438.2,20003484
1000000000,2,add_many,88.8,20003484
1000000000,2,run_optimize,10.8,20003484
1000000000,5,count,441.5,49998451
1000000000,5,collect,626.0,49998451
1000000000,5,collect_branchless,442.4,49998451
1000000000,5,add_many,226.4,49998451
1000000000,5,run_optimize,26.3,49998451
1000000000,10,count,675.3,99992053
1000000000,10,collect,1025.7,99992053
1000000000,10,collect_branchless,438.4,99992053
1000000000,10,add_many,513.1,99992053
1000000000,10,run_optimize,27.7,99992053
1000000000,20,count,1205.3,199999045
1000000000,20,collect,2024.7,199999045
1000000000,20,collect_branchless,439.1,199999045
1000000000,20,add_many,849.9,199999045
1000000000,20,run_optimize,27.6,199999045
1000000000,30,count,1781.1,299999671
1000000000,30,collect,2931.3,299999671
1000000000,30,collect_branchless,455.0,299999671
1000000000,30,add_many,1274.3,299999671
1000000000,30,run_optimize,28.3,299999671
1000000000,50,count,2506.9,500002017
1000000000,50,collect,4355.9,500002017
1000000000,50,collect_branchless,449.7,500002017
1000000000,50,add_many,1992.8,500002017
1000000000,50,run_optimize,28.0,500002017
1000000000,70,count,1774.1,699999892
1000000000,70,collect,3866.7,699999892
1000000000,70,collect_branchless,440.4,699999892
1000000000,70,add_many,2612.9,699999892
1000000000,70,run_optimize,28.2,699999892
1000000000,90,count,740.5,900007114
1000000000,90,collect,3232.9,900007114
1000000000,90,collect_branchless,444.4,900007114
1000000000,90,add_many,3296.4,900007114
1000000000,90,run_optimize,27.6,900007114
1000000000,99,count,322.5,989997260
1000000000,99,collect,3283.4,989997260
1000000000,99,collect_branchless,454.5,989997260
1000000000,99,add_many,3675.9,989997260
1000000000,99,run_optimize,105.1,989997260
1000000000,100,count,281.3,1000000000
1000000000,100,collect,3245.3,1000000000
1000000000,100,collect_branchless,446.8,1000000000
1000000000,100,add_many,3660.0,1000000000
1000000000,100,run_optimize,34.1,1000000000
