phase,base_n,per_flush,layers,candidate,candidate_entities,ms,hits
resolve,1000000000,25000,0,broad-25pct,256000000,72.554,256278
resolve,1000000000,25000,8,broad-25pct,256000000,70.846,256278
resolve,1000000000,25000,64,broad-25pct,256000000,70.456,256278
resolve,1000000000,25000,240,broad-25pct,256000000,71.423,256278
resolve,1000000000,25000,960,broad-25pct,256000000,70.866,256278
resolve,1000000000,25000,0,full-corpus,1024000000,270.908,1000314
resolve,1000000000,25000,8,full-corpus,1024000000,268.154,1000519
resolve,1000000000,25000,64,full-corpus,1024000000,267.542,1001882
resolve,1000000000,25000,240,full-corpus,1024000000,275.314,1006401
resolve,1000000000,25000,960,full-corpus,1024000000,286.189,1024255
resolve,1000000000,25000,0,scattered-1pct,10240823,101.252,10070
resolve,1000000000,25000,8,scattered-1pct,10240823,102.170,10070
resolve,1000000000,25000,64,scattered-1pct,10240823,102.244,10087
resolve,1000000000,25000,240,scattered-1pct,10240823,102.375,10135
resolve,1000000000,25000,960,scattered-1pct,10240823,105.390,10330
open-compose,1000000000,25000,8,files,16,0.331,0
read-sweep,1000000000,25000,8,bytes,830054,0.137,0
open-compose,1000000000,25000,64,files,128,1.976,0
read-sweep,1000000000,25000,64,bytes,6640442,1.012,0
open-compose,1000000000,25000,240,files,480,6.895,0
read-sweep,1000000000,25000,240,bytes,24901640,3.610,0
open-compose,1000000000,25000,960,files,1920,28.339,0
read-sweep,1000000000,25000,960,bytes,99606540,14.916,0
