n,result_share,result_cardinality,route,viewport_rows,ms,ns_per_unit
1000000000,0.0001,100000,project,,3.80,38.0
1000000000,0.0001,100000,per_tile,300000,1.73,5.8
1000000000,0.0001,100000,per_tile,3000000,17.45,5.8
1000000000,0.0001,100000,per_tile,30000000,175.82,5.9
1000000000,0.001,1000000,project,,27.12,27.1
1000000000,0.001,1000000,per_tile,300000,2.37,7.9
1000000000,0.001,1000000,per_tile,3000000,26.38,8.8
1000000000,0.001,1000000,per_tile,30000000,247.98,8.3
1000000000,0.01,10000000,project,,271.65,27.2
1000000000,0.01,10000000,per_tile,300000,3.79,12.6
1000000000,0.01,10000000,per_tile,3000000,41.56,13.9
1000000000,0.01,10000000,per_tile,30000000,399.84,13.3
1000000000,0.1,100000000,project,,2778.95,27.8
1000000000,0.1,100000000,per_tile,300000,6.49,21.6
1000000000,0.1,100000000,per_tile,3000000,62.65,20.9
1000000000,0.1,100000000,per_tile,30000000,633.53,21.1
