run,n,presence,candidate,candidate_entities,ms,ns_per_candidate,hits
1,100000000,universal,sparse-contiguous-1pct,1000000,0.34,0.34,1007
1,100000000,universal,broad-25pct,25000000,7.59,0.30,24952
1,100000000,universal,sparse-scattered-1pct,999463,15.49,15.49,1015
1,100000000,slice-blocked,sparse-contiguous-1pct,1000000,0.05,0.05,85
1,100000000,slice-blocked,broad-25pct,25000000,1.42,0.06,2497
1,100000000,slice-blocked,sparse-scattered-1pct,999463,2.23,2.23,85
2,100000000,universal,sparse-contiguous-1pct,1000000,0.24,0.24,1007
2,100000000,universal,broad-25pct,25000000,6.18,0.25,24952
2,100000000,universal,sparse-scattered-1pct,999463,10.02,10.03,1015
2,100000000,slice-blocked,sparse-contiguous-1pct,1000000,0.04,0.04,85
2,100000000,slice-blocked,broad-25pct,25000000,1.13,0.05,2497
2,100000000,slice-blocked,sparse-scattered-1pct,999463,1.01,1.01,85
3,100000000,universal,sparse-contiguous-1pct,1000000,0.23,0.23,1007
3,100000000,universal,broad-25pct,25000000,5.99,0.24,24952
3,100000000,universal,sparse-scattered-1pct,999463,9.74,9.75,1015
3,100000000,slice-blocked,sparse-contiguous-1pct,1000000,0.05,0.05,85
3,100000000,slice-blocked,broad-25pct,25000000,1.12,0.04,2497
3,100000000,slice-blocked,sparse-scattered-1pct,999463,1.69,1.69,85
1,1000000000,universal,sparse-contiguous-1pct,10000000,2.37,0.24,10046
1,1000000000,universal,broad-25pct,250000000,60.30,0.24,250294
1,1000000000,universal,sparse-scattered-1pct,10000954,98.35,9.83,10070
1,1000000000,slice-blocked,sparse-contiguous-1pct,10000000,0.46,0.05,970
1,1000000000,slice-blocked,broad-25pct,250000000,12.17,0.05,24816
1,1000000000,slice-blocked,sparse-scattered-1pct,10000954,19.10,1.91,967
2,1000000000,universal,sparse-contiguous-1pct,10000000,2.36,0.24,10046
2,1000000000,universal,broad-25pct,250000000,60.84,0.24,250294
2,1000000000,universal,sparse-scattered-1pct,10000954,101.18,10.12,10070
2,1000000000,slice-blocked,sparse-contiguous-1pct,10000000,0.48,0.05,970
2,1000000000,slice-blocked,broad-25pct,250000000,11.25,0.04,24816
2,1000000000,slice-blocked,sparse-scattered-1pct,10000954,17.59,1.76,967
3,1000000000,universal,sparse-contiguous-1pct,10000000,2.43,0.24,10046
3,1000000000,universal,broad-25pct,250000000,63.87,0.26,250294
3,1000000000,universal,sparse-scattered-1pct,10000954,110.20,11.02,10070
3,1000000000,slice-blocked,sparse-contiguous-1pct,10000000,0.46,0.05,970
3,1000000000,slice-blocked,broad-25pct,250000000,11.50,0.05,24816
3,1000000000,slice-blocked,sparse-scattered-1pct,10000954,17.82,1.78,967
