n,candidate,selectivity_pct,form,ms,hits
1000000000,all,1,shipped,683.4,10000950
1000000000,all,1,count,782.0,10000950
1000000000,all,1,portable,852.7,10000950
1000000000,all,1,count-swar,91.8,10000950
1000000000,all,1,portable-swar,172.2,10000950
1000000000,all,1,portable-chunked,174.0,10000950
1000000000,all,1,saferange,910.6,10000950
1000000000,all,5,shipped,1091.0,49998451
1000000000,all,5,count,776.6,49998451
1000000000,all,5,portable,1010.6,49998451
1000000000,all,5,count-swar,94.0,49998451
1000000000,all,5,portable-swar,308.9,49998451
1000000000,all,5,portable-chunked,318.8,49998451
1000000000,all,5,saferange,1199.6,49998451
1000000000,all,25,shipped,3384.0,249998309
1000000000,all,25,count,788.0,249998309
1000000000,all,25,portable,814.5,249998309
1000000000,all,25,count-swar,93.3,249998309
1000000000,all,25,portable-swar,200.2,249998309
1000000000,all,25,portable-chunked,225.8,249998309
1000000000,all,25,saferange,2075.8,249998309
1000000000,all,50,shipped,5801.9,500002017
1000000000,all,50,count,807.9,500002017
1000000000,all,50,portable,830.5,500002017
1000000000,all,50,count-swar,94.8,500002017
1000000000,all,50,portable-swar,126.6,500002017
1000000000,all,50,portable-chunked,153.3,500002017
1000000000,all,50,saferange,6556.8,500002017
1000000000,all,75,shipped,10229.9,750006791
1000000000,all,75,count,816.0,750006791
1000000000,all,75,portable,840.4,750006791
1000000000,all,75,count-swar,94.2,750006791
1000000000,all,75,portable-swar,138.6,750006791
1000000000,all,75,portable-chunked,137.9,750006791
1000000000,all,75,saferange,5288.0,750006791
1000000000,all,100,shipped,903.9,1000000000
1000000000,all,100,count,805.8,1000000000
1000000000,all,100,portable,842.0,1000000000
1000000000,all,100,count-swar,95.4,1000000000
1000000000,all,100,portable-swar,151.2,1000000000
1000000000,all,100,portable-chunked,133.2,1000000000
1000000000,all,100,saferange,790.3,1000000000
1000000000,broad-25pct,1,shipped,172.1,2501617
1000000000,broad-25pct,1,count,197.0,2501617
1000000000,broad-25pct,1,portable,208.6,2501617
1000000000,broad-25pct,1,count-swar,23.0,2501617
1000000000,broad-25pct,1,portable-swar,38.8,2501617
1000000000,broad-25pct,1,portable-chunked,38.9,2501617
1000000000,broad-25pct,1,saferange,219.2,2501617
1000000000,broad-25pct,5,shipped,275.6,12502275
1000000000,broad-25pct,5,count,195.5,12502275
1000000000,broad-25pct,5,portable,230.7,12502275
1000000000,broad-25pct,5,count-swar,23.2,12502275
1000000000,broad-25pct,5,portable-swar,55.7,12502275
1000000000,broad-25pct,5,portable-chunked,56.6,12502275
1000000000,broad-25pct,5,saferange,275.1,12502275
1000000000,broad-25pct,25,shipped,861.4,62495300
1000000000,broad-25pct,25,count,203.5,62495300
1000000000,broad-25pct,25,portable,209.0,62495300
1000000000,broad-25pct,25,count-swar,24.4,62495300
1000000000,broad-25pct,25,portable-swar,32.6,62495300
1000000000,broad-25pct,25,portable-chunked,31.6,62495300
1000000000,broad-25pct,25,saferange,502.1,62495300
1000000000,broad-25pct,50,shipped,1462.1,124992185
1000000000,broad-25pct,50,count,202.0,124992185
1000000000,broad-25pct,50,portable,205.0,124992185
1000000000,broad-25pct,50,count-swar,24.4,124992185
1000000000,broad-25pct,50,portable-swar,32.9,124992185
1000000000,broad-25pct,50,portable-chunked,33.2,124992185
1000000000,broad-25pct,50,saferange,1598.5,124992185
1000000000,broad-25pct,75,shipped,2461.8,187497885
1000000000,broad-25pct,75,count,196.8,187497885
1000000000,broad-25pct,75,portable,203.7,187497885
1000000000,broad-25pct,75,count-swar,23.2,187497885
1000000000,broad-25pct,75,portable-swar,31.7,187497885
1000000000,broad-25pct,75,portable-chunked,32.8,187497885
1000000000,broad-25pct,75,saferange,1256.3,187497885
1000000000,broad-25pct,100,shipped,217.9,250000000
1000000000,broad-25pct,100,count,195.5,250000000
1000000000,broad-25pct,100,portable,202.6,250000000
1000000000,broad-25pct,100,count-swar,23.6,250000000
1000000000,broad-25pct,100,portable-swar,31.2,250000000
1000000000,broad-25pct,100,portable-chunked,30.8,250000000
1000000000,broad-25pct,100,saferange,197.0,250000000
