run,n,candidate,predicate,selectivity_pct,candidate_entities,ms,hits,peak_rss_mb
1,1000000000,broad-25pct,range-1pct,1,250000000,188.4,2501617,0
1,1000000000,broad-25pct,range-25pct,25,250000000,856.6,62495300,0
1,1000000000,broad-25pct,range-50pct,50,250000000,1422.4,124992185,10
1,1000000000,broad-25pct,range-100pct,100,250000000,216.0,250000000,0
1,1000000000,all,range-1pct,1,1000000000,754.4,10000950,1
1,1000000000,all,range-25pct,25,1000000000,3389.6,249998309,105
1,1000000000,all,range-50pct,50,1000000000,5813.2,500002017,105
1,1000000000,all,range-100pct,100,1000000000,878.3,1000000000,0
2,1000000000,broad-25pct,range-1pct,1,250000000,192.1,2501617,0
2,1000000000,broad-25pct,range-25pct,25,250000000,848.9,62495300,0
2,1000000000,broad-25pct,range-50pct,50,250000000,1437.6,124992185,10
2,1000000000,broad-25pct,range-100pct,100,250000000,218.4,250000000,0
2,1000000000,all,range-1pct,1,1000000000,767.7,10000950,1
2,1000000000,all,range-25pct,25,1000000000,3369.4,249998309,105
2,1000000000,all,range-50pct,50,1000000000,6105.8,500002017,105
2,1000000000,all,range-100pct,100,1000000000,874.8,1000000000,0
3,1000000000,broad-25pct,range-1pct,1,250000000,193.9,2501617,0
3,1000000000,broad-25pct,range-25pct,25,250000000,884.5,62495300,0
3,1000000000,broad-25pct,range-50pct,50,250000000,1485.6,124992185,10
3,1000000000,broad-25pct,range-100pct,100,250000000,223.1,250000000,0
3,1000000000,all,range-1pct,1,1000000000,807.9,10000950,1
3,1000000000,all,range-25pct,25,1000000000,3561.6,249998309,105
3,1000000000,all,range-50pct,50,1000000000,6036.8,500002017,105
3,1000000000,all,range-100pct,100,1000000000,979.9,1000000000,0
