n,arm,needle,candidate,candidate_entities,ms,ns_per_candidate,hits
1000000000,shipped,-000,sparse-contiguous-1pct,10000000,109.795,10.98,9984
1000000000,shipped,-000,broad-25pct,250000000,2867.885,11.47,249513
1000000000,shipped,-000,sparse-scattered-1pct,10000954,971.594,97.15,9944
1000000000,shipped,erg,sparse-contiguous-1pct,10000000,154.156,15.42,2500408
1000000000,shipped,erg,broad-25pct,250000000,3888.999,15.56,62498067
1000000000,shipped,erg,sparse-scattered-1pct,10000954,979.145,97.91,2500224
1000000000,shipped,qzx,sparse-contiguous-1pct,10000000,88.418,8.84,0
1000000000,shipped,qzx,broad-25pct,250000000,2254.377,9.02,0
1000000000,shipped,qzx,sparse-scattered-1pct,10000954,712.431,71.24,0
1000000000,memmem-value,-000,sparse-contiguous-1pct,10000000,129.719,12.97,9984
1000000000,memmem-concat,-000,sparse-contiguous-1pct,10000000,15.987,1.60,9984
1000000000,swar-value,-000,sparse-contiguous-1pct,10000000,106.950,10.69,9984
1000000000,desc64,-000,sparse-contiguous-1pct,10000000,34.611,3.46,9984
1000000000,desc64+tri32,-000,sparse-contiguous-1pct,10000000,30.030,3.00,9984
1000000000,memmem-value,-000,broad-25pct,250000000,3197.788,12.79,249513
1000000000,memmem-concat,-000,broad-25pct,250000000,404.968,1.62,249513
1000000000,swar-value,-000,broad-25pct,250000000,2628.292,10.51,249513
1000000000,desc64,-000,broad-25pct,250000000,873.562,3.49,249513
1000000000,desc64+tri32,-000,broad-25pct,250000000,792.412,3.17,249513
1000000000,memmem-value,-000,sparse-scattered-1pct,10000954,1038.365,103.83,9944
1000000000,memmem-concat,-000,sparse-scattered-1pct,10000954,795.249,79.52,9944
1000000000,swar-value,-000,sparse-scattered-1pct,10000954,770.905,77.08,9944
1000000000,desc64,-000,sparse-scattered-1pct,10000954,327.481,32.74,9944
1000000000,desc64+tri32,-000,sparse-scattered-1pct,10000954,261.463,26.14,9944
1000000000,memmem-value,erg,sparse-contiguous-1pct,10000000,155.336,15.53,2500408
1000000000,memmem-concat,erg,sparse-contiguous-1pct,10000000,58.655,5.87,2500408
1000000000,swar-value,erg,sparse-contiguous-1pct,10000000,128.588,12.86,2500408
1000000000,desc64,erg,sparse-contiguous-1pct,10000000,130.741,13.07,2500408
1000000000,desc64+tri32,erg,sparse-contiguous-1pct,10000000,123.555,12.36,2500408
1000000000,memmem-value,erg,broad-25pct,250000000,3973.017,15.89,62498067
1000000000,memmem-concat,erg,broad-25pct,250000000,1644.412,6.58,62498067
1000000000,swar-value,erg,broad-25pct,250000000,3404.760,13.62,62498067
1000000000,desc64,erg,broad-25pct,250000000,3527.974,14.11,62498067
1000000000,desc64+tri32,erg,broad-25pct,250000000,3313.712,13.25,62498067
1000000000,memmem-value,erg,sparse-scattered-1pct,10000954,1097.205,109.71,2500224
1000000000,memmem-concat,erg,sparse-scattered-1pct,10000954,857.182,85.71,2500224
1000000000,swar-value,erg,sparse-scattered-1pct,10000954,856.913,85.68,2500224
1000000000,desc64,erg,sparse-scattered-1pct,10000954,867.832,86.77,2500224
1000000000,desc64+tri32,erg,sparse-scattered-1pct,10000954,832.985,83.29,2500224
1000000000,memmem-value,qzx,sparse-contiguous-1pct,10000000,127.205,12.72,0
1000000000,memmem-concat,qzx,sparse-contiguous-1pct,10000000,5.242,0.52,0
1000000000,swar-value,qzx,sparse-contiguous-1pct,10000000,79.722,7.97,0
1000000000,desc64,qzx,sparse-contiguous-1pct,10000000,76.436,7.64,0
1000000000,desc64+tri32,qzx,sparse-contiguous-1pct,10000000,59.083,5.91,0
1000000000,memmem-value,qzx,broad-25pct,250000000,3212.236,12.85,0
1000000000,memmem-concat,qzx,broad-25pct,250000000,171.028,0.68,0
1000000000,swar-value,qzx,broad-25pct,250000000,2023.470,8.09,0
1000000000,desc64,qzx,broad-25pct,250000000,1936.284,7.75,0
1000000000,desc64+tri32,qzx,broad-25pct,250000000,1529.864,6.12,0
1000000000,memmem-value,qzx,sparse-scattered-1pct,10000954,1042.237,104.21,0
1000000000,memmem-concat,qzx,sparse-scattered-1pct,10000954,641.725,64.17,0
1000000000,swar-value,qzx,sparse-scattered-1pct,10000954,671.716,67.17,0
1000000000,desc64,qzx,sparse-scattered-1pct,10000954,605.510,60.55,0
1000000000,desc64+tri32,qzx,sparse-scattered-1pct,10000954,461.894,46.18,0
