n,arm,candidate,candidate_entities,ms,ns_per_candidate,checksum
100000000,shipped,sparse-contiguous-1pct,1000000,10.236,10.24,972
100000000,shipped,broad-25pct,25000000,270.122,10.80,24929
100000000,shipped,sparse-scattered-1pct,999463,91.970,92.02,1008
100000000,traverse,sparse-contiguous-1pct,1000000,0.452,0.45,33833332500000
100000000,offsets-len,sparse-contiguous-1pct,1000000,0.929,0.93,1000000
100000000,first-byte,sparse-contiguous-1pct,1000000,1.126,1.13,0
100000000,fb-scan,sparse-contiguous-1pct,1000000,7.961,7.96,1000000
100000000,full,sparse-contiguous-1pct,1000000,8.880,8.88,972
100000000,traverse,broad-25pct,25000000,15.919,0.64,312499987500000
100000000,offsets-len,broad-25pct,25000000,16.561,0.66,25000000
100000000,first-byte,broad-25pct,25000000,27.519,1.10,0
100000000,fb-scan,broad-25pct,25000000,184.059,7.36,25000000
100000000,full,broad-25pct,25000000,211.898,8.48,24929
100000000,traverse,sparse-scattered-1pct,999463,3.510,3.51,49972168048021
100000000,offsets-len,sparse-scattered-1pct,999463,12.982,12.99,999463
100000000,first-byte,sparse-scattered-1pct,999463,27.540,27.55,0
100000000,fb-scan,sparse-scattered-1pct,999463,64.532,64.57,999463
100000000,full,sparse-scattered-1pct,999463,78.774,78.82,1008
