run,n,family,predicate,candidate,candidate_entities,ms,ns_per_candidate,hits
1,100000000,text,text-eq-hit,sparse-contiguous-1pct,1000000,3.39,3.39,8
1,100000000,text,text-eq-miss,sparse-contiguous-1pct,1000000,3.36,3.36,0
1,100000000,text,text-in-5,sparse-contiguous-1pct,1000000,8.78,8.78,51
1,100000000,text,text-prefix-stem,sparse-contiguous-1pct,1000000,4.05,4.05,125314
1,100000000,text,text-prefix-3,sparse-contiguous-1pct,1000000,4.09,4.09,125314
1,100000000,text,text-contains,sparse-contiguous-1pct,1000000,9.95,9.95,972
1,100000000,text,text-eq-hit,broad-25pct,25000000,87.19,3.49,237
1,100000000,text,text-eq-miss,broad-25pct,25000000,85.43,3.42,0
1,100000000,text,text-in-5,broad-25pct,25000000,211.81,8.47,1160
1,100000000,text,text-prefix-stem,broad-25pct,25000000,110.37,4.41,3124437
1,100000000,text,text-prefix-3,broad-25pct,25000000,120.95,4.84,3124437
1,100000000,text,text-contains,broad-25pct,25000000,243.80,9.75,24929
1,100000000,text,text-eq-hit,sparse-scattered-1pct,999463,30.62,30.64,8
1,100000000,text,text-eq-miss,sparse-scattered-1pct,999463,29.76,29.77,0
1,100000000,text,text-in-5,sparse-scattered-1pct,999463,61.38,61.41,43
1,100000000,text,text-prefix-stem,sparse-scattered-1pct,999463,46.14,46.17,124855
1,100000000,text,text-prefix-3,sparse-scattered-1pct,999463,69.14,69.18,124855
1,100000000,text,text-contains,sparse-scattered-1pct,999463,102.81,102.87,1008
1,100000000,category,u8-eq,sparse-contiguous-1pct,1000000,0.32,0.32,5038
1,100000000,category,u8-in-2,sparse-contiguous-1pct,1000000,0.54,0.54,10101
1,100000000,category,u8-in-8,sparse-contiguous-1pct,1000000,0.88,0.88,40140
1,100000000,category,u8-in-32,sparse-contiguous-1pct,1000000,2.08,2.08,159921
1,100000000,category,u8-eq,broad-25pct,25000000,6.62,0.26,125036
1,100000000,category,u8-in-2,broad-25pct,25000000,14.02,0.56,249248
1,100000000,category,u8-in-8,broad-25pct,25000000,20.83,0.83,998277
1,100000000,category,u8-in-32,broad-25pct,25000000,51.51,2.06,3998724
1,100000000,category,u8-eq,sparse-scattered-1pct,999463,9.05,9.06,4995
1,100000000,category,u8-in-2,sparse-scattered-1pct,999463,7.08,7.08,9993
1,100000000,category,u8-in-8,sparse-scattered-1pct,999463,7.62,7.62,39903
1,100000000,category,u8-in-32,sparse-scattered-1pct,999463,8.26,8.27,159834
1,100000000,category,u16-eq,sparse-contiguous-1pct,1000000,0.29,0.29,22
1,100000000,category,u16-in-2,sparse-contiguous-1pct,1000000,0.45,0.45,38
1,100000000,category,u16-in-8,sparse-contiguous-1pct,1000000,0.45,0.45,165
1,100000000,category,u16-in-32,sparse-contiguous-1pct,1000000,0.44,0.44,609
1,100000000,category,u16-eq,broad-25pct,25000000,5.50,0.22,509
1,100000000,category,u16-in-2,broad-25pct,25000000,11.23,0.45,1032
1,100000000,category,u16-in-8,broad-25pct,25000000,10.90,0.44,3975
1,100000000,category,u16-in-32,broad-25pct,25000000,10.92,0.44,16107
1,100000000,category,u16-eq,sparse-scattered-1pct,999463,12.15,12.16,14
1,100000000,category,u16-in-2,sparse-scattered-1pct,999463,11.53,11.53,38
1,100000000,category,u16-in-8,sparse-scattered-1pct,999463,11.66,11.67,173
1,100000000,category,u16-in-32,sparse-scattered-1pct,999463,11.57,11.58,647
1,100000000,category,u32-eq,sparse-contiguous-1pct,1000000,0.24,0.24,0
1,100000000,category,u32-in-2,sparse-contiguous-1pct,1000000,1.32,1.32,5
1,100000000,category,u32-in-8,sparse-contiguous-1pct,1000000,2.15,2.15,12
1,100000000,category,u32-in-32,sparse-contiguous-1pct,1000000,2.88,2.88,32
1,100000000,category,u32-eq,broad-25pct,25000000,8.62,0.34,27
1,100000000,category,u32-in-2,broad-25pct,25000000,31.95,1.28,44
1,100000000,category,u32-in-8,broad-25pct,25000000,58.46,2.34,201
1,100000000,category,u32-in-32,broad-25pct,25000000,77.08,3.08,819
1,100000000,category,u32-eq,sparse-scattered-1pct,999463,14.14,14.15,2
1,100000000,category,u32-in-2,sparse-scattered-1pct,999463,20.33,20.34,2
1,100000000,category,u32-in-8,sparse-scattered-1pct,999463,25.77,25.78,5
1,100000000,category,u32-in-32,sparse-scattered-1pct,999463,29.85,29.87,30
2,100000000,text,text-eq-hit,sparse-contiguous-1pct,1000000,3.71,3.71,8
2,100000000,text,text-eq-miss,sparse-contiguous-1pct,1000000,4.25,4.25,0
2,100000000,text,text-in-5,sparse-contiguous-1pct,1000000,8.48,8.48,51
2,100000000,text,text-prefix-stem,sparse-contiguous-1pct,1000000,5.96,5.96,125314
2,100000000,text,text-prefix-3,sparse-contiguous-1pct,1000000,5.88,5.88,125314
2,100000000,text,text-contains,sparse-contiguous-1pct,1000000,11.07,11.07,972
2,100000000,text,text-eq-hit,broad-25pct,25000000,91.55,3.66,237
2,100000000,text,text-eq-miss,broad-25pct,25000000,84.26,3.37,0
2,100000000,text,text-in-5,broad-25pct,25000000,203.97,8.16,1160
2,100000000,text,text-prefix-stem,broad-25pct,25000000,106.39,4.26,3124437
2,100000000,text,text-prefix-3,broad-25pct,25000000,99.95,4.00,3124437
2,100000000,text,text-contains,broad-25pct,25000000,239.64,9.59,24929
