n,shape,candidate,k,form,ms,hits
1000000000,correlated,broad-25pct,5,scan,124.74,50000000
1000000000,correlated,broad-25pct,5,union-intersect,0.06,50000000
1000000000,correlated,broad-25pct,25,scan,168.44,250000000
1000000000,correlated,broad-25pct,25,union-intersect,0.52,250000000
1000000000,correlated,broad-25pct,50,scan,171.83,250000000
1000000000,correlated,broad-25pct,50,union-intersect,0.86,250000000
1000000000,correlated,broad-25pct,100,scan,168.90,250000000
1000000000,correlated,broad-25pct,100,union-intersect,1.66,250000000
1000000000,correlated,all,5,scan,467.95,50000000
1000000000,correlated,all,5,union-intersect,0.06,50000000
1000000000,correlated,all,25,scan,544.12,250000000
1000000000,correlated,all,25,union-intersect,0.52,250000000
1000000000,correlated,all,50,scan,610.66,500000000
1000000000,correlated,all,50,union-intersect,1.11,500000000
1000000000,correlated,all,100,scan,687.10,1000000000
1000000000,correlated,all,100,union-intersect,2.45,1000000000
1000000000,scattered,broad-25pct,5,scan,275.87,12502275
1000000000,scattered,broad-25pct,5,union-intersect,172.78,12502275
1000000000,scattered,broad-25pct,25,scan,885.57,62495300
1000000000,scattered,broad-25pct,25,union-intersect,237.06,62495300
1000000000,scattered,broad-25pct,50,scan,1775.64,124992185
1000000000,scattered,broad-25pct,50,union-intersect,501.34,124992185
1000000000,scattered,broad-25pct,100,scan,211.69,250000000
1000000000,scattered,broad-25pct,100,union-intersect,1078.51,250000000
1000000000,scattered,all,5,scan,1316.21,49998451
1000000000,scattered,all,5,union-intersect,226.65,49998451
1000000000,scattered,all,25,scan,4306.85,249998309
1000000000,scattered,all,25,union-intersect,459.78,249998309
1000000000,scattered,all,50,scan,7436.68,500002017
1000000000,scattered,all,50,union-intersect,684.88,500002017
1000000000,scattered,all,100,scan,746.81,1000000000
1000000000,scattered,all,100,union-intersect,1122.45,1000000000
1000000000,scattered,hidden-scattered,1,intersect-hidden,2.675,0
1000000000,scattered,hidden-scattered,1,intersect-absent,0.000,0
