scale,stage,query,candidate,cardinality,ms
1230000-novel,s0-build,archive_eq,masked,176,0.016
1230000-novel,s0-build,archive_eq,artefact,251084,0.015
1230000-novel,s0-build,archive_in3,masked,137331,0.129
1230000-novel,s0-build,archive_in3,artefact,632587,0.116
1230000-novel,s0-build,primary_eq,masked,3725,0.071
1230000-novel,s0-build,primary_eq,artefact,97549,0.862
1230000-novel,s0-build,secondary_eq,masked,460,0.010
1230000-novel,s0-build,secondary_eq,artefact,21722,0.007
1230000-novel,s0-build,author_eq,masked,1102,0.218
1230000-novel,s0-build,author_eq,artefact,8789,1.595
1230000-novel,s0-build,author_prefix,masked,2096,0.486
1230000-novel,s0-build,author_prefix,artefact,14011,3.481
1230000-novel,s0-build,author_contains,masked,4321,0.248
1230000-novel,s0-build,author_contains,artefact,35112,1.880
1230000-novel,s0-build,ts_range_closed,masked,18761,0.134
1230000-novel,s0-build,ts_range_closed,artefact,307490,1.099
1230000-novel,s0-build,ts_range_open,masked,18534,0.126
1230000-novel,s0-build,ts_range_open,artefact,307530,0.869
1230000-novel,s0-build,composed,masked,60,0.019
1230000-novel,s1-flushed,archive_eq,masked,8030,0.136
1230000-novel,s1-flushed,archive_eq,artefact,258938,0.194
1230000-novel,s1-flushed,archive_in3,masked,152191,0.395
1230000-novel,s1-flushed,archive_in3,artefact,647447,0.358
1230000-novel,s1-flushed,primary_eq,masked,4930,0.133
1230000-novel,s1-flushed,primary_eq,artefact,98754,1.031
1230000-novel,s1-flushed,secondary_eq,masked,854,0.179
1230000-novel,s1-flushed,secondary_eq,artefact,22116,0.182
1230000-novel,s1-flushed,author_eq,masked,1478,0.272
1230000-novel,s1-flushed,author_eq,artefact,9165,1.698
1230000-novel,s1-flushed,author_prefix,masked,2601,0.574
1230000-novel,s1-flushed,author_prefix,artefact,14516,3.581
1230000-novel,s1-flushed,author_contains,masked,5712,0.320
1230000-novel,s1-flushed,author_contains,artefact,36503,2.002
1230000-novel,s1-flushed,ts_range_closed,masked,18761,0.184
1230000-novel,s1-flushed,ts_range_closed,artefact,307490,1.430
1230000-novel,s1-flushed,ts_range_open,masked,50534,0.273
1230000-novel,s1-flushed,ts_range_open,artefact,339530,0.978
1230000-novel,s1-flushed,composed,masked,60,0.231
1230000-novel,s2-coalesced,archive_eq,masked,8030,0.105
1230000-novel,s2-coalesced,archive_eq,artefact,258938,0.120
1230000-novel,s2-coalesced,archive_in3,masked,152191,0.311
1230000-novel,s2-coalesced,archive_in3,artefact,647447,0.298
1230000-novel,s2-coalesced,primary_eq,masked,4930,0.119
1230000-novel,s2-coalesced,primary_eq,artefact,98754,0.849
1230000-novel,s2-coalesced,secondary_eq,masked,854,0.182
1230000-novel,s2-coalesced,secondary_eq,artefact,22116,0.188
1230000-novel,s2-coalesced,author_eq,masked,1478,0.260
1230000-novel,s2-coalesced,author_eq,artefact,9165,1.712
1230000-novel,s2-coalesced,author_prefix,masked,2601,0.557
1230000-novel,s2-coalesced,author_prefix,artefact,14516,3.495
1230000-novel,s2-coalesced,author_contains,masked,5712,0.306
1230000-novel,s2-coalesced,author_contains,artefact,36503,1.899
1230000-novel,s2-coalesced,ts_range_closed,masked,18761,0.148
1230000-novel,s2-coalesced,ts_range_closed,artefact,307490,0.916
1230000-novel,s2-coalesced,ts_range_open,masked,50534,0.151
1230000-novel,s2-coalesced,ts_range_open,artefact,339530,0.874
1230000-novel,s2-coalesced,composed,masked,60,0.210
1230000-novel,s3-folded,archive_eq,masked,7995,0.029
1230000-novel,s3-folded,archive_eq,artefact,258124,0.027
1230000-novel,s3-folded,archive_in3,masked,151710,0.170
1230000-novel,s3-folded,archive_in3,artefact,645413,0.153
1230000-novel,s3-folded,primary_eq,masked,4913,0.164
1230000-novel,s3-folded,primary_eq,artefact,98418,1.160
1230000-novel,s3-folded,secondary_eq,masked,853,0.008
1230000-novel,s3-folded,secondary_eq,artefact,22053,0.007
1230000-novel,s3-folded,author_eq,masked,1475,0.318
1230000-novel,s3-folded,author_eq,artefact,9142,1.872
1230000-novel,s3-folded,author_prefix,masked,2595,0.590
1230000-novel,s3-folded,author_prefix,artefact,14481,3.560
1230000-novel,s3-folded,author_contains,masked,5697,0.349
1230000-novel,s3-folded,author_contains,artefact,36418,2.232
1230000-novel,s3-folded,ts_range_closed,masked,18701,0.203
1230000-novel,s3-folded,ts_range_closed,artefact,306511,1.948
1230000-novel,s3-folded,ts_range_open,masked,50382,0.205
1230000-novel,s3-folded,ts_range_open,artefact,338472,1.619
1230000-novel,s3-folded,composed,masked,60,0.105
