scale,stage,query,candidate,cardinality,ms
25000000,s0-build,archive_eq,masked,888867,0.251
25000000,s0-build,archive_eq,artefact,5097366,0.370
25000000,s0-build,archive_in3,masked,1897495,1.436
25000000,s0-build,archive_in3,artefact,13152227,1.702
25000000,s0-build,primary_eq,masked,41687,1.468
25000000,s0-build,primary_eq,artefact,1390260,20.087
25000000,s0-build,secondary_eq,masked,737937,0.057
25000000,s0-build,secondary_eq,artefact,737937,0.072
25000000,s0-build,author_eq,masked,43642,4.291
25000000,s0-build,author_eq,artefact,310792,33.745
25000000,s0-build,author_prefix,masked,59636,8.722
25000000,s0-build,author_prefix,artefact,413930,70.880
25000000,s0-build,author_contains,masked,155759,5.427
25000000,s0-build,author_contains,artefact,1138372,43.058
25000000,s0-build,ts_range_closed,masked,444880,2.792
25000000,s0-build,ts_range_closed,artefact,6249950,25.171
25000000,s0-build,ts_range_open,masked,780660,3.206
25000000,s0-build,ts_range_open,artefact,6249950,17.819
25000000,s0-build,composed,masked,215480,2.126
25000000,s1-flushed,archive_eq,masked,906141,0.622
25000000,s1-flushed,archive_eq,artefact,5114640,0.798
25000000,s1-flushed,archive_in3,masked,1964712,2.735
25000000,s1-flushed,archive_in3,artefact,13219444,2.693
25000000,s1-flushed,primary_eq,masked,48198,1.645
25000000,s1-flushed,primary_eq,artefact,1396771,20.780
25000000,s1-flushed,secondary_eq,masked,738415,0.734
25000000,s1-flushed,secondary_eq,artefact,738415,0.785
25000000,s1-flushed,author_eq,masked,44786,4.530
25000000,s1-flushed,author_eq,artefact,311936,32.467
25000000,s1-flushed,author_prefix,masked,61290,8.988
25000000,s1-flushed,author_prefix,artefact,415584,71.452
25000000,s1-flushed,author_contains,masked,160070,5.737
25000000,s1-flushed,author_contains,artefact,1142683,42.437
25000000,s1-flushed,ts_range_closed,masked,444880,2.896
25000000,s1-flushed,ts_range_closed,artefact,6249950,25.670
25000000,s1-flushed,ts_range_open,masked,780660,3.382
25000000,s1-flushed,ts_range_open,artefact,6249950,17.700
25000000,s1-flushed,composed,masked,215480,2.730
25000000,s2-coalesced,archive_eq,masked,906141,0.522
25000000,s2-coalesced,archive_eq,artefact,5114640,0.702
25000000,s2-coalesced,archive_in3,masked,1964712,2.452
25000000,s2-coalesced,archive_in3,artefact,13219444,2.660
25000000,s2-coalesced,primary_eq,masked,48198,1.586
25000000,s2-coalesced,primary_eq,artefact,1396771,17.493
25000000,s2-coalesced,secondary_eq,masked,738415,0.789
25000000,s2-coalesced,secondary_eq,artefact,738415,0.791
25000000,s2-coalesced,author_eq,masked,44786,4.427
25000000,s2-coalesced,author_eq,artefact,311936,33.388
25000000,s2-coalesced,author_prefix,masked,61290,9.056
25000000,s2-coalesced,author_prefix,artefact,415584,72.472
25000000,s2-coalesced,author_contains,masked,160070,5.567
25000000,s2-coalesced,author_contains,artefact,1142683,43.140
25000000,s2-coalesced,ts_range_closed,masked,444880,3.004
25000000,s2-coalesced,ts_range_closed,artefact,6249950,17.680
25000000,s2-coalesced,ts_range_open,masked,780660,3.347
25000000,s2-coalesced,ts_range_open,artefact,6249950,17.780
25000000,s2-coalesced,composed,masked,215480,2.717
25000000,s3-folded,archive_eq,masked,905416,0.357
25000000,s3-folded,archive_eq,artefact,5110568,0.449
25000000,s3-folded,archive_in3,masked,1963145,1.631
25000000,s3-folded,archive_in3,artefact,13208920,1.778
25000000,s3-folded,primary_eq,masked,48153,1.814
25000000,s3-folded,primary_eq,artefact,1395661,20.922
25000000,s3-folded,secondary_eq,masked,737831,0.065
25000000,s3-folded,secondary_eq,artefact,737831,0.086
25000000,s3-folded,author_eq,masked,44747,4.832
25000000,s3-folded,author_eq,artefact,311705,36.407
25000000,s3-folded,author_prefix,masked,61242,9.441
25000000,s3-folded,author_prefix,artefact,415289,75.155
25000000,s3-folded,author_contains,masked,159925,6.075
25000000,s3-folded,author_contains,artefact,1141772,44.587
25000000,s3-folded,ts_range_closed,masked,444517,3.222
25000000,s3-folded,ts_range_closed,artefact,6245005,36.007
25000000,s3-folded,ts_range_open,masked,780067,3.706
25000000,s3-folded,ts_range_open,artefact,6245043,27.951
25000000,s3-folded,composed,masked,215295,2.497
