scale,event,index,wall_ms,attrs_bytes,attrs_files,extents,extent_bytes,rss_bytes
1230000-novel,build,0,3157,35227169,9,0,0,251138048
1230000-novel,flush,0,30.6,35286159,19,5,58990,286515200
1230000-novel,flush,1,28.1,35344715,29,10,117546,287236096
1230000-novel,flush,2,30.4,35403553,39,15,176384,287354880
1230000-novel,flush,3,30.0,35462537,49,20,235368,288784384
1230000-novel,flush,4,30.0,35521589,59,25,294420,290029568
1230000-novel,flush,5,27.8,35580671,69,30,353502,290140160
1230000-novel,flush,6,29.6,35639665,79,35,412496,290332672
1230000-novel,flush,7,31.5,35698719,89,40,471550,292806656
1230000-novel,flush,8,27.5,35757837,99,45,530668,292933632
1230000-novel,flush,9,30.0,35816757,109,50,589588,293044224
1230000-novel,flush,10,30.2,35876071,119,55,648902,293109760
1230000-novel,flush,11,29.8,35934935,129,60,707766,293228544
1230000-novel,flush,12,29.9,35993821,139,65,766652,293347328
1230000-novel,flush,13,29.9,36052791,149,70,825622,293466112
1230000-novel,flush,14,33.0,36111705,159,75,884536,297959424
1230000-novel,flush,15,30.3,36170561,169,80,943392,298070016
1230000-novel,coalesce,1,35.5,36614471,179,45,915752,310050816
1230000-novel,coalesce,2,25.4,37443677,189,10,888062,309895168
1230000-novel,fold,0,832,36258511,13,0,0,301109248
