scale,event,index,wall_ms,attrs_bytes,attrs_files,extents,extent_bytes,rss_bytes
25000000,build,0,44350,703309478,9,0,0,1764220928
25000000,flush,0,29.1,703369515,19,5,60037,2362032128
25000000,flush,1,29.0,703428841,29,10,119363,2362691584
25000000,flush,2,30.4,703488285,39,15,178807,2363035648
25000000,flush,3,31.5,703547705,49,20,238227,2364248064
25000000,flush,4,30.9,703607335,59,25,297857,2365452288
25000000,flush,5,31.4,703666575,69,30,357097,2365571072
25000000,flush,6,31.4,703725801,79,35,416323,2365911040
25000000,flush,7,30.4,703785685,89,40,476207,2368229376
25000000,flush,8,31.4,703844763,99,45,535285,2368348160
25000000,flush,9,31.9,703904331,109,50,594853,2368466944
25000000,flush,10,32.6,703963675,119,55,654197,2368573440
25000000,flush,11,31.2,704023033,129,60,713555,2368692224
25000000,flush,12,32.0,704082361,139,65,772883,2368811008
25000000,flush,13,32.0,704141755,149,70,832277,2368839680
25000000,flush,14,36.9,704201045,159,75,891567,2373509120
25000000,flush,15,32.2,704260427,169,80,950949,2373627904
25000000,flush,16,31.9,704319949,179,85,1010471,2373689344
25000000,flush,17,32.0,704379578,189,90,1070100,2373808128
25000000,flush,18,31.5,704439356,199,95,1129878,2373926912
25000000,flush,19,32.1,704498920,209,100,1189442,2374041600
25000000,flush,20,31.8,704558162,219,105,1248684,2374160384
25000000,flush,21,32.0,704617686,229,110,1308208,2374279168
25000000,flush,22,31.3,704677476,239,115,1367998,2374406144
25000000,flush,23,31.5,704736870,249,120,1427392,2374524928
25000000,flush,24,32.0,704796526,259,125,1487048,2374643712
25000000,flush,25,32.3,704855764,269,130,1546286,2374631424
25000000,flush,26,32.2,704914994,279,135,1605516,2374750208
25000000,flush,27,32.0,704974358,289,140,1664880,2375069696
25000000,flush,28,36.8,705033692,299,145,1724214,2383888384
25000000,flush,29,33.2,705092988,309,150,1783510,2384007168
25000000,flush,30,32.6,705152788,319,155,1843310,2384125952
25000000,flush,31,31.6,705212388,329,160,1902910,2384650240
25000000,flush,32,31.9,705271828,339,165,1962350,2384769024
25000000,flush,33,32.5,705330864,349,170,2021386,2384887808
25000000,flush,34,32.3,705390214,359,175,2080736,2384863232
25000000,flush,35,31.0,705449516,369,180,2140038,2384982016
25000000,flush,36,32.5,705509170,379,185,2199692,2385100800
25000000,flush,37,32.0,705568438,389,190,2258960,2385223680
25000000,flush,38,32.2,705627638,399,195,2318160,2385342464
25000000,flush,39,32.8,705686910,409,200,2377432,2385461248
25000000,flush,40,32.6,705746490,419,205,2437012,2385502208
25000000,flush,41,31.9,705805776,429,210,2496298,2385620992
25000000,flush,42,32.5,705864862,439,215,2555384,2385739776
25000000,flush,43,34.6,705924324,449,220,2614846,2385973248
25000000,flush,44,32.3,705983716,459,225,2674238,2386087936
25000000,flush,45,32.1,706043480,469,230,2734002,2386206720
25000000,flush,46,32.5,706103066,479,235,2793588,2386026496
25000000,flush,47,32.0,706162294,489,240,2852816,2386145280
25000000,flush,48,32.3,706221474,499,245,2911996,2386264064
25000000,flush,49,32.2,706280616,509,250,2971138,2386743296
25000000,flush,50,31.7,706339580,519,255,3030102,2386862080
25000000,flush,51,32.2,706398984,529,260,3089506,2387374080
25000000,flush,52,31.9,706458222,539,265,3148744,2389893120
25000000,flush,53,31.7,706517916,549,270,3208438,2390429696
25000000,flush,54,31.9,706577210,559,275,3267732,2390962176
25000000,flush,55,36.1,706636286,569,280,3326808,2390921216
25000000,flush,56,31.9,706695320,579,285,3385842,2391040000
25000000,flush,57,46.2,706754454,589,290,3444976,2408468480
25000000,flush,58,32.5,706813776,599,295,3504298,2408497152
25000000,flush,59,32.2,706873096,609,300,3563618,2408615936
25000000,flush,60,32.3,706932442,619,305,3622964,2408734720
25000000,flush,61,32.9,706992066,629,310,3682588,2408935424
25000000,flush,62,32.3,707051254,639,315,3741776,2409054208
25000000,flush,63,32.4,707110458,649,320,3800980,2409172992
25000000,coalesce,1,35.4,707557664,659,285,3771979,2658820096
25000000,coalesce,2,25.3,708384966,669,250,3736715,2658652160
25000000,coalesce,3,45.6,709601308,679,215,3709114,2658349056
25000000,coalesce,4,45.6,711198450,689,180,3673908,2658107392
25000000,coalesce,5,45.5,713175944,699,145,3638436,2657718272
25000000,coalesce,6,45.6,715533470,709,110,3603122,2657488896
25000000,coalesce,7,65.8,718271156,719,75,3567528,2657214464
25000000,coalesce,8,65.8,721396474,729,40,3540456,2656976896
25000000,coalesce,9,65.8,724901568,739,5,3505094,2656641024
25000000,fold,0,14396,707306912,13,0,0,2322554880
