n,shape,share,result_cardinality,tile_width,viewport_rows,route,ms,ns_per_unit,answer_rows
100000000,scattered,0.0001,9980,1000,300000,project,1.158,116.08,32
100000000,scattered,0.0001,9980,1000,300000,per_tile_ideal,11.017,36.72,32
100000000,scattered,0.0001,9980,1000,300000,per_tile_real,18.278,60.93,32
100000000,scattered,0.0001,9980,1000,300000,coarse_prefilter,126.632,422.11,32
100000000,scattered,0.0001,9980,10000,3000000,project,0.889,89.07,308
100000000,scattered,0.0001,9980,10000,3000000,per_tile_ideal,104.045,34.68,308
100000000,scattered,0.0001,9980,10000,3000000,per_tile_real,170.568,56.86,308
100000000,scattered,0.0001,9980,10000,3000000,coarse_prefilter,795.330,265.11,308
100000000,scattered,0.001,99832,1000,300000,project,5.220,52.29,320
100000000,scattered,0.001,99832,1000,300000,per_tile_ideal,10.318,34.39,320
100000000,scattered,0.001,99832,1000,300000,per_tile_real,17.505,58.35,320
100000000,scattered,0.001,99832,1000,300000,coarse_prefilter,124.126,413.75,320
100000000,scattered,0.001,99832,10000,3000000,project,21.907,219.44,3019
100000000,scattered,0.001,99832,10000,3000000,per_tile_ideal,115.600,38.53,3019
100000000,scattered,0.001,99832,10000,3000000,per_tile_real,190.557,63.52,3019
100000000,scattered,0.001,99832,10000,3000000,coarse_prefilter,908.957,302.99,3019
100000000,scattered,0.01,999934,1000,300000,project,35.350,35.35,3030
100000000,scattered,0.01,999934,1000,300000,per_tile_ideal,17.357,57.86,3030
100000000,scattered,0.01,999934,1000,300000,per_tile_real,24.236,80.79,3030
100000000,scattered,0.01,999934,1000,300000,coarse_prefilter,120.728,402.43,3030
100000000,scattered,0.01,999934,10000,3000000,project,36.541,36.54,29871
100000000,scattered,0.01,999934,10000,3000000,per_tile_ideal,161.650,53.88,29871
100000000,scattered,0.01,999934,10000,3000000,per_tile_real,242.198,80.73,29871
100000000,scattered,0.01,999934,10000,3000000,coarse_prefilter,769.677,256.56,29871
100000000,scattered,0.1,10003219,1000,300000,project,216.204,21.61,29961
100000000,scattered,0.1,10003219,1000,300000,per_tile_ideal,17.864,59.55,29961
100000000,scattered,0.1,10003219,1000,300000,per_tile_real,31.833,106.11,29961
100000000,scattered,0.1,10003219,1000,300000,coarse_prefilter,135.411,451.37,29961
100000000,scattered,0.1,10003219,10000,3000000,project,198.092,19.80,300034
100000000,scattered,0.1,10003219,10000,3000000,per_tile_ideal,115.336,38.45,300034
100000000,scattered,0.1,10003219,10000,3000000,per_tile_real,286.775,95.59,300034
100000000,scattered,0.1,10003219,10000,3000000,coarse_prefilter,814.232,271.41,300034
100000000,contiguous,0.0001,10000,1000,300000,project,0.310,30.96,30
100000000,contiguous,0.0001,10000,1000,300000,per_tile_ideal,0.664,2.21,30
100000000,contiguous,0.0001,10000,1000,300000,per_tile_real,5.912,19.71,30
100000000,contiguous,0.0001,10000,1000,300000,coarse_prefilter,114.766,382.55,30
100000000,contiguous,0.0001,10000,10000,3000000,project,0.341,34.10,292
100000000,contiguous,0.0001,10000,10000,3000000,per_tile_ideal,6.042,2.01,292
100000000,contiguous,0.0001,10000,10000,3000000,per_tile_real,59.688,19.90,292
100000000,contiguous,0.0001,10000,10000,3000000,coarse_prefilter,797.502,265.83,292
100000000,contiguous,0.001,100000,1000,300000,project,1.768,17.68,297
100000000,contiguous,0.001,100000,1000,300000,per_tile_ideal,0.764,2.55,297
100000000,contiguous,0.001,100000,1000,300000,per_tile_real,6.093,20.31,297
100000000,contiguous,0.001,100000,1000,300000,coarse_prefilter,120.603,402.01,297
100000000,contiguous,0.001,100000,10000,3000000,project,1.858,18.58,3029
100000000,contiguous,0.001,100000,10000,3000000,per_tile_ideal,6.742,2.25,3029
100000000,contiguous,0.001,100000,10000,3000000,per_tile_real,60.635,20.21,3029
100000000,contiguous,0.001,100000,10000,3000000,coarse_prefilter,793.702,264.57,3029
100000000,contiguous,0.01,1000000,1000,300000,project,16.682,16.68,3105
100000000,contiguous,0.01,1000000,1000,300000,per_tile_ideal,1.030,3.43,3105
100000000,contiguous,0.01,1000000,1000,300000,per_tile_real,6.366,21.22,3105
100000000,contiguous,0.01,1000000,1000,300000,coarse_prefilter,119.780,399.27,3105
100000000,contiguous,0.01,1000000,10000,3000000,project,17.368,17.37,30246
100000000,contiguous,0.01,1000000,10000,3000000,per_tile_ideal,9.288,3.10,30246
100000000,contiguous,0.01,1000000,10000,3000000,per_tile_real,62.906,20.97,30246
100000000,contiguous,0.01,1000000,10000,3000000,coarse_prefilter,807.753,269.25,30246
100000000,contiguous,0.1,10000000,1000,300000,project,199.836,19.98,30029
100000000,contiguous,0.1,10000000,1000,300000,per_tile_ideal,2.767,9.22,30029
100000000,contiguous,0.1,10000000,1000,300000,per_tile_real,8.714,29.05,30029
100000000,contiguous,0.1,10000000,1000,300000,coarse_prefilter,122.618,408.73,30029
100000000,contiguous,0.1,10000000,10000,3000000,project,181.460,18.15,300446
100000000,contiguous,0.1,10000000,10000,3000000,per_tile_ideal,27.478,9.16,300446
100000000,contiguous,0.1,10000000,10000,3000000,per_tile_real,84.969,28.32,300446
100000000,contiguous,0.1,10000000,10000,3000000,coarse_prefilter,766.784,255.59,300446
