n,mean_values,domain,candidate,candidates,operator,layout,ms,ns_per_candidate,hits,bytes,needle_members
10000000,2,200,contiguous-1pct,100000,any_of,csr,0.867,8.67,8610,119306648,886608
10000000,2,200,contiguous-1pct,100000,any_of,postings,0.943,9.43,8610,38234874,886608
10000000,2,200,contiguous-1pct,100000,any_of,pairs,1.055,10.55,8610,158613288,886608
10000000,2,200,contiguous-1pct,100000,all_of,csr,0.802,8.02,75,119306648,688593
10000000,2,200,contiguous-1pct,100000,all_of,postings,0.294,2.94,75,38234874,688593
10000000,2,200,contiguous-1pct,100000,all_of,pairs,1.062,10.62,75,158613288,688593
10000000,2,200,contiguous-1pct,100000,none_of,csr,1.176,11.76,91390,119306648,886608
10000000,2,200,contiguous-1pct,100000,none_of,postings,0.936,9.36,91390,38234874,886608
10000000,2,200,contiguous-1pct,100000,none_of,pairs,1.345,13.45,91390,158613288,886608
10000000,2,200,contiguous-25pct,2500000,any_of,csr,21.683,8.67,217786,119306648,886608
10000000,2,200,contiguous-25pct,2500000,any_of,postings,1.167,0.47,217786,38234874,886608
10000000,2,200,contiguous-25pct,2500000,any_of,pairs,27.162,10.86,217786,158613288,886608
10000000,2,200,contiguous-25pct,2500000,all_of,csr,20.101,8.04,1662,119306648,688593
10000000,2,200,contiguous-25pct,2500000,all_of,postings,0.278,0.11,1662,38234874,688593
10000000,2,200,contiguous-25pct,2500000,all_of,pairs,25.921,10.37,1662,158613288,688593
10000000,2,200,contiguous-25pct,2500000,none_of,csr,29.768,11.91,2282214,119306648,886608
10000000,2,200,contiguous-25pct,2500000,none_of,postings,1.037,0.41,2282214,38234874,886608
10000000,2,200,contiguous-25pct,2500000,none_of,pairs,33.768,13.51,2282214,158613288,886608
10000000,2,200,blocked-1pct,131072,any_of,csr,1.131,8.63,11273,119306648,886608
10000000,2,200,blocked-1pct,131072,any_of,postings,0.943,7.20,11273,38234874,886608
10000000,2,200,blocked-1pct,131072,any_of,pairs,1.373,10.48,11273,158613288,886608
10000000,2,200,blocked-1pct,131072,all_of,csr,1.054,8.04,94,119306648,688593
10000000,2,200,blocked-1pct,131072,all_of,postings,0.275,2.10,94,38234874,688593
10000000,2,200,blocked-1pct,131072,all_of,pairs,1.365,10.42,94,158613288,688593
10000000,2,200,blocked-1pct,131072,none_of,csr,1.549,11.82,119799,119306648,886608
10000000,2,200,blocked-1pct,131072,none_of,postings,0.945,7.21,119799,38234874,886608
10000000,2,200,blocked-1pct,131072,none_of,pairs,1.794,13.69,119799,158613288,886608
10000000,2,200,blocked-25pct,2528896,any_of,csr,22.045,8.72,220577,119306648,886608
10000000,2,200,blocked-25pct,2528896,any_of,postings,0.954,0.38,220577,38234874,886608
10000000,2,200,blocked-25pct,2528896,any_of,pairs,26.757,10.58,220577,158613288,886608
10000000,2,200,blocked-25pct,2528896,all_of,csr,20.399,8.07,1645,119306648,688593
10000000,2,200,blocked-25pct,2528896,all_of,postings,0.297,0.12,1645,38234874,688593
10000000,2,200,blocked-25pct,2528896,all_of,pairs,26.172,10.35,1645,158613288,688593
10000000,2,200,blocked-25pct,2528896,none_of,csr,29.880,11.82,2308319,119306648,886608
10000000,2,200,blocked-25pct,2528896,none_of,postings,1.010,0.40,2308319,38234874,886608
10000000,2,200,blocked-25pct,2528896,none_of,pairs,33.995,13.44,2308319,158613288,886608
10000000,2,200,scattered-1pct,100031,any_of,csr,4.599,45.98,8738,119306648,886608
10000000,2,200,scattered-1pct,100031,any_of,postings,1.021,10.20,8738,38234874,886608
10000000,2,200,scattered-1pct,100031,any_of,pairs,34.647,346.36,8738,158613288,886608
10000000,2,200,scattered-1pct,100031,all_of,csr,2.832,28.31,78,119306648,688593
10000000,2,200,scattered-1pct,100031,all_of,postings,0.311,3.11,78,38234874,688593
10000000,2,200,scattered-1pct,100031,all_of,pairs,36.455,364.43,78,158613288,688593
10000000,2,200,scattered-1pct,100031,none_of,csr,5.640,56.38,91293,119306648,886608
10000000,2,200,scattered-1pct,100031,none_of,postings,1.026,10.26,91293,38234874,886608
10000000,2,200,scattered-1pct,100031,none_of,pairs,35.496,354.85,91293,158613288,886608
10000000,2,200,scattered-25pct,2502051,any_of,csr,39.229,15.68,217296,119306648,886608
10000000,2,200,scattered-25pct,2502051,any_of,postings,1.781,0.71,217296,38234874,886608
10000000,2,200,scattered-25pct,2502051,any_of,pairs,138.418,55.32,217296,158613288,886608
