n,mask,coverage,viewport_rows,match_share,route,detail,ms,ns_per_viewport_row,result_entities,hits
10000000,contiguous,0.01,300000,0.00100,E-scan,entity-space column,0.049,0.16,108,7
10000000,contiguous,0.01,300000,0.00100,E-cross,project,0.020,0.07,108,7
10000000,contiguous,0.01,300000,0.00100,E-total,project,0.070,0.23,108,7
10000000,contiguous,0.01,300000,0.00100,R-dense,render column,0.211,0.70,108,7
10000000,contiguous,0.01,300000,0.00100,R-masked,render column,0.036,0.12,108,7
10000000,contiguous,0.01,30000,0.00100,E-scan,entity-space column,0.034,1.12,108,0
10000000,contiguous,0.01,30000,0.00100,E-cross,project,0.012,0.40,108,0
10000000,contiguous,0.01,30000,0.00100,E-total,project,0.046,1.52,108,0
10000000,contiguous,0.01,30000,0.00100,R-dense,render column,0.021,0.70,108,0
10000000,contiguous,0.01,30000,0.00100,R-masked,render column,0.018,0.59,108,0
10000000,contiguous,0.25,300000,0.00100,E-scan,entity-space column,0.619,2.06,2552,81
10000000,contiguous,0.25,300000,0.00100,E-cross,project,0.149,0.50,2552,81
10000000,contiguous,0.25,300000,0.00100,E-total,project,0.768,2.56,2552,81
10000000,contiguous,0.25,300000,0.00100,R-dense,render column,0.157,0.52,2552,81
10000000,contiguous,0.25,300000,0.00100,R-masked,render column,0.283,0.94,2552,81
10000000,contiguous,0.25,30000,0.00100,E-scan,entity-space column,0.613,20.43,2552,11
10000000,contiguous,0.25,30000,0.00100,E-cross,project,0.128,4.27,2552,11
10000000,contiguous,0.25,30000,0.00100,E-total,project,0.741,24.70,2552,11
10000000,contiguous,0.25,30000,0.00100,R-dense,render column,0.017,0.58,2552,11
10000000,contiguous,0.25,30000,0.00100,R-masked,render column,0.036,1.21,2552,11
10000000,blocked,0.01,300000,0.00100,E-scan,entity-space column,0.053,0.18,146,6
10000000,blocked,0.01,300000,0.00100,E-cross,project,0.013,0.04,146,6
10000000,blocked,0.01,300000,0.00100,E-total,project,0.066,0.22,146,6
10000000,blocked,0.01,300000,0.00100,R-dense,render column,0.151,0.50,146,6
