tier,principal,principal_terms,principal_visible,layer,arm,served,census,served_not_in_census,census_not_served,count_disagreements,exact,authorise_seconds,census_seconds,request_seconds
1e7,0.9375,131072,9375624,generator/flat,flat,99997,99997,0,0,0,True,0.389,1.923,13.7881
1e7,0.9375,131072,9375624,generator/partition-enumerated,partition,99997,99997,0,0,0,True,0.389,1.421,9.7742
1e7,0.9375,131072,9375624,generator/partition-attribute,partition,99997,99997,0,0,0,True,0.389,1.446,1.8954
1e7,0.9375,131072,9375624,campaign/boundary,boundary,37,37,0,0,0,True,0.389,2.471,0.0024
1e7,0.9375,131072,9375624,generator/treed,treed,998,998,0,0,0,True,0.389,4.254,0.6079
1e7,0.75,65536,7501541,generator/flat,flat,99997,99997,0,0,0,True,0.195,1.55,0.3772
1e7,0.75,65536,7501541,generator/partition-enumerated,partition,99997,99997,0,0,0,True,0.195,1.281,0.2516
1e7,0.75,65536,7501541,generator/partition-attribute,partition,99997,99997,0,0,0,True,0.195,1.237,0.1821
1e7,0.75,65536,7501541,campaign/boundary,boundary,37,37,0,0,0,True,0.195,2.032,0.002
1e7,0.75,65536,7501541,generator/treed,treed,998,998,0,0,0,True,0.195,3.431,0.0178
1e7,0.5,38390,4999670,generator/flat,flat,99997,99997,0,0,0,True,0.067,1.193,0.3298
1e7,0.5,38390,4999670,generator/partition-enumerated,partition,99997,99997,0,0,0,True,0.067,0.993,0.2402
1e7,0.5,38390,4999670,generator/partition-attribute,partition,99997,99997,0,0,0,True,0.067,0.98,0.1577
1e7,0.5,38390,4999670,campaign/boundary,boundary,37,37,0,0,0,True,0.067,1.515,0.0022
1e7,0.5,38390,4999670,generator/treed,treed,998,998,0,0,0,True,0.067,2.415,0.0169
1e7,0.25,17560,2500555,generator/flat,flat,99997,99997,0,0,0,True,0.038,0.847,0.3113
1e7,0.25,17560,2500555,generator/partition-enumerated,partition,99997,99997,0,0,0,True,0.038,0.732,0.2385
1e7,0.25,17560,2500555,generator/partition-attribute,partition,99997,99997,0,0,0,True,0.038,0.726,0.1164
1e7,0.25,17560,2500555,campaign/boundary,boundary,37,37,0,0,0,True,0.038,0.97,0.0019
1e7,0.25,17560,2500555,generator/treed,treed,998,998,0,0,0,True,0.038,1.398,0.0178
1e7,0.094,6312,940803,generator/flat,flat,99997,99997,0,0,0,True,0.019,0.605,0.3236
1e7,0.094,6312,940803,generator/partition-enumerated,partition,99989,99989,0,0,0,True,0.019,0.554,0.255
1e7,0.094,6312,940803,generator/partition-attribute,partition,99989,99989,0,0,0,True,0.019,0.554,0.0938
1e7,0.094,6312,940803,campaign/boundary,boundary,37,37,0,0,0,True,0.019,0.622,0.0018
1e7,0.094,6312,940803,generator/treed,treed,998,998,0,0,0,True,0.019,0.802,0.0176
1e7,0.031,2048,311288,generator/flat,flat,98883,98883,0,0,0,True,0.012,0.486,1.5843
1e7,0.031,2048,311288,generator/partition-enumerated,partition,95478,95478,0,0,0,True,0.012,0.445,1.0519
1e7,0.031,2048,311288,generator/partition-attribute,partition,95478,95478,0,0,0,True,0.012,0.476,0.0859
1e7,0.031,2048,311288,campaign/boundary,boundary,37,37,0,0,0,True,0.012,0.46,0.0023
1e7,0.031,2048,311288,generator/treed,treed,998,998,0,0,0,True,0.012,0.517,0.0836
1e7,single-term,1,160,generator/flat,flat,325,325,0,0,0,True,0.001,0.215,0.2066
1e7,single-term,1,160,generator/partition-enumerated,partition,159,159,0,0,0,True,0.001,0.221,0.1531
1e7,single-term,1,160,generator/partition-attribute,partition,159,159,0,0,0,True,0.001,0.218,0.0023
1e7,single-term,1,160,campaign/boundary,boundary,18,18,0,0,0,True,0.001,0.228,0.002
1e7,single-term,1,160,generator/treed,treed,128,128,0,0,0,True,0.001,0.223,0.0076
