tier,layer,principal,principal_terms,principal_fraction,viewport,viewport_fraction,zoom,artifacts_served,body_bytes,cold_ms,p50_ms,p99_ms,min_ms,max_ms,iterations,server_p50_ms,stream_p50_ms,serialise_p50_ms,rss_bytes,probe_ms,ratio_to_probe,over_2x_probe
1e7,generator/flat,0.9375,131072,0.9375624,100%,1.0,0,99997,9667816,13878.757,281.483,298.991,269.115,298.991,9,0.114,277.411,13.268,2816413696,131,2.15,True
1e7,generator/flat,0.9375,131072,0.9375624,75%,0.75,1,99997,9667816,276.46,275.503,287.271,272.325,287.271,9,4.414,268.319,15.877,2821873664,131,2.1,True
1e7,generator/flat,0.9375,131072,0.9375624,50%,0.5,1,99997,9667816,272.494,274.395,291.219,266.538,291.219,9,0.145,267.783,13.513,2822971392,94.6,2.9,True
1e7,generator/flat,0.9375,131072,0.9375624,25%,0.25,2,99997,9668072,967.929,985.295,1012.353,970.056,1012.353,9,0.215,978.018,12.125,2822975488,44.3,22.24,True
1e7,generator/flat,0.9375,131072,0.9375624,6.25%,0.0625,3,99996,9668072,509.418,506.186,516.99,496.96,516.99,9,0.185,501.861,13.342,2822975488,13.0,38.94,True
1e7,generator/flat,0.9375,131072,0.9375624,0.39%,0.0039062,5,51183,4949671,208.14,208.647,215.949,206.788,215.949,9,0.141,205.859,4.426,2823008256,1.9,109.81,True
1e7,generator/flat,0.9375,131072,0.9375624,0.024%,0.00024414,7,4656,454373,87.194,84.624,85.045,82.881,85.045,9,0.123,82.825,0.353,2823008256,0.9,94.03,True
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,100%,1.0,0,99997,11267752,9617.134,243.329,278.29,222.768,278.29,9,0.133,232.148,16.603,3419783168,131,1.86,False
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,75%,0.75,1,99997,11267752,236.246,228.571,245.92,222.421,245.92,9,0.146,220.343,17.74,3434455040,131,1.74,False
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,50%,0.5,1,99997,11267752,226.622,222.75,231.543,215.877,231.543,9,0.147,218.12,17.593,3434455040,94.6,2.35,True
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,25%,0.25,2,99997,11268008,717.704,714.054,740.538,701.64,740.538,9,0.211,706.625,16.002,3434455040,44.3,16.12,True
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,6.25%,0.0625,3,99997,11268008,371.782,376.909,382.207,369.951,382.207,9,0.194,368.364,16.479,3434455040,13.0,28.99,True
1e7,generator/partition-enumerated,0.9375,131072,0.9375624,0.39%,0.0039062,5,30647,3455847,120.688,121.311,126.04,120.731,126.04,9,0.166,118.639,2.686,3434455040,1.9,63.85,True
