tier,layer,principal,principal_terms,principal_fraction,viewport,viewport_fraction,zoom,artifacts_served,body_bytes,cold_ms,p50_ms,p99_ms,min_ms,max_ms,iterations,server_p50_ms,stream_p50_ms,serialise_p50_ms,rss_bytes,probe_ms,ratio_to_probe,over_2x_probe
1e7-postfold,generator/flat,0.9375,131072,0.9375624,100%,1.0,0,99997,9667816,11957.114,220.943,231.552,213.075,231.552,5,0.111,217.417,17.332,2942820352,131,1.69,False
1e7-postfold,generator/flat,0.9375,131072,0.9375624,75%,0.75,1,99997,9667816,230.809,211.77,213.614,208.879,213.614,5,0.13,207.002,14.511,2942820352,131,1.62,False
1e7-postfold,generator/flat,0.9375,131072,0.9375624,50%,0.5,1,99997,9667816,219.589,211.331,227.015,208.271,227.015,5,0.121,207.011,13.887,2942820352,94.6,2.23,True
1e7-postfold,generator/flat,0.9375,131072,0.9375624,25%,0.25,2,99997,9668072,159.446,156.886,163.209,155.649,163.209,5,0.184,154.825,14.228,2942820352,44.3,3.54,True
1e7-postfold,generator/flat,0.9375,131072,0.9375624,6.25%,0.0625,3,99996,9668072,112.118,112.484,117.528,109.753,117.528,5,0.183,108.703,18.909,2942820352,13.0,8.65,True
1e7-postfold,generator/flat,0.9375,131072,0.9375624,0.39%,0.0039062,5,51183,4949670,40.531,36.669,38.067,35.422,38.067,5,0.146,34.182,3.451,2942820352,1.9,19.3,True
1e7-postfold,generator/flat,0.9375,131072,0.9375624,0.024%,0.00024414,7,4656,454372,5.481,4.745,5.338,4.166,5.338,5,0.078,3.754,0.316,2942820352,0.9,5.27,True
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,100%,1.0,0,99997,11267752,8424.415,132.933,164.482,132.275,164.482,5,0.122,130.785,13.486,3530424320,131,1.01,False
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,75%,0.75,1,99997,11267752,134.282,138.885,150.154,132.437,150.154,5,0.138,136.846,13.531,3559813120,131,1.06,False
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,50%,0.5,1,99997,11267752,140.748,134.187,138.853,130.229,138.853,5,0.14,130.871,21.464,3559813120,94.6,1.42,False
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,25%,0.25,2,99997,11268008,112.229,108.019,117.88,106.206,117.88,5,0.194,99.512,13.075,3574206464,44.3,2.44,True
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,6.25%,0.0625,3,99997,11268007,86.717,87.86,92.24,84.272,92.24,5,0.228,78.913,12.96,3584724992,13.0,6.76,True
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,0.39%,0.0039062,5,30647,3455846,25.404,24.771,24.892,23.938,24.892,5,0.166,21.919,2.12,3584724992,1.9,13.04,True
1e7-postfold,generator/partition-enumerated,0.9375,131072,0.9375624,0.024%,0.00024414,7,2272,260068,3.867,2.98,3.295,2.551,3.295,5,0.081,2.087,0.194,3584724992,0.9,3.31,True
1e7-postfold,generator/treed,0.9375,131072,0.9375624,100%,1.0,0,998,99301,529.012,13.452,13.982,13.078,13.982,5,0.072,12.44,0.115,3584724992,131,0.1,False
1e7-postfold,generator/treed,0.9375,131072,0.9375624,75%,0.75,1,998,99301,13.987,13.777,14.899,13.25,14.899,5,0.09,12.826,0.111,3584724992,131,0.11,False
1e7-postfold,generator/treed,0.9375,131072,0.9375624,50%,0.5,1,998,99301,13.791,13.268,13.519,13.084,13.519,5,0.083,12.337,0.105,3584724992,94.6,0.14,False
