tier,principal,principal_terms,principal_visible,layer,arm,served,census,served_not_in_census,census_not_served,count_disagreements,exact,authorise_seconds,census_seconds,request_seconds,warm_seconds,warm_truncated
5e7,0.9375,131072,46877479,generator/flat,flat,499997,499997,0,0,0,True,0.038,8.17,1.275,96.903,True
5e7,0.9375,131072,46877479,generator/partition-enumerated,partition,499997,499997,0,0,0,True,0.038,6.125,0.9443,51.053,False
5e7,0.9375,131072,46877479,generator/partition-attribute,partition,499997,499997,0,0,0,True,0.038,6.392,0.892,10.687,False
5e7,0.9375,131072,46877479,campaign/boundary,boundary,37,37,0,0,0,True,0.038,10.613,0.0014,0.003,False
5e7,0.75,65536,37505597,generator/flat,flat,499997,499997,0,0,0,True,0.505,6.738,1.0016,1.893,False
5e7,0.75,65536,37505597,generator/partition-enumerated,partition,499997,499997,0,0,0,True,0.505,5.368,0.815,1.086,False
5e7,0.75,65536,37505597,generator/partition-attribute,partition,499997,499997,0,0,0,True,0.505,5.435,0.725,1.1,False
5e7,0.75,65536,37505597,campaign/boundary,boundary,37,37,0,0,0,True,0.505,9.076,0.0015,0.003,False
5e7,0.5,38390,25000290,generator/flat,flat,499997,499997,0,0,0,True,0.199,5.017,0.8701,1.364,False
5e7,0.5,38390,25000290,generator/partition-enumerated,partition,499997,499997,0,0,0,True,0.199,4.249,0.7328,0.907,False
5e7,0.5,38390,25000290,generator/partition-attribute,partition,499997,499997,0,0,0,True,0.199,4.224,0.6906,0.889,False
5e7,0.5,38390,25000290,campaign/boundary,boundary,37,37,0,0,0,True,0.199,6.643,0.002,0.03,False
5e7,0.25,17560,12498458,generator/flat,flat,499997,499997,0,0,0,True,0.109,3.704,0.715,0.979,False
5e7,0.25,17560,12498458,generator/partition-enumerated,partition,499997,499997,0,0,0,True,0.109,3.162,0.6869,0.747,False
5e7,0.25,17560,12498458,generator/partition-attribute,partition,499997,499997,0,0,0,True,0.109,3.235,0.634,0.783,False
5e7,0.25,17560,12498458,campaign/boundary,boundary,37,37,0,0,0,True,0.109,4.28,0.0016,0.002,False
5e7,0.094,6312,4699729,generator/flat,flat,499994,499994,0,0,0,True,0.049,2.616,0.667,0.73,False
5e7,0.094,6312,4699729,generator/partition-enumerated,partition,499947,499947,0,0,0,True,0.049,2.484,0.6372,0.665,False
5e7,0.094,6312,4699729,generator/partition-attribute,partition,499947,499947,0,0,0,True,0.049,2.456,0.611,0.631,False
5e7,0.094,6312,4699729,campaign/boundary,boundary,37,37,0,0,0,True,0.049,2.757,0.0018,0.003,False
5e7,0.031,2048,1552122,generator/flat,flat,494314,494314,0,0,0,True,0.025,2.113,0.6484,0.757,False
5e7,0.031,2048,1552122,generator/partition-enumerated,partition,477170,477170,0,0,0,True,0.025,2.024,0.5993,0.687,False
5e7,0.031,2048,1552122,generator/partition-attribute,partition,477170,477170,0,0,0,True,0.025,2.012,0.5698,0.612,False
5e7,0.031,2048,1552122,campaign/boundary,boundary,37,37,0,0,0,True,0.025,2.086,0.0013,0.027,False
5e7,single-term,1,769,generator/flat,flat,1582,1582,0,0,0,True,0.006,0.968,0.0026,0.004,False
5e7,single-term,1,769,generator/partition-enumerated,partition,766,766,0,0,0,True,0.006,0.978,0.0016,0.003,False
5e7,single-term,1,769,generator/partition-attribute,partition,766,766,0,0,0,True,0.006,0.967,0.0022,0.003,False
5e7,single-term,1,769,campaign/boundary,boundary,36,36,0,0,0,True,0.006,0.985,0.0011,0.002,False
