tier,layer,principal,principal_terms,principal_fraction,viewport,viewport_fraction,zoom,artifacts_served,body_bytes,cold_ms,p50_ms,p99_ms,min_ms,max_ms,iterations,cold_truncated,server_p50_ms,stream_p50_ms,serialise_p50_ms,rss_bytes,probe_ms,ratio_to_probe,over_2x_probe
5e7,generator/flat,0.9375,131072,0.93754958,100%,1.0,0,499997,48767594,95643.832,1213.927,1238.854,1173.228,1238.854,3,True,21.705,1141.56,139.686,20730597376,131,9.27,True
5e7,generator/flat,0.9375,131072,0.93754958,75%,0.75,1,499997,48767594,1233.954,1161.647,1172.208,1146.015,1172.208,3,False,21.265,1142.074,135.405,20730650624,131,8.87,True
5e7,generator/flat,0.9375,131072,0.93754958,50%,0.5,1,499997,48767594,1162.061,1188.738,1193.079,1172.792,1193.079,3,False,21.298,1158.105,142.9,20730880000,94.6,12.57,True
5e7,generator/flat,0.9375,131072,0.93754958,25%,0.25,2,499997,48767849,951.106,916.768,937.936,886.541,937.936,3,False,0.189,880.878,117.732,20731674624,44.3,20.69,True
5e7,generator/flat,0.9375,131072,0.93754958,6.25%,0.0625,3,499997,48767849,640.739,665.059,670.371,653.978,670.371,3,False,21.386,650.091,116.366,20731674624,13.0,51.16,True
5e7,generator/flat,0.9375,131072,0.93754958,0.39%,0.0039062,5,255693,24941160,318.243,284.033,291.679,283.804,291.679,3,False,11.316,275.714,69.658,20731678720,1.9,149.49,True
5e7,generator/flat,0.9375,131072,0.93754958,0.024%,0.00024414,7,23129,2260262,34.895,23.897,24.008,23.553,24.008,3,False,0.127,21.971,1.412,20731678720,0.9,26.55,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,100%,1.0,0,499997,56767529,51089.617,854.323,861.276,842.314,861.276,3,False,24.993,821.787,181.803,24414162944,131,6.52,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,75%,0.75,1,499997,56767529,877.979,857.613,881.368,846.352,881.368,3,False,26.087,836.405,186.754,24393007104,131,6.55,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,50%,0.5,1,499997,56767529,857.802,848.836,873.836,813.704,873.836,3,False,25.289,815.49,175.852,24466587648,94.6,8.97,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,25%,0.25,2,499997,56767785,743.854,755.647,762.404,722.437,762.404,3,False,26.045,712.069,142.585,24478146560,44.3,17.06,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,6.25%,0.0625,3,499995,56767721,601.125,600.144,638.499,597.227,638.499,3,False,25.707,580.401,141.968,24478146560,13.0,46.16,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,0.39%,0.0039062,5,152770,17348136,165.211,136.135,174.949,135.253,174.949,3,False,0.197,132.856,22.542,24349687808,1.9,71.65,True
5e7,generator/partition-enumerated,0.9375,131072,0.93754958,0.024%,0.00024414,7,11357,1293605,14.765,14.551,17.609,13.419,17.609,3,False,0.168,12.659,0.77,24282578944,0.9,16.17,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,100%,1.0,0,499997,56267561,10830.992,830.099,847.945,799.376,847.945,3,False,0.138,783.915,165.8,24938237952,131,6.34,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,75%,0.75,1,499997,56267561,807.924,810.519,812.007,768.874,812.007,3,False,26.39,783.414,167.294,24941862912,131,6.19,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,50%,0.5,1,499997,56267561,748.534,773.557,810.571,739.974,810.571,3,False,0.161,754.743,147.91,24941867008,94.6,8.18,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,25%,0.25,2,499997,56267817,666.614,689.647,701.924,660.6,701.924,3,False,26.128,647.631,142.826,24943628288,44.3,15.57,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,6.25%,0.0625,3,499995,56267753,603.397,591.45,603.836,570.764,603.836,3,False,26.453,551.083,151.496,25006977024,13.0,45.5,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,0.39%,0.0039062,5,152770,17195368,158.341,134.373,140.615,131.992,140.615,3,False,0.179,131.833,24.561,24944222208,1.9,70.72,True
5e7,generator/partition-attribute,0.9375,131072,0.93754958,0.024%,0.00024414,7,11357,1282277,11.752,11.54,11.954,10.814,11.954,3,False,0.146,10.116,0.822,24944222208,0.9,12.82,True
5e7,campaign/boundary,0.9375,131072,0.93754958,100%,1.0,0,37,8290,2.503,1.414,1.442,1.294,1.442,3,False,0.067,0.678,0.057,24944222208,131,0.01,False
5e7,campaign/boundary,0.9375,131072,0.93754958,75%,0.75,1,37,8290,1.465,1.279,1.398,1.261,1.398,3,False,0.071,0.606,0.054,24944222208,131,0.01,False
5e7,campaign/boundary,0.9375,131072,0.93754958,50%,0.5,1,37,8290,1.318,1.251,1.338,1.25,1.338,3,False,0.071,0.586,0.062,24944222208,94.6,0.01,False
5e7,campaign/boundary,0.9375,131072,0.93754958,25%,0.25,2,21,7010,1.424,1.18,1.188,1.115,1.188,3,False,0.101,0.479,0.043,24944222208,44.3,0.03,False
5e7,campaign/boundary,0.9375,131072,0.93754958,6.25%,0.0625,3,7,5538,0.997,1.075,1.093,0.935,1.093,3,False,0.101,0.267,0.038,24944222208,13.0,0.08,False
5e7,campaign/boundary,0.9375,131072,0.93754958,0.39%,0.0039062,5,1,5218,1.003,0.927,0.997,0.907,0.997,3,False,0.059,0.121,0.038,24944222208,1.9,0.49,False
5e7,campaign/boundary,0.9375,131072,0.93754958,0.024%,0.00024414,7,1,5218,1.183,0.908,1.017,0.896,1.017,3,False,0.076,0.139,0.047,24944222208,0.9,1.01,False
5e7,generator/flat,0.75,65536,0.75011194,100%,1.0,0,499997,48767593,1793.09,1019.415,1030.283,1000.304,1030.283,3,False,0.189,999.374,127.94,25108512768,209,4.88,True
5e7,generator/flat,0.75,65536,0.75011194,75%,0.75,1,499997,48767594,1026.976,1023.133,1023.168,1007.247,1023.168,3,False,22.002,1005.965,142.531,25108598784,187,5.47,True
5e7,generator/flat,0.75,65536,0.75011194,50%,0.5,1,499997,48767593,1000.574,1008.757,1080.646,1006.769,1080.646,3,False,21.795,994.59,139.485,25108598784,132,7.64,True
5e7,generator/flat,0.75,65536,0.75011194,25%,0.25,2,499997,48767849,803.463,811.54,823.423,803.724,823.423,3,False,22.398,792.515,117.775,25108598784,62.5,12.98,True
5e7,generator/flat,0.75,65536,0.75011194,6.25%,0.0625,3,499994,48767785,623.56,606.646,614.444,604.802,614.444,3,False,22.065,586.972,115.435,25108598784,17.6,34.47,True
5e7,generator/flat,0.75,65536,0.75011194,0.39%,0.0039062,5,219636,21424488,182.964,182.861,188.536,182.187,188.536,3,False,0.169,179.767,28.666,25108598784,2.4,76.19,True
5e7,generator/flat,0.75,65536,0.75011194,0.024%,0.00024414,7,18630,1821350,21.832,20.385,20.417,19.857,20.417,3,False,0.155,18.338,1.16,25108598784,1.0,20.39,True
