arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,100,0.024,10,grouped,3,0,5846,238,1,848,6937,5959,8008,1986,1986
dispersed,100000000,1000000,100,0.024,10,hoisted,3,0,2091,214,1,791,3104,2746,3836,1986,1986
dispersed,100000000,1000000,100,0.024,10,index,3,0,6273,379,1300,0,7953,6664,8245,1986,1986
dispersed,100000000,1000000,100,0.024,10,settled,3,105,5835,2,0,0,5837,4947,6715,1986,1986
dispersed,100000000,1000000,100,0.39,8,grouped,3,0,30534,269,3,1207,32010,31035,33438,18777,18224
dispersed,100000000,1000000,100,0.39,8,hoisted,3,0,10395,264,3,1230,11879,11492,13013,18777,18224
dispersed,100000000,1000000,100,0.39,8,index,3,0,29859,4770,13726,0,48318,47132,49867,18777,18777
dispersed,100000000,1000000,100,0.39,8,settled,3,105,29962,10,0,0,29972,29478,31111,18777,18777
dispersed,100000000,1000000,100,100,0,grouped,3,0,1147828,267,1,321,1148428,1112281,1161297,1000000,729
dispersed,100000000,1000000,100,100,0,hoisted,3,0,43759,256,1,305,44315,42506,46002,1000000,729
dispersed,100000000,1000000,100,100,0,index,3,0,1152507,247556,742445,0,2168056,2110785,2185749,1000000,1000000
dispersed,100000000,1000000,100,100,0,settled,3,105,13374,249,0,0,13623,13341,14809,1000000,1000000
dispersed,100000000,1000000,100,25,5,grouped,3,0,369182,255,1,7153,376520,369134,387551,382267,284454
dispersed,100000000,1000000,100,25,5,hoisted,3,0,30666,257,1,7251,38211,37638,39903,382267,284454
dispersed,100000000,1000000,100,25,5,index,3,0,364479,95551,285935,0,752420,736813,761389,382267,382267
dispersed,100000000,1000000,100,25,5,settled,3,105,124614,113,0,0,124727,123145,129785,382267,382267
dispersed,100000000,1000000,100,50,4,grouped,3,0,731841,226,1,10925,743024,736945,750987,719214,159773
dispersed,100000000,1000000,100,50,4,hoisted,3,0,42197,226,1,11014,53438,52785,55315,719214,159773
dispersed,100000000,1000000,100,50,4,index,3,0,736908,176650,533140,0,1446697,1393722,1470340,719214,719214
dispersed,100000000,1000000,100,50,4,settled,3,105,202201,185,0,0,202380,199268,205137,719214,719214
dispersed,100000000,1000000,100,6.25,6,grouped,3,0,118235,251,1,3219,121670,120509,123111,134011,128112
dispersed,100000000,1000000,100,6.25,6,hoisted,3,0,19144,256,1,3179,22533,22378,23018,134011,128112
dispersed,100000000,1000000,100,6.25,6,index,3,0,116829,32840,101351,0,250910,248066,255392,134011,134011
dispersed,100000000,1000000,100,6.25,6,settled,3,105,108015,37,0,0,108051,106218,109746,134011,134011
dispersed,100000000,1000000,100,75,4,grouped,3,0,1038372,268,2,13610,1052215,1039103,1080629,980774,15321
dispersed,100000000,1000000,100,75,4,hoisted,3,0,49625,227,1,13136,63034,62113,65250,980774,15321
dispersed,100000000,1000000,100,75,4,index,3,0,1028432,242959,729177,0,2001302,1988925,2033391,980774,980774
dispersed,100000000,1000000,100,75,4,settled,3,105,184572,253,0,0,184872,183275,191029,980774,980774
dispersed,100000000,1000000,25,0.024,10,grouped,3,0,2596,199,1,769,3513,3401,4688,680,680
dispersed,100000000,1000000,25,0.024,10,hoisted,3,0,1427,192,2,702,2301,2078,3905,680,680
dispersed,100000000,1000000,25,0.024,10,index,3,0,6980,532,3480,0,10997,10180,11286,1969,680
dispersed,100000000,1000000,25,0.024,10,settled,3,195,2077,1,0,0,2077,1825,3304,680,680
dispersed,100000000,1000000,25,0.39,8,grouped,3,0,18493,431,3,1014,19917,18408,21137,6373,6304
dispersed,100000000,1000000,25,0.39,8,hoisted,3,0,10994,412,2,1018,12382,11469,12908,6373,6304
dispersed,100000000,1000000,25,0.39,8,index,3,0,30868,7263,33794,0,71925,68978,77341,18743,6373
dispersed,100000000,1000000,25,0.39,8,settled,3,195,16741,7,0,0,16748,15185,18875,6373,6373
dispersed,100000000,1000000,25,100,0,grouped,3,0,398101,373,2,8664,407189,390445,420304,330088,356
dispersed,100000000,1000000,25,100,0,hoisted,3,0,45068,376,2,8532,54219,53201,55891,330088,356
dispersed,100000000,1000000,25,100,0,index,3,0,1121518,342832,1722362,0,3188087,3120363,3285202,1000000,330088
dispersed,100000000,1000000,25,100,0,settled,3,195,4287,150,0,0,4437,4236,4546,330088,330088
dispersed,100000000,1000000,25,25,5,grouped,3,0,136118,430,2,4154,140728,135453,143012,126410,115870
dispersed,100000000,1000000,25,25,5,hoisted,3,0,27709,417,2,4290,32657,31082,33428,126410,115870
dispersed,100000000,1000000,25,25,5,index,3,0,365687,131684,659177,0,1156911,1120172,1172555,382190,126410
dispersed,100000000,1000000,25,25,5,settled,3,195,49008,70,0,0,49070,46602,49782,126410,126410
dispersed,100000000,1000000,25,50,4,grouped,3,0,262068,414,2,6983,269465,264422,281258,237967,162732
dispersed,100000000,1000000,25,50,4,hoisted,3,0,39861,434,2,7075,47380,46549,49333,237967,162732
