tier,layer,principal,principal_terms,principal_fraction,viewport,viewport_fraction,zoom,artifacts_served,body_bytes,cold_ms,p50_ms,p99_ms,min_ms,max_ms,iterations,server_p50_ms,stream_p50_ms,serialise_p50_ms,rss_bytes,probe_ms,ratio_to_probe,over_2x_probe
ceiling,campaign/ceiling,0.9375,131072,0.9375624,100%,1.0,0,9219239,954117484,127023.271,12489.402,12603.199,12292.015,12603.199,3,0.256,11287.809,2842.453,9650106368,131,95.34,True
ceiling,campaign/ceiling,0.9375,131072,0.9375624,25%,0.25,2,5189511,537076011,7158.412,7265.132,7365.38,7159.601,7365.38,3,0.316,6540.103,1560.379,9629286400,44.3,164.0,True
ceiling,campaign/ceiling,0.9375,131072,0.9375624,6.25%,0.0625,3,1297197,134253866,1916.929,2004.074,2076.793,1876.001,2076.793,3,57.113,1890.193,393.558,9883967488,13.0,154.16,True
ceiling,campaign/ceiling,0.9375,131072,0.9375624,0.024%,0.00024414,7,2267,238884,65.141,6.916,8.592,6.397,8.592,3,0.104,5.774,0.17,9883967488,0.9,7.68,True
ceiling,campaign/ceiling,0.25,17560,0.2500555,100%,1.0,0,2460521,254646314,3667.439,3480.19,3681.823,3331.001,3681.823,3,0.129,3340.125,706.561,10279870464,144,24.17,True
ceiling,campaign/ceiling,0.25,17560,0.2500555,25%,0.25,2,1384220,143259626,2080.75,2014.541,2032.551,1974.285,2032.551,3,60.184,1964.61,354.923,10310942720,42.6,47.29,True
ceiling,campaign/ceiling,0.25,17560,0.2500555,6.25%,0.0625,3,345945,35807080,538.26,430.018,448.562,427.59,448.562,3,0.168,422.986,46.366,9771520000,12.2,35.25,True
ceiling,campaign/ceiling,0.25,17560,0.2500555,0.024%,0.00024414,7,605,66915,5.168,4.372,5.144,4.072,5.144,3,0.075,3.498,0.073,9771520000,0.9,4.86,True
ceiling,campaign/ceiling,0.031,2048,0.0311288,100%,1.0,0,306457,31719848,429.295,394.824,399.367,384.9,399.367,3,0.112,378.001,39.346,9771974656,54.3,7.27,True
ceiling,campaign/ceiling,0.031,2048,0.0311288,25%,0.25,2,172250,17830888,205.713,207.34,212.637,202.872,212.637,3,0.139,199.992,22.262,9771974656,16.7,12.42,True
ceiling,campaign/ceiling,0.031,2048,0.0311288,6.25%,0.0625,3,43402,4496038,55.961,56.424,58.688,54.354,58.688,3,0.157,51.876,2.868,9771974656,4.7,12.01,True
ceiling,campaign/ceiling,0.031,2048,0.0311288,0.024%,0.00024414,7,57,10595,3.991,3.617,3.675,3.53,3.675,3,0.071,2.81,0.056,9771978752,0.7,5.17,True
ceiling,campaign/ceiling,single-term,1,1.6e-05,100%,1.0,0,156,20387,5.454,3.928,4.235,3.719,4.235,3,0.066,2.951,0.068,9771991040,,,False
ceiling,campaign/ceiling,single-term,1,1.6e-05,25%,0.25,2,95,14243,3.593,3.548,3.561,3.535,3.561,3,0.082,2.746,0.044,9771991040,,,False
ceiling,campaign/ceiling,single-term,1,1.6e-05,6.25%,0.0625,3,14,5859,3.467,3.428,3.527,3.364,3.527,3,0.076,2.616,0.04,9771991040,,,False
ceiling,campaign/ceiling,single-term,1,1.6e-05,0.024%,0.00024414,7,0,725,3.488,3.243,3.266,3.24,3.266,3,0.052,2.463,0.01,9771991040,,,False
