t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,80,816,0,896,896
0.051,7608,15084,0,22692,23764
0.101,9064,15084,0,24148,24148
0.152,10104,15084,0,25188,25188
0.202,10100,15084,0,25184,25184
0.252,8544,15084,0,23628,25164
0.305,80276,15660,0,95936,95936
0.356,128888,15852,0,144740,150288
0.407,87756,15972,0,103728,151484
0.457,127172,15972,0,143144,180996
0.507,103308,16092,0,119400,180996
0.558,105928,16092,0,122020,180996
0.608,113532,16092,0,129624,180996
0.658,114208,16092,0,130300,180996
0.708,114208,16092,0,130300,180996
0.758,114208,16092,0,130300,180996
0.809,114208,16092,0,130300,180996
0.859,114208,16092,0,130300,180996
0.909,114208,16092,0,130300,180996
0.959,114208,16092,0,130300,180996
1.010,114208,16092,0,130300,180996
1.060,114208,16092,0,130300,180996
1.110,114532,16092,0,130624,180996
1.160,114708,16092,0,130800,180996
1.210,114908,16092,0,131000,180996
1.261,118904,16092,0,134996,180996
1.311,118904,16092,0,134996,180996
1.361,118904,16092,0,134996,180996
1.411,118904,16092,0,134996,180996
1.462,118904,16092,0,134996,180996
1.512,118904,16092,0,134996,180996
1.562,118904,16092,0,134996,180996
1.612,118904,16092,0,134996,180996
1.662,118904,16092,0,134996,180996
1.713,118904,16092,0,134996,180996
1.763,118904,16092,0,134996,180996
1.813,118904,16092,0,134996,180996
1.863,118904,16092,0,134996,180996
1.914,118904,16092,0,134996,180996
1.964,118904,16092,0,134996,180996
2.014,118904,16092,0,134996,180996
2.064,118904,16092,0,134996,180996
2.114,118904,16092,0,134996,180996
2.165,118904,16092,0,134996,180996
2.215,119320,16092,0,135412,180996
2.265,119324,16092,0,135416,180996
2.315,119324,16092,0,135416,180996
2.366,119324,16092,0,135416,180996
2.416,119324,16092,0,135416,180996
2.466,119324,16092,0,135416,180996
2.516,119324,16092,0,135416,180996
2.567,119324,16092,0,135416,180996
2.617,119324,16092,0,135416,180996
2.667,119324,16092,0,135416,180996
2.717,119324,16092,0,135416,180996
2.768,119324,16092,0,135416,180996
2.818,119324,16092,0,135416,180996
2.868,119324,16092,0,135416,180996
2.918,119324,16092,0,135416,180996
2.968,119324,16092,0,135416,180996
3.019,119324,16092,0,135416,180996
3.069,119324,16092,0,135416,180996
3.119,119324,16092,0,135416,180996
3.169,119324,16092,0,135416,180996
3.220,119324,16092,0,135416,180996
3.270,119324,16092,0,135416,180996
3.320,119324,16092,0,135416,180996
3.370,128848,16092,0,144940,180996
3.420,146908,16092,0,163000,180996
3.470,156816,16092,0,172908,180996
3.521,169000,16092,0,185092,185092
3.571,182912,16092,0,199004,199004
3.621,193168,16092,0,209260,209260
3.671,203184,16092,0,219276,219276
3.721,214884,16092,0,230976,230976
3.772,228396,16092,0,244488,244488
3.822,238220,16092,0,254312,254312
3.872,251736,16092,0,267828,267828
3.922,261320,16092,0,277412,277412
3.973,276020,16092,0,292112,292112
4.023,286284,16092,0,302376,302376
4.073,297276,16092,0,313368,313368
4.123,308156,16092,0,324248,324248
4.173,320648,16092,0,336740,336740
4.224,332672,16092,0,348764,348764
4.274,344416,16092,0,360508,360508
4.324,354928,16092,0,371020,371020
4.374,365648,16092,0,381740,381740
4.425,376424,16092,0,392516,392516
4.475,387780,16092,0,403872,403872
4.525,398340,16092,0,414432,414432
4.575,410292,16092,0,426384,426384
4.626,421228,16092,0,437320,437320
4.676,430344,16092,0,446436,446436
4.726,439444,16092,0,455536,455536
4.776,449788,16092,0,465880,465880
4.826,459384,16092,0,475476,475476
4.877,468824,16092,0,484916,484916
4.927,481488,16092,0,497580,497580
4.977,487904,16092,0,503996,503996
5.027,496988,16092,0,513080,513080
5.078,505672,16092,0,521764,521764
5.128,515300,16092,0,531392,531392
5.178,525796,16092,0,541888,541888
5.228,536260,16092,0,552352,552352
5.278,545504,16092,0,561596,561596
5.329,554596,16092,0,570688,570688
5.379,564716,16092,0,580808,580808
5.429,574812,16092,0,590904,590904
5.479,585156,16092,0,601248,601248
5.530,595544,16092,0,611636,611636
5.580,605916,16092,0,622008,622008
5.630,615196,16092,0,631288,631288
5.680,624932,16092,0,641024,641024
5.730,632752,16092,0,648844,648844
5.781,642228,16092,0,658320,658320
5.831,651616,16092,0,667708,667708
5.881,660476,16092,0,676568,676568
5.931,670140,16092,0,686232,686232
5.982,679640,16092,0,695732,695732
6.032,687848,16092,0,703940,703940
6.082,695912,16092,0,712004,712004
6.132,706408,16092,0,722500,722500
6.182,715032,16092,0,731124,731124
6.233,723816,16092,0,739908,739908
6.283,731876,16092,0,747968,747968
6.333,740328,16092,0,756420,756420
6.383,748744,16092,0,764836,764836
6.434,757160,16092,0,773252,773252
6.484,766256,16092,0,782348,782348
6.534,775100,16092,0,791192,791192
6.584,783916,16092,0,800008,800008
6.634,793444,16092,0,809536,809536
6.685,801948,16092,0,818040,818040
6.735,809500,16092,0,825592,825592
6.785,819360,16092,0,835452,835452
6.835,827096,16092,0,843188,843188
6.886,836488,16092,0,852580,852580
6.936,845100,16092,0,861192,861192
6.986,846528,16092,0,862620,862620
7.036,846528,16092,0,862620,862620
7.087,846528,16092,0,862620,862620
7.137,846528,16092,0,862620,862620
7.187,846528,16092,0,862620,862620
7.237,534908,16092,0,551000,861764
7.288,132464,16348,0,148812,861764
7.338,142092,16348,0,158440,861764
7.388,151716,16348,0,168064,861764
7.438,162156,16348,0,178504,861764
7.489,172708,16348,0,189056,861764
7.539,184028,16348,0,200376,861764
7.589,194908,16348,0,211256,861764
7.639,207716,16348,0,224064,861764
7.690,218392,16348,0,234740,861764
7.740,223372,16348,0,239720,861764
7.790,233388,16348,0,249736,861764
7.840,245492,16348,0,261840,861764
7.891,256280,16348,0,272628,861764
7.941,266324,16348,0,282672,861764
7.991,276240,16348,0,292588,861764
8.041,286292,16348,0,302640,861764
8.092,297284,16348,0,313632,861764
8.142,308164,16348,0,324512,861764
8.192,319252,16348,0,335600,861764
8.242,330296,16348,0,346644,861764
8.293,340588,16348,0,356936,861764
8.343,349440,16348,0,365788,861764
8.393,360320,16348,0,376668,861764
8.443,369204,16348,0,385552,861764
8.494,376432,16348,0,392780,861764
8.544,385116,16348,0,401464,861764
8.594,392872,16348,0,409220,861764
8.644,402264,16348,0,418612,861764
8.695,410300,16348,0,426648,861764
8.745,417072,16348,0,433420,861764
8.795,425720,16348,0,442068,861764
8.846,434488,16348,0,450836,861764
8.896,444660,16348,0,461008,861764
8.946,454204,16348,0,470552,861764
8.996,460784,16348,0,477132,861764
9.047,466232,16348,0,482580,861764
9.097,472344,16348,0,488692,861764
9.147,481496,16348,0,497844,861764
9.197,487444,16348,0,503792,861764
9.247,495828,16348,0,512176,861764
9.298,504016,16348,0,520364,861764
9.348,510996,16348,0,527344,861764
9.398,520500,16348,0,536848,861764
9.449,529464,16348,0,545812,861764
9.499,536268,16348,0,552616,861764
9.549,544660,16348,0,561008,861764
9.599,551516,16348,0,567864,861764
9.650,559672,16348,0,576020,861764
9.700,568748,16348,0,585096,861764
9.750,574820,16348,0,591168,861764
9.800,585164,16348,0,601512,861764
9.851,595008,16348,0,611356,861764
9.901,602528,16348,0,618876,861764
9.951,611140,16348,0,627488,861764
10.001,620984,16348,0,637332,861764
10.052,628928,16348,0,645276,861764
10.102,636284,16348,0,652632,861764
10.152,645724,16348,0,662072,861764
10.202,655616,16348,0,671964,861764
10.252,664172,16348,0,680520,861764
10.303,670148,16348,0,686496,861764
10.353,679648,16348,0,695996,861764
10.403,688308,16348,0,704656,861764
10.453,695428,16348,0,711776,861764
10.503,703740,16348,0,720088,861764
10.554,714864,16348,0,731212,861764
10.604,724388,16348,0,740736,861764
10.654,733356,16348,0,749704,861764
10.704,743936,16348,0,760284,861764
10.755,755588,16348,0,771936,861764
10.805,764688,16348,0,781036,861764
10.855,773984,16348,0,790332,861764
10.905,786112,16348,0,802460,861764
10.956,794208,16348,0,810556,861764
11.006,801956,16348,0,818304,861764
11.056,809508,16348,0,825856,861764
11.106,820244,16348,0,836592,861764
11.157,827372,16348,0,843720,861764
11.207,838044,16348,0,854392,861764
11.257,846536,16348,0,862884,862884
11.307,846536,16348,0,862884,862884
11.357,846536,16348,0,862884,862884
11.408,846536,16348,0,862884,862884
11.458,846536,16348,0,862884,862884
11.508,875384,16348,0,891732,891732
11.566,917656,16348,0,934004,934004
11.616,947340,16348,0,963688,963688
11.666,988876,16348,0,1005224,1005224
11.716,1045684,16348,0,1062032,1062032
11.767,1090032,16348,0,1106380,1106380
11.817,1140188,16348,0,1156536,1156536
11.867,1166600,16348,0,1182948,1182948
11.917,1215516,16348,0,1231864,1231864
11.967,1262468,16348,0,1278816,1278816
12.018,1316084,16348,0,1332432,1332432
12.068,1347828,16348,0,1364176,1364176
12.118,1371768,16348,0,1388116,1388116
12.168,1414828,16348,0,1431176,1431176
12.219,1444116,16348,0,1460464,1460464
12.269,1465092,16348,0,1481440,1481440
12.319,1490952,16348,0,1507300,1507300
12.369,1525520,16348,0,1541868,1541868
12.419,1564304,16348,0,1580652,1580652
12.470,1565724,16348,0,1582072,1582072
12.522,1565724,16348,0,1582072,1582072
12.572,1565724,16348,0,1582072,1582072
12.623,1565728,16348,0,1582076,1582076
12.673,1565736,16348,0,1582084,1582084
12.724,1565764,16348,0,1582112,1582112
12.774,1565836,16348,0,1582184,1582184
12.824,1586844,16348,0,1603192,1603192
12.875,1604632,16348,0,1620980,1620980
12.925,1607036,16348,0,1623384,1623384
12.975,1673808,16348,0,1690156,1690156
13.026,1744692,16348,0,1761040,1761040
13.076,1818280,16348,0,1834628,1834628
13.126,1892436,16348,0,1908784,1908784
13.177,1911632,16348,0,1927980,1980008
13.228,1004172,16348,0,1020520,1980008
13.278,592504,16348,0,608852,1980008
13.328,641980,16348,0,658328,1980008
13.379,677496,16348,0,693844,1980008
13.429,723708,16348,0,740056,1980008
13.479,731192,16348,0,747540,1980008
13.529,736120,26212,0,762332,1980008
13.580,758596,71644,0,830240,1980008
13.630,614000,106768,0,720768,1980008
13.680,614000,148748,0,762748,1980008
13.731,614004,172604,0,786608,1980008
