t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,112,888,0,1000,1000
0.051,6792,14720,0,21512,23288
0.101,8556,14720,0,23276,23404
0.151,9076,14720,0,23796,23796
0.202,10108,14720,0,24828,24828
0.252,10104,14720,0,24824,24824
0.302,9588,14720,0,24308,24804
0.352,9068,14720,0,23788,24804
0.403,118104,15136,0,133240,133240
0.453,89796,15456,0,105252,152972
0.503,128832,15456,0,144288,152972
0.553,98520,15456,0,113976,182952
0.604,108272,15456,0,123728,182952
0.654,108272,15456,0,123728,182952
0.704,115988,15456,0,131444,182952
0.754,116552,15456,0,132008,182952
0.804,116552,15456,0,132008,182952
0.855,116552,15456,0,132008,182952
0.905,116552,15456,0,132008,182952
0.955,116552,15456,0,132008,182952
1.005,116552,15456,0,132008,182952
1.056,116552,15456,0,132008,182952
1.106,116552,15456,0,132008,182952
1.156,116552,15456,0,132008,182952
1.206,116876,15456,0,132332,182952
1.256,117052,15456,0,132508,182952
1.307,117252,15456,0,132708,182952
1.357,121248,15456,0,136704,182952
1.407,121248,15456,0,136704,182952
1.457,121248,15456,0,136704,182952
1.508,121248,15456,0,136704,182952
1.558,121248,15456,0,136704,182952
1.608,121248,15456,0,136704,182952
1.658,121248,15456,0,136704,182952
1.708,121248,15456,0,136704,182952
1.759,121248,15456,0,136704,182952
1.809,121248,15456,0,136704,182952
1.859,121248,15456,0,136704,182952
1.909,121248,15456,0,136704,182952
1.960,121248,15456,0,136704,182952
2.010,121248,15456,0,136704,182952
2.060,121248,15456,0,136704,182952
2.110,121248,15456,0,136704,182952
2.160,121248,15456,0,136704,182952
2.211,121248,15456,0,136704,182952
2.261,121248,15456,0,136704,182952
2.311,121660,15456,0,137116,182952
2.361,121668,15456,0,137124,182952
2.411,121668,15456,0,137124,182952
2.462,121668,15456,0,137124,182952
2.512,121668,15456,0,137124,182952
2.562,121668,15456,0,137124,182952
2.612,121668,15456,0,137124,182952
2.662,121668,15456,0,137124,182952
2.713,121668,15456,0,137124,182952
2.763,121668,15456,0,137124,182952
2.813,121668,15456,0,137124,182952
2.863,121668,15456,0,137124,182952
2.914,121668,15456,0,137124,182952
2.964,121668,15456,0,137124,182952
