t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,80,648,0,728,728
0.051,7268,13948,0,21216,22476
0.101,8040,13948,0,21988,22628
0.151,9072,13948,0,23020,23020
0.202,10104,13932,0,24036,24036
0.252,9068,13932,0,23000,23900
0.302,9584,13932,0,23516,23900
0.352,6112,13932,0,20044,23900
0.402,93196,14360,0,107556,107556
0.453,91312,14552,0,105864,153868
0.503,110616,14696,0,125312,153868
0.553,90020,14696,0,104716,180052
0.603,105648,14696,0,120344,180052
0.653,105852,14696,0,120548,180052
0.704,113456,14696,0,128152,180052
0.754,114132,14616,0,128748,180052
0.804,114132,14616,0,128748,180052
0.854,114132,14616,0,128748,180052
0.905,114132,14616,0,128748,180052
0.955,114132,14616,0,128748,180052
1.005,114132,14616,0,128748,180052
1.055,114132,14616,0,128748,180052
1.106,114132,14360,0,128492,180052
1.156,114132,14360,0,128492,180052
1.206,114132,14360,0,128492,180052
1.256,114632,14360,0,128992,180052
1.307,114728,14360,0,129088,180052
1.357,116036,14360,0,130396,180052
1.407,118828,14232,0,133060,180052
1.457,118828,14296,0,133124,180052
1.508,118828,14296,0,133124,180052
1.558,118828,14296,0,133124,180052
1.608,118828,14296,0,133124,180052
1.658,118828,14296,0,133124,180052
1.709,118828,14296,0,133124,180052
1.759,118828,14296,0,133124,180052
1.809,118828,14296,0,133124,180052
1.859,118828,14296,0,133124,180052
1.910,118828,14296,0,133124,180052
1.960,118828,14296,0,133124,180052
2.010,118828,14296,0,133124,180052
2.060,118828,14296,0,133124,180052
2.110,118828,14296,0,133124,180052
2.161,118828,14296,0,133124,180052
2.211,118828,14296,0,133124,180052
2.261,118828,14296,0,133124,180052
2.311,118828,14296,0,133124,180052
2.362,118828,14296,0,133124,180052
2.412,119248,14296,0,133544,180052
2.462,119248,14296,0,133544,180052
2.512,119248,14296,0,133544,180052
2.563,119248,14296,0,133544,180052
2.613,119248,14296,0,133544,180052
2.663,119248,14296,0,133544,180052
2.713,119248,14296,0,133544,180052
2.763,119248,14296,0,133544,180052
2.814,119248,14296,0,133544,180052
2.864,119248,14296,0,133544,180052
2.914,119248,14296,0,133544,180052
2.964,119248,14296,0,133544,180052
3.015,119248,14296,0,133544,180052
3.065,119248,14296,0,133544,180052
3.115,119248,14296,0,133544,180052
3.165,119248,14296,0,133544,180052
3.215,119248,14296,0,133544,180052
3.266,119248,14296,0,133544,180052
3.316,119248,14296,0,133544,180052
3.366,119248,14296,0,133544,180052
3.416,119248,14296,0,133544,180052
3.467,119248,14296,0,133544,180052
3.517,119248,14296,0,133544,180052
3.567,119248,14376,0,133624,180052
3.617,137224,14376,0,151600,180052
3.667,148356,14376,0,162732,180052
3.718,160676,14376,0,175052,180052
3.768,172624,14376,0,187000,187000
3.818,183004,14376,0,197380,197380
3.868,193092,14376,0,207468,207468
3.919,203108,14376,0,217484,217484
3.969,214800,14376,0,229176,229176
4.019,228100,14376,0,242476,242476
4.069,238144,14376,0,252520,252520
4.119,247208,14376,0,261584,261584
4.170,260624,14376,0,275000,275000
4.220,271236,14376,0,285612,285612
4.270,281044,14376,0,295420,295420
4.320,291716,14376,0,306092,306092
4.371,302648,14376,0,317024,317024
4.421,313652,14376,0,328028,328028
4.471,324684,14376,0,339060,339060
4.521,335776,14376,0,350152,350152
4.571,344960,14376,0,359336,359336
4.622,355588,14376,0,369964,369964
4.672,366844,14376,0,381220,381220
4.722,378288,14376,0,392664,392664
4.772,389428,14376,0,403804,403804
4.823,401604,14376,0,415980,415980
4.873,413316,14376,0,427692,427692
4.923,423000,14376,0,437376,437376
4.973,434404,14376,0,448780,448780
5.023,444576,14376,0,458952,458952
5.074,455436,14376,0,469812,469812
5.124,467612,14376,0,481988,481988
5.174,480608,14376,0,494984,494984
5.224,492164,14376,0,506540,506540
5.275,500652,14376,0,515028,515028
5.325,514320,14376,0,528696,528696
5.375,525720,14376,0,540096,540096
5.425,536184,14376,0,550560,550560
5.475,547208,14376,0,561584,561584
5.526,559588,14376,0,573964,573964
5.576,569520,14376,0,583896,583896
5.626,579884,14376,0,594260,594260
5.676,590860,14376,0,605236,605236
5.727,603476,14376,0,617852,617852
5.777,615448,14376,0,629824,629824
5.827,625652,14376,0,640028,640028
5.877,635644,14376,0,650020,650020
5.927,645640,14376,0,660016,660016
5.977,657188,14376,0,671564,671564
6.028,669764,14376,0,684140,684140
6.078,679564,14376,0,693940,693940
6.128,688584,14376,0,702960,702960
6.178,701952,14376,0,716328,716328
6.228,711164,14376,0,725540,725540
6.279,722352,14376,0,736728,736728
6.329,733272,14376,0,747648,747648
6.379,742688,14376,0,757064,757064
6.429,755676,14376,0,770052,770052
6.480,764604,14376,0,778980,778980
6.530,776072,14376,0,790448,790448
6.580,786028,14376,0,800404,800404
6.630,797692,14376,0,812068,812068
6.680,807384,14376,0,821760,821760
6.731,818096,14376,0,832472,832472
6.781,829776,14376,0,844152,844152
6.831,839624,14376,0,854000,854000
6.881,846452,14376,0,860828,860828
6.931,846452,14376,0,860828,860828
6.982,846452,14376,0,860828,860828
7.032,846452,14376,0,860828,860828
7.082,846452,14376,0,860828,860828
7.132,846452,14376,0,860828,860828
7.182,127440,14524,0,141964,860360
7.233,137232,14524,0,151756,860360
7.283,147712,14524,0,162236,860360
7.333,159256,14524,0,173780,860360
7.383,170420,14524,0,184944,860360
7.434,182192,14524,0,196716,860360
7.484,193100,14524,0,207624,860360
7.534,203116,14524,0,217640,860360
7.584,213224,14524,0,227748,860360
7.634,223296,14524,0,237820,860360
7.685,233312,14524,0,247836,860360
7.735,245572,14524,0,260096,860360
7.785,256204,14524,0,270728,860360
7.835,266248,14524,0,280772,860360
7.886,276164,14524,0,290688,860360
7.936,286216,14524,0,300740,860360
7.986,297208,14524,0,311732,860360
8.036,308088,14524,0,322612,860360
8.086,319176,14524,0,333700,860360
8.137,330220,14524,0,344744,860360
8.187,343672,14524,0,358196,860360
8.237,354244,14524,0,368768,860360
8.287,365580,14524,0,380104,860360
8.337,376356,14524,0,390880,860360
8.388,387276,14524,0,401800,860360
8.438,398272,14524,0,412796,860360
8.488,410224,14524,0,424748,860360
8.538,419820,14524,0,434344,860360
8.589,430276,14524,0,444800,860360
8.639,440260,14524,0,454784,860360
8.689,452308,14524,0,466832,860360
8.739,464364,14524,0,478888,860360
8.789,476088,14524,0,490612,860360
8.840,486692,14524,0,501216,860360
8.890,495752,14524,0,510276,860360
8.940,507444,14524,0,521968,860360
8.990,520424,14524,0,534948,860360
9.041,531020,14524,0,545544,860360
9.091,541104,14524,0,555628,860360
9.141,550724,14524,0,565248,860360
9.191,563796,14524,0,578320,860360
9.241,574744,14524,0,589268,860360
9.292,585088,14524,0,599612,860360
9.342,595476,14524,0,610000,860360
9.392,605868,14524,0,620392,860360
9.442,616168,14524,0,630692,860360
9.492,625660,14524,0,640184,860360
9.543,635884,14524,0,650408,860360
9.593,645968,14524,0,660492,860360
9.643,658804,14524,0,673328,860360
9.693,670072,14524,0,684596,860360
9.744,679572,14524,0,694096,860360
9.794,688592,14524,0,703116,860360
9.844,700484,14524,0,715008,860360
9.894,711172,14524,0,725696,860360
9.945,720324,14524,0,734848,860360
9.995,732608,14524,0,747132,860360
10.045,742120,14524,0,756644,860360
10.095,751932,14524,0,766456,860360
10.145,761736,14524,0,776260,860360
10.196,770284,14524,0,784808,860360
10.246,781844,14524,0,796368,860360
10.296,791136,14524,0,805660,860360
10.346,801880,14524,0,816404,860360
10.397,809680,14524,0,824204,860360
10.447,819960,14524,0,834484,860360
10.497,828024,14524,0,842548,860360
10.547,836420,14524,0,850944,860360
10.597,845548,14524,0,860072,860360
10.648,864732,14524,0,879256,879256
10.698,915832,14524,0,930356,930356
10.748,988204,14524,0,1002728,1002728
10.798,1083912,14524,0,1098436,1098436
10.848,1176616,14524,0,1191140,1191140
10.899,1233176,14524,0,1247700,1247700
10.949,1274744,14524,0,1289268,1289268
10.999,1324344,14524,0,1338868,1338868
11.049,1367972,14524,0,1382496,1382496
11.100,1417328,14524,0,1431852,1431852
11.150,1451588,14524,0,1466112,1466112
11.200,1513952,14524,0,1528476,1528476
11.250,1565648,14524,0,1580172,1580172
11.301,1565648,14524,0,1580172,1580172
11.351,1565660,14524,0,1580184,1580184
11.402,1565676,14524,0,1580200,1580200
11.452,1565752,14524,0,1580276,1580276
11.506,1565820,14524,0,1580344,1580344
11.559,1565856,14524,0,1580380,1580380
11.609,1587640,14524,0,1602164,1602164
11.659,1604664,14524,0,1619188,1619188
11.709,1642440,14524,0,1656964,1656964
11.760,1715940,14524,0,1730464,1730464
11.810,1746616,14524,0,1761140,1761140
11.860,1785788,14524,0,1800312,1800312
11.910,1821960,14524,0,1836484,1836484
11.961,1853180,14524,0,1867704,1867704
12.011,1883260,14524,0,1897784,1897784
12.061,1934260,14524,0,1948784,1948784
12.111,1693452,14524,0,1707976,1978488
12.161,799384,14524,0,813908,1978488
12.212,618208,14588,0,632796,1978488
12.262,665796,14588,0,680384,1978488
12.312,712712,14588,0,727300,1978488
