t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,104,672,0,776,776
0.051,8564,13512,0,22076,22076
0.101,8316,13512,0,21828,22128
0.152,9072,13512,0,22584,22584
0.202,10104,13512,0,23616,23616
0.252,8556,13512,0,22068,23528
0.302,10100,13512,0,23612,23612
0.352,8544,13512,0,22056,23528
0.403,35260,13996,0,49256,49256
0.453,125244,13996,0,139240,139240
0.505,92472,14344,0,106816,150316
0.555,136260,14344,0,150604,150604
0.605,98028,14344,0,112372,184324
0.655,108596,14344,0,122940,184324
0.705,110772,14344,0,125116,184324
0.756,110772,14344,0,125116,184324
0.806,118376,14344,0,132720,184324
0.856,119052,14344,0,133396,184324
0.906,119052,14344,0,133396,184324
0.956,119052,14344,0,133396,184324
1.007,119052,14344,0,133396,184324
1.057,119052,14344,0,133396,184324
1.107,119052,14344,0,133396,184324
1.157,119052,14344,0,133396,184324
1.208,119052,14344,0,133396,184324
1.258,119052,14344,0,133396,184324
1.308,119052,14344,0,133396,184324
1.359,119376,14344,0,133720,184324
1.409,119548,14344,0,133892,184324
1.459,120376,14344,0,134720,184324
1.509,120444,14344,0,134788,184324
1.560,122732,14344,0,137076,184324
1.610,122732,14344,0,137076,184324
1.660,123744,14344,0,138088,184324
1.710,123744,14344,0,138088,184324
1.761,123744,14344,0,138088,184324
1.811,123744,14344,0,138088,184324
1.861,123744,14344,0,138088,184324
1.911,123744,14344,0,138088,184324
1.962,123744,14344,0,138088,184324
2.012,123744,14344,0,138088,184324
2.062,123744,14344,0,138088,184324
2.113,123744,14344,0,138088,184324
2.163,123744,14344,0,138088,184324
2.213,123744,14344,0,138088,184324
2.263,123744,14344,0,138088,184324
2.314,123744,14344,0,138088,184324
2.364,123744,14344,0,138088,184324
2.414,123744,14344,0,138088,184324
2.464,123744,14344,0,138088,184324
2.515,123744,14344,0,138088,184324
2.565,123744,14344,0,138088,184324
2.615,123744,14344,0,138088,184324
2.665,123744,14344,0,138088,184324
2.716,123744,14344,0,138088,184324
2.766,123744,14344,0,138088,184324
2.816,123744,14344,0,138088,184324
2.866,123744,14344,0,138088,184324
2.917,123744,14344,0,138088,184324
2.967,123744,14344,0,138088,184324
3.017,123744,14344,0,138088,184324
3.068,123744,14344,0,138088,184324
3.118,123744,14344,0,138088,184324
3.168,123744,14344,0,138088,184324
3.218,123744,14344,0,138088,184324
