t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,128,1068,0,1196,1196
0.101,6152,11728,0,17880,20436
0.201,9604,11728,0,21332,21332
0.302,8588,11728,0,20316,21304
0.402,60688,12304,0,72992,72992
0.504,88212,12688,0,100900,154168
0.604,97276,12816,0,110092,178528
0.705,113168,12816,0,125984,178528
0.805,114172,12816,0,126988,178528
0.905,114172,12816,0,126988,178528
1.006,114172,12816,0,126988,178528
1.106,114172,12816,0,126988,178528
1.206,114172,12816,0,126988,178528
1.306,114764,12816,0,127580,178528
1.407,118864,12816,0,131680,178528
1.507,118864,12816,0,131680,178528
1.607,118864,12816,0,131680,178528
1.707,118864,12816,0,131680,178528
1.808,118864,12816,0,131680,178528
1.908,118864,12816,0,131680,178528
2.009,118864,12816,0,131680,178528
2.109,118864,12816,0,131680,178528
2.209,118864,12816,0,131680,178528
2.309,118864,12816,0,131680,178528
2.410,119280,12816,0,132096,178528
2.510,119280,12816,0,132096,178528
2.610,119280,12816,0,132096,178528
2.711,119280,12816,0,132096,178528
2.811,119280,12816,0,132096,178528
2.911,119280,12816,0,132096,178528
3.011,119280,12816,0,132096,178528
3.112,119280,12816,0,132096,178528
3.212,119280,12816,0,132096,178528
3.312,119280,12816,0,132096,178528
3.413,119280,12816,0,132096,178528
3.513,119280,12816,0,132096,178528
3.613,138684,12944,0,151628,178528
3.714,159216,12944,0,172160,178528
3.814,180780,12944,0,193724,193724
3.914,205068,12944,0,218012,218012
4.014,225156,12944,0,238100,238100
4.115,248048,12944,0,260992,260992
4.215,272896,12944,0,285840,285840
4.315,294500,12944,0,307444,307444
4.415,316536,12944,0,329480,329480
4.516,341000,12944,0,353944,353944
4.616,362844,12944,0,375788,375788
4.716,384640,12944,0,397584,397584
4.817,405560,12944,0,418504,418504
4.917,427964,12944,0,440908,440908
5.017,452552,12944,0,465496,465496
5.117,473264,12944,0,486208,486208
5.218,492232,12944,0,505176,505176
5.318,512268,12944,0,525212,525212
5.418,532948,12944,0,545892,545892
5.518,556092,12944,0,569036,569036
5.619,576932,12944,0,589876,589876
5.719,597712,12944,0,610656,610656
5.819,622536,12944,0,635480,635480
5.920,642448,12944,0,655392,655392
6.020,666728,12944,0,679672,679672
6.120,685484,12944,0,698428,698428
6.221,707580,12944,0,720524,720524
6.321,729516,12944,0,742460,742460
6.421,752036,12944,0,764980,764980
6.521,773688,12944,0,786632,786632
6.622,796144,12944,0,809088,809088
6.722,818468,12944,0,831412,831412
6.822,838304,12944,0,851248,851248
6.922,838304,12944,0,851248,851248
7.023,838304,12944,0,851248,851248
7.123,412472,12944,0,425416,850636
7.223,133868,13008,0,146876,850636
7.324,154960,13008,0,167968,850636
7.424,177284,13008,0,190292,850636
7.524,194976,13008,0,207984,850636
7.624,219452,13008,0,232460,850636
7.725,239068,13008,0,252076,850636
7.825,263096,13008,0,276104,850636
7.925,283576,13008,0,296584,850636
8.025,305512,13008,0,318520,850636
8.126,327636,13008,0,340644,850636
8.226,349128,13008,0,362136,850636
8.326,372036,13008,0,385044,850636
8.426,394084,13008,0,407092,850636
8.527,413012,13008,0,426020,850636
8.627,436436,13008,0,449444,850636
8.727,457928,13008,0,470936,850636
8.828,478544,13008,0,491552,850636
8.928,502772,13008,0,515780,850636
9.028,522872,13008,0,535880,850636
9.128,544744,13008,0,557752,850636
9.229,566596,13008,0,579604,850636
9.329,587328,13008,0,600336,850636
9.429,608760,13008,0,621768,850636
9.530,632520,13008,0,645528,850636
9.630,652260,13008,0,665268,850636
9.730,675988,13008,0,688996,850636
9.830,696120,13008,0,709128,850636
9.931,716808,13008,0,729816,850636
10.031,738440,13008,0,751448,850636
10.131,760720,13008,0,773728,850636
10.231,781832,13008,0,794840,850636
10.331,801284,13008,0,814292,850636
10.432,822528,13008,0,835536,850636
10.532,838312,13008,0,851320,851320
10.632,986920,13008,0,999928,999928
10.733,1124128,13008,0,1137136,1137136
10.833,1286136,13008,0,1299144,1299144
10.933,1467008,13008,0,1480016,1480016
11.033,1557336,13008,0,1570344,1570344
11.136,1557364,13008,0,1570372,1570372
11.237,1557464,13008,0,1570472,1570472
11.337,1569148,13008,0,1582156,1582156
11.437,1626972,13008,0,1639980,1639980
11.538,1783640,13008,0,1796648,1796648
11.638,1940464,13008,0,1953472,1953472
11.738,596476,13008,0,609484,1968216
11.839,674644,13008,0,687652,1968216
11.939,749636,13008,0,762644,1968216
12.039,782872,80592,0,863464,1968216
12.139,632460,169328,0,801788,1968216
12.240,632460,169328,0,801788,1968216
12.340,663352,169328,0,832680,1968216
12.440,758112,169328,0,927440,1968216
12.541,827780,169328,0,997108,1968216
12.641,866824,169328,0,1036152,1968216
12.741,995656,169328,0,1164984,1968216
12.842,1103772,169328,0,1273100,1968216
12.942,1148996,169328,0,1318324,1968216
13.042,1178980,169328,0,1348308,1968216
13.142,1120120,169328,0,1289448,1968216
13.243,1030784,169328,0,1200112,1968216
13.343,1030784,169328,0,1200112,1968216
13.443,1030784,169328,0,1200112,1968216
13.543,992072,169328,0,1161400,1968216
13.644,920468,169392,0,1089860,1968216
13.744,920568,169392,0,1089960,1968216
13.844,920584,169392,0,1089976,1968216
13.945,920608,169392,0,1090000,1968216
14.045,920612,169392,0,1090004,1968216
14.145,920648,169392,0,1090040,1968216
14.245,920668,169392,0,1090060,1968216
14.346,920712,169392,0,1090104,1968216
14.446,920728,169392,0,1090120,1968216
14.546,920756,169392,0,1090148,1968216
14.647,920804,169392,0,1090196,1968216
14.747,920824,169392,0,1090216,1968216
14.847,920828,169392,0,1090220,1968216
14.947,920828,169392,0,1090220,1968216
15.048,920836,169392,0,1090228,1968216
15.148,920836,169392,0,1090228,1968216
15.248,920836,169392,0,1090228,1968216
15.348,920836,169392,0,1090228,1968216
15.449,920836,169392,0,1090228,1968216
15.549,920836,169392,0,1090228,1968216
15.649,920836,169392,0,1090228,1968216
15.749,920836,169392,0,1090228,1968216
15.850,920836,169392,0,1090228,1968216
15.950,920836,169392,0,1090228,1968216
16.050,920836,169392,0,1090228,1968216
16.150,920836,169392,0,1090228,1968216
16.251,920844,169392,0,1090236,1968216
16.351,920856,169392,0,1090248,1968216
16.451,921064,169392,0,1090456,1968216
16.552,921120,169392,0,1090512,1968216
16.652,921120,169392,0,1090512,1968216
16.752,366292,91264,0,457556,1968216
16.853,366292,91264,0,457556,1968216
16.953,391020,91520,0,482540,1968216
17.053,418032,91520,0,509552,1968216
17.153,445188,91520,0,536708,1968216
17.254,472332,91520,0,563852,1968216
17.354,499520,91520,0,591040,1968216
17.454,527076,91520,0,618596,1968216
17.554,547800,91584,0,639384,1968216
17.655,547800,92352,0,640152,1968216
17.755,547800,92352,0,640152,1968216
17.855,547800,92352,0,640152,1968216
17.955,547800,92352,0,640152,1968216
18.056,547800,92352,0,640152,1968216
18.156,405272,92480,0,497752,1968216
18.256,383484,121408,0,504892,1968216
18.357,401812,118416,0,520228,1968216
18.457,424436,174108,0,598544,1968216
18.557,458544,192628,0,651172,1968216
18.657,449844,161404,0,611248,1968216
18.758,440532,209128,0,649660,1968216
18.858,416520,141968,0,558488,1968216
18.959,466984,170940,0,637924,1968216
19.059,452956,206360,0,659316,1968216
19.159,442232,249960,0,692192,1968216
19.260,426788,316376,0,743164,1968216
19.360,474508,321588,0,796096,1968216
19.460,472336,344336,0,816672,1968216
19.560,440792,398344,0,839136,1968216
19.661,429864,186896,0,616760,1968216
19.761,466944,236728,0,703672,1968216
19.861,432960,314088,0,747048,1968216
19.962,436032,355508,0,791540,1968216
20.062,441152,341672,0,782824,1968216
20.162,484268,371856,0,856124,1968216
20.262,475912,433032,0,908944,1968216
20.363,479856,495716,0,975572,1968216
20.463,446272,550704,0,996976,1968216
20.563,483448,588824,0,1072272,1968216
20.663,460224,643328,0,1103552,1968216
20.764,509948,791692,0,1301640,1968216
20.864,509948,1142840,0,1652788,1968216
20.964,509948,1433932,0,1943880,1968216
21.065,509948,1661104,0,2171052,2171052
21.165,509948,1987188,0,2497136,2497136
21.265,509948,1917728,0,2427676,2590168
21.366,509948,2065320,0,2575268,2590168
21.466,509948,2192388,0,2702336,2702336
21.566,483764,2192388,0,2676152,2701116
21.666,451968,2192388,0,2644356,2701116
21.767,506904,2192388,0,2699292,2701116
21.867,503768,2192388,0,2696156,2701116
21.967,496744,2192388,0,2689132,2701116
22.068,471072,2192388,0,2663460,2703100
22.168,403600,2192388,0,2595988,2717052
22.268,488580,2192388,0,2680968,2717052
22.369,482224,2192388,0,2674612,2717052
22.469,470560,2192388,0,2662948,2717052
22.569,447832,2192388,0,2640220,2717052
22.669,450612,2192388,0,2643000,2717052
22.770,487816,2192388,0,2680204,2717052
22.870,493400,2192388,0,2685788,2717052
22.970,478592,2192388,0,2670980,2717052
23.071,450928,2192388,0,2643316,2717052
23.171,450928,2192388,0,2643316,2717052
23.271,513268,2192388,0,2705656,2717052
23.371,494268,2208772,0,2703040,2721180
23.472,473528,2262020,0,2735548,2765548
23.572,508032,2325508,0,2833540,2837796
23.672,508564,2325508,0,2834072,2837796
23.773,461200,1340420,0,1801620,2855204
23.873,516944,1379332,0,1896276,2855204
23.973,495760,1405956,0,1901716,2855204
24.074,450928,1471492,0,1922420,2855204
24.174,514460,1494020,0,2008480,2855204
24.274,450928,1537076,0,1988004,2855204
24.374,485604,1551412,0,2037016,2855204
24.475,478456,1613012,0,2091468,2855204
24.575,500712,1627348,0,2128060,2855204
24.675,480544,1685460,0,2166004,2855204
24.775,450928,1627004,0,2077932,2855204
24.875,506864,1627004,0,2133868,2855204
24.976,506864,1977004,0,2483868,2855204
25.076,506864,1755828,0,2262692,2855204
25.176,506864,2172204,0,2679068,2855204
25.277,506864,2473852,0,2980716,2980716
25.377,506864,2707068,0,3213932,3213932
25.478,506864,2944860,0,3451724,3451724
25.578,506864,3169552,0,3676416,3676416
25.678,506864,3333928,0,3840792,3840792
25.779,506864,3522824,0,4029688,4029688
25.879,506864,3637792,0,4144656,4144656
25.979,506864,2704120,0,3210984,4143848
26.079,506864,2851768,0,3358632,4143848
26.180,468100,2859960,0,3328060,4143848
26.280,520888,2859960,0,3380848,4143848
26.380,502076,2859960,0,3362036,4143848
26.481,453312,2859960,0,3313272,4143848
26.581,453312,2859960,0,3313272,4143848
26.681,516464,2859960,0,3376424,4143848
26.781,483004,2859960,0,3342964,4143848
26.882,453312,2859960,0,3313272,4143848
26.982,453312,2859960,0,3313272,4143848
27.082,512656,2859960,0,3372616,4143848
27.182,492312,2859960,0,3352272,4143848
27.283,522064,2859960,0,3382024,4143848
27.383,494600,2859960,0,3354560,4143848
27.483,502368,2859960,0,3362328,4143848
27.584,506828,2859960,0,3366788,4143848
27.684,471360,2859960,0,3331320,4143848
27.785,453312,2859960,0,3313272,4143848
27.885,453312,2859960,0,3313272,4143848
27.985,520808,2859960,0,3380768,4143848
28.085,501688,2859960,0,3361648,4143848
28.186,453312,2859960,0,3313272,4143848
28.286,453312,2859960,0,3313272,4143848
28.386,524012,2859960,0,3383972,4143848
28.486,457716,2859960,0,3317676,4143848
28.587,439316,2859960,0,3299276,4143848
28.687,456356,2859960,0,3316316,4143848
28.787,433840,2859960,0,3293800,4143848
28.888,434552,2859960,0,3294512,4143848
28.988,495296,2859960,0,3355256,4143848
29.088,488624,2859960,0,3348584,4143848
29.188,445036,2884536,0,3329572,4143848
29.289,514580,2896824,0,3411404,4143848
29.389,469028,2954168,0,3423196,4143848
29.489,516892,3003320,0,3520212,4143848
29.590,487248,3025848,0,3513096,4143848
29.690,518236,3093432,0,3611668,4143848
29.790,489544,3099576,0,3589120,4143848
29.890,450220,3171256,0,3621476,4143848
29.991,502988,3171256,0,3674244,4143848
30.091,448864,3242936,0,3691800,4143848
30.191,521360,3242936,0,3764296,4143848
30.291,453404,3320760,0,3774164,4143848
30.392,526604,3343288,0,3869892,4143848
30.492,453404,3402680,0,3856084,4143848
30.592,525788,3402680,0,3928468,4143848
30.693,458544,3483192,0,3941736,4143848
30.793,533024,3483192,0,4016216,4143848
30.893,533024,3490304,0,4023328,4143848
30.994,533024,3680912,0,4213936,4213936
31.094,533024,3873472,0,4406496,4406496
31.195,533024,3810132,0,4343156,4547016
31.295,533024,3945004,0,4478028,4547016
31.395,533024,4009276,0,4542300,4547016
31.496,533024,4107640,0,4640664,4640664
31.596,533024,4201864,0,4734888,4734888
31.696,533024,4300196,0,4833220,4833220
31.797,533024,4445648,0,4978672,4978672
31.897,533024,4586988,0,5120012,5120012
31.997,533024,4677104,0,5210128,5210128
32.098,533024,4791820,0,5324844,5324844
32.198,533024,4922932,0,5455956,5455956
32.298,533024,5062216,0,5595240,5595240
32.399,533024,5123172,0,5656196,5656196
32.499,533024,5183312,0,5716336,5716336
32.599,533024,5216728,0,5749752,5749752
32.699,533024,3135968,0,3668992,5765308
32.800,533024,3170784,0,3703808,5765308
32.900,533024,3183072,0,3716096,5765308
33.000,533024,3207472,0,3740496,5765308
33.100,533024,3227484,0,3760508,5765308
33.201,533024,3253440,0,3786464,5765308
33.301,533024,3329508,0,3862532,5765308
33.401,458544,3381112,0,3839656,5765308
33.502,507680,3381112,0,3888792,5765308
33.602,458544,3381128,0,3839672,5765308
33.702,521780,3381128,0,3902908,5765308
33.803,467588,3381144,0,3848732,5765308
33.903,530304,3381144,0,3911448,5765308
34.003,500324,3381144,0,3881468,5765308
34.103,458544,3381144,0,3839688,5765308
34.204,530008,3381144,0,3911152,5765308
34.304,496564,3381144,0,3877708,5765308
34.404,458544,3381160,0,3839704,5765308
34.505,526764,3381160,0,3907924,5765308
34.605,458544,3381448,0,3839992,5765308
34.705,533624,3381448,0,3915072,5765308
34.806,493500,3381448,0,3874948,5765308
34.906,458544,3381480,0,3840024,5765308
35.006,519908,3381480,0,3901388,5765308
35.106,488004,3381496,0,3869500,5765308
35.207,458544,3381576,0,3840120,5765308
35.307,521692,3381576,0,3903268,5765308
35.407,486064,3381576,0,3867640,5765308
35.507,458544,3381576,0,3840120,5765308
35.608,514888,3381576,0,3896464,5765308
35.708,458544,3381576,0,3840120,5765308
35.808,532620,3381576,0,3914196,5765308
35.909,498716,3381576,0,3880292,5765308
36.009,458544,3381592,0,3840136,5765308
36.109,532872,3381592,0,3914464,5765308
36.210,495412,3381592,0,3877004,5765308
36.310,458544,3381592,0,3840136,5765308
36.410,525300,3381592,0,3906892,5765308
36.511,477796,3381592,0,3859388,5765308
36.611,458544,3381592,0,3840136,5765308
36.711,515348,3381592,0,3896940,5765308
36.811,458544,3381592,0,3840136,5765308
36.912,517752,3381592,0,3899344,5765308
37.012,466512,3381592,0,3848104,5765308
37.112,481932,3381592,0,3863524,5765308
37.212,512652,3381592,0,3894244,5765308
37.313,486932,3381592,0,3868524,5765308
37.413,458544,3381608,0,3840152,5765308
37.513,516916,3381608,0,3898524,5765308
37.614,462080,3381624,0,3843704,5765308
37.714,533644,3401136,0,3934780,5765308
37.814,458544,1328252,0,1786796,5765308
37.915,539608,1333644,0,1873252,5765308
38.015,458544,1409424,0,1867968,5765308
38.115,519800,1409424,0,1929224,5765308
38.215,539640,1475720,0,2015360,5765308
38.315,459636,1494412,0,1954048,5765308
38.416,540568,1519868,0,2060436,5765308
38.516,458544,1582476,0,2041020,5765308
38.616,540436,1607052,0,2147488,5765308
38.717,458544,1670460,0,2129004,5765308
38.817,538432,1670460,0,2208892,5765308
38.917,539896,1845444,0,2385340,5765308
39.018,539896,2063660,0,2603556,5765308
39.118,539896,2374896,0,2914792,5765308
39.218,539896,2721680,0,3261576,5765308
39.319,539896,2940376,0,3480272,5765308
39.419,539896,3093160,0,3633056,5765308
39.519,539896,3175928,0,3715824,5765308
39.620,539896,3302896,0,3842792,5765308
39.720,539896,3461908,0,4001804,5765308
39.821,539896,3595932,0,4135828,5765308
39.921,539896,3727216,0,4267112,5765308
40.021,539896,3875068,0,4414964,5765308
40.122,539896,4038524,0,4578420,5765308
40.222,539896,4191936,0,4731832,5765308
40.322,539896,4366592,0,4906488,5765308
40.422,539896,4549412,0,5089308,5765308
40.523,539896,4725544,0,5265440,5765308
40.623,539896,4950536,0,5490432,5765308
40.723,539896,5150508,0,5690404,5765308
40.824,539896,5232432,0,5772328,5772328
40.924,539896,5264568,0,5804464,5804464
41.024,539896,5314160,0,5854056,5854056
41.125,539896,5412464,0,5952360,5952360
41.225,539896,5511792,0,6051688,6051688
41.325,539896,5639904,0,6179800,6179800
41.425,539896,5755252,0,6295148,6295148
41.526,539896,5897768,0,6437664,6437664
41.626,539896,6040340,0,6580236,6580236
41.726,539896,6190936,0,6730832,6730832
41.826,539896,6268592,0,6808488,6808488
41.927,539896,6353188,0,6893084,6893084
42.027,539896,6415916,0,6955812,6955812
42.127,539896,6475800,0,7015696,7015696
42.228,539896,6567992,0,7107888,7107888
42.328,492588,6569048,0,7061636,7108332
42.428,541304,6569112,0,7110416,7110416
42.529,484212,6570872,0,7055084,7111564
42.629,501380,6571176,0,7072556,7111564
42.729,513776,6571176,0,7084952,7111564
42.829,458544,6571176,0,7029720,7111564
42.930,529700,6571176,0,7100876,7111564
43.030,493528,6571192,0,7064720,7111564
43.130,458544,6571192,0,7029736,7112056
43.230,513888,6571192,0,7085080,7112056
43.331,458544,6571576,0,7030120,7113356
43.431,514860,6571576,0,7086436,7113356
43.531,458548,6571576,0,7030124,7113356
43.631,540992,6571576,0,7112568,7113356
43.732,500908,6571576,0,7072484,7113356
43.832,458548,6571592,0,7030140,7113356
43.932,532728,6571592,0,7104320,7113356
44.032,458548,6571592,0,7030140,7113356
44.133,542628,6571592,0,7114220,7114220
44.233,500012,6571592,0,7071604,7113488
44.333,543092,6571592,0,7114684,7114684
44.434,502996,6571592,0,7074588,7114000
44.534,536996,6571592,0,7108588,7115024
44.634,486272,6571592,0,7057864,7115024
44.735,544692,6571592,0,7116284,7116284
44.835,496876,6571592,0,7068468,7115664
44.935,543816,6571592,0,7115408,7115664
45.036,463444,6571592,0,7035036,7115664
45.136,537684,6571592,0,7109276,7115664
45.236,477148,6571592,0,7048740,7115664
45.337,544368,6571592,0,7115960,7115960
45.437,500712,6571592,0,7072304,7115664
45.537,458548,6571592,0,7030140,7115664
45.638,520668,6571592,0,7092260,7115664
45.738,458548,6571592,0,7030140,7116268
45.839,508556,6571592,0,7080148,7116268
45.939,458548,6571592,0,7030140,7116268
46.039,514716,6571592,0,7086308,7116268
46.140,458548,6571848,0,7030396,7116268
46.240,533836,6571848,0,7105684,7116268
46.340,483620,6571848,0,7055468,7116268
46.441,542968,6571848,0,7114816,7116268
46.541,466312,6571848,0,7038160,7116268
46.642,458548,6571848,0,7030396,7116268
46.742,458548,6600704,0,7059252,7116268
46.842,458548,6702228,0,7160776,7160776
46.943,458548,6804704,0,7263252,7263252
47.043,458548,6897648,0,7356196,7356196
47.143,458548,6963816,0,7422364,7422364
47.244,458548,7078548,0,7537096,7537096
47.344,458548,7167176,0,7625724,7625724
47.444,458548,7003560,0,7462108,7685420
47.545,458548,7111360,0,7569908,7685420
47.645,458548,7234240,0,7692788,7692788
47.746,458548,7295356,0,7753904,7753904
47.846,458548,7353020,0,7811568,7811568
47.946,458548,7436452,0,7895000,7895000
48.046,458548,7508132,0,7966680,7966680
48.147,458548,7606444,0,8064992,8064992
48.247,458548,7698608,0,8157156,8157156
48.348,458548,7755952,0,8214500,8214500
48.448,458548,7846072,0,8304620,8304620
48.548,458548,7956632,0,8415180,8415180
48.649,458548,7999984,0,8458532,8458532
48.749,458548,8050760,0,8509308,8509308
48.849,458548,7084180,0,7542728,8508820
48.950,458548,3864884,0,4323432,8508820
49.050,458548,3969884,0,4428432,8508820
49.150,458548,4063364,0,4521912,8508820
