t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,148,996,0,1144,1144
0.101,9016,12144,0,21160,21160
0.201,8280,12144,0,20424,21120
0.302,66488,12720,0,79208,79208
0.402,82496,13040,0,95536,143912
0.502,97444,13104,0,110548,173128
0.603,112092,13104,0,125196,173128
0.703,113104,13104,0,126208,173128
0.803,113104,13104,0,126208,173128
0.904,113104,13104,0,126208,173128
1.004,113104,13104,0,126208,173128
1.104,113104,13104,0,126208,173128
1.205,113600,13104,0,126704,173128
1.305,117796,13104,0,130900,173128
1.405,117796,13104,0,130900,173128
1.505,117796,13104,0,130900,173128
1.606,117796,13104,0,130900,173128
1.706,117796,13104,0,130900,173128
1.806,117796,13104,0,130900,173128
1.907,117796,13104,0,130900,173128
2.007,117796,13104,0,130900,173128
2.107,117796,13104,0,130900,173128
2.208,117796,13104,0,130900,173128
2.308,118208,13104,0,131312,173128
2.408,118208,13104,0,131312,173128
2.509,118208,13104,0,131312,173128
2.609,118208,13104,0,131312,173128
2.709,118208,13104,0,131312,173128
2.809,118208,13104,0,131312,173128
2.910,118208,13104,0,131312,173128
3.010,118208,13104,0,131312,173128
3.110,118208,13104,0,131312,173128
3.211,118208,13104,0,131312,173128
3.311,118208,13104,0,131312,173128
3.411,118208,13104,0,131312,173128
3.511,118212,13232,0,131444,173128
3.611,144140,13232,0,157372,173128
3.712,165132,13232,0,178364,178364
3.812,185600,13232,0,198832,198832
3.912,206964,13232,0,220196,220196
4.012,230188,13232,0,243420,243420
4.113,248748,13232,0,261980,261980
4.213,271608,13232,0,284840,284840
4.313,289708,13232,0,302940,302940
4.414,311676,13232,0,324908,324908
4.514,332444,13232,0,345676,345676
4.614,352016,13232,0,365248,365248
4.714,368856,13232,0,382088,382088
4.815,385440,13232,0,398672,398672
4.915,406092,13232,0,419324,419324
5.015,424268,13232,0,437500,437500
5.116,442588,13232,0,455820,455820
5.216,463480,13232,0,476712,476712
5.316,484672,13232,0,497904,497904
5.416,506648,13232,0,519880,519880
5.517,524060,13232,0,537292,537292
5.617,547104,13232,0,560336,560336
5.718,567244,13232,0,580476,580476
5.818,587976,13232,0,601208,601208
5.918,608668,13232,0,621900,621900
6.018,628496,13232,0,641728,641728
6.119,649948,13232,0,663180,663180
6.219,672072,13232,0,685304,685304
6.319,689172,13232,0,702404,702404
6.419,708236,13232,0,721468,721468
6.520,730172,13232,0,743404,743404
6.620,748184,13232,0,761416,761416
6.720,768300,13232,0,781532,781532
6.821,787640,13232,0,800872,800872
6.921,809196,13232,0,822428,822428
7.021,828920,13232,0,842152,842152
7.121,838960,13232,0,852192,852192
7.222,838960,13232,0,852192,852192
7.322,838960,13232,0,852192,852192
7.422,119948,13296,0,133244,851572
7.523,141280,13296,0,154576,851572
7.623,165140,13296,0,178436,851572
7.723,185608,13296,0,198904,851572
7.823,207428,13296,0,220724,851572
7.924,230660,13296,0,243956,851572
8.024,252936,13296,0,266232,851572
8.124,273560,13296,0,286856,851572
8.225,295164,13296,0,308460,851572
8.325,317200,13296,0,330496,851572
8.425,338128,13296,0,351424,851572
8.526,358088,13296,0,371384,851572
8.626,379784,13296,0,393080,851572
8.726,402732,13296,0,416028,851572
8.826,422784,13296,0,436080,851572
8.927,446500,13296,0,459796,851572
9.027,468596,13296,0,481892,851572
9.127,488260,13296,0,501556,851572
9.227,511364,13296,0,524660,851572
9.328,533612,13296,0,546908,851572
9.428,554812,13296,0,568108,851572
9.528,577596,13296,0,590892,851572
9.629,598376,13296,0,611672,851572
9.729,619012,13296,0,632308,851572
9.829,643112,13296,0,656408,851572
9.929,662580,13296,0,675876,851572
10.030,685616,13296,0,698912,851572
10.130,703680,13296,0,716976,851572
10.230,725788,13296,0,739084,851572
10.331,748192,13296,0,761488,851572
10.431,769704,13296,0,783000,851572
10.531,790480,13296,0,803776,851572
10.631,811048,13296,0,824344,851572
10.732,832140,13296,0,845436,851572
10.832,880928,13296,0,894224,894224
10.932,1021336,13296,0,1034632,1034632
11.033,1137624,13296,0,1150920,1150920
11.133,1248444,13296,0,1261740,1261740
11.233,1397424,13296,0,1410720,1410720
11.333,1539988,13296,0,1553284,1553284
11.434,1557992,13296,0,1571288,1571288
11.538,1557992,13296,0,1571288,1571288
11.639,1558012,13296,0,1571308,1571308
11.740,1580992,13296,0,1594288,1594288
11.840,1643292,13296,0,1656588,1656588
11.940,1762576,13296,0,1775872,1775872
12.041,1906008,13296,0,1919304,1919304
12.141,961512,13296,0,974808,1969188
12.243,647908,13360,0,661268,1969188
12.343,744556,13360,0,757916,1969188
12.444,765928,46192,0,812120,1969188
12.544,632352,146016,0,778368,1969188
12.644,632364,169616,0,801980,1969188
12.745,633888,169616,0,803504,1969188
12.845,722064,169616,0,891680,1969188
12.945,812616,169616,0,982232,1969188
13.049,827680,169616,0,997296,1969188
13.149,920348,169616,0,1089964,1969188
13.250,1044152,169616,0,1213768,1969188
13.350,1107152,169616,0,1276768,1969188
13.450,1136448,169616,0,1306064,1969188
13.550,1169440,169616,0,1339056,1969188
13.651,1008376,169616,0,1177992,1969188
