t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,480,1536,0,2016,2016
0.102,8088,11980,0,20068,20068
0.202,16144,12876,0,29020,31836
0.302,34300,12876,0,47176,49392
0.402,34300,12876,0,47176,49392
0.503,34300,12876,0,47176,49392
0.603,60460,13004,0,73464,73464
0.703,82288,13004,0,95292,95292
0.803,106180,13004,0,119184,119184
0.904,49648,13196,0,62844,127184
1.004,72084,13196,0,85280,127184
1.104,92340,13196,0,105536,127184
1.205,114468,13196,0,127664,127664
1.306,190780,13260,0,204040,204040
1.406,91720,28956,0,120676,239460
1.507,150268,28956,0,179224,239460
1.607,137504,29020,0,166524,239460
1.707,137504,29020,0,166524,239460
1.807,79628,21524,0,101152,239460
1.908,69296,22356,0,91652,239460
2.008,126852,28128,0,154980,239460
2.108,126828,45076,0,171904,239460
2.208,109340,58356,0,167696,239460
2.309,97604,53064,0,150668,261912
2.409,157700,64512,0,222212,261912
2.509,132872,132296,0,265168,271864
2.610,166456,141220,0,307676,307676
2.710,133872,72920,0,206792,356016
2.810,170432,138744,0,309176,356016
2.910,142040,149048,0,291088,356016
3.011,101612,209508,0,311120,371972
3.111,162404,209508,0,371912,371972
3.211,106708,297248,0,403956,475908
3.312,168784,297248,0,466032,475908
3.412,107732,124360,0,232092,542712
3.512,169476,124360,0,293836,542712
3.612,109188,178352,0,287540,542712
3.712,178496,178352,0,356848,542712
3.813,118376,271832,0,390208,542712
3.913,184820,271832,0,456652,542712
4.013,211432,356612,0,568044,568044
4.114,139776,366912,0,506688,577108
4.214,172532,459084,0,631616,631616
4.314,101520,574612,0,676132,677256
4.415,101520,800236,0,901756,959712
4.515,101520,959256,0,1060776,1184720
4.615,101520,1266660,0,1368180,1368180
4.715,101520,1242084,0,1343604,1575916
4.816,101520,1393640,0,1495160,1575916
4.916,101520,1541096,0,1642616,1642616
5.016,101528,489948,0,591476,1686512
5.117,101528,490268,0,591796,1686512
5.217,101528,490268,0,591796,1686512
5.317,107472,490268,0,597740,1686512
