t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,184,1088,0,1272,1272
0.101,13692,12556,0,26248,27408
0.201,34624,12940,0,47564,51132
0.302,36164,12940,0,49104,51132
0.402,36164,12940,0,49104,51132
0.502,59756,13068,0,72824,72824
0.603,83360,13068,0,96428,96428
0.703,103632,13068,0,116700,116700
0.803,52812,13068,0,65880,133136
0.904,68796,13260,0,82056,133136
1.004,88628,13260,0,101888,133136
1.104,112232,13260,0,125492,133136
1.208,192676,13324,0,206000,206000
1.309,93136,29020,0,122156,241276
1.409,147276,29020,0,176296,241276
1.509,134512,29084,0,163596,241276
1.609,134512,29084,0,163596,241276
1.710,67488,21268,0,88756,241276
1.810,85956,22356,0,108312,241276
1.910,85856,29460,0,115316,241276
2.010,94592,47816,0,142408,241276
2.111,99632,90632,0,190264,241276
2.211,104584,159372,0,263956,263956
2.311,104584,285244,0,389828,403368
2.412,67988,107292,0,175280,403368
2.512,99616,107612,0,207228,403368
2.612,106520,107612,0,214132,403368
2.712,113724,107612,0,221336,403368
2.813,120336,107612,0,227948,403368
2.913,127936,107612,0,235548,403368
3.013,134080,107612,0,241692,403368
3.113,141416,107612,0,249028,403368
3.214,147960,107612,0,255572,403368
3.314,154788,107612,0,262400,403368
3.414,160492,107612,0,268104,403368
3.515,166544,107612,0,274156,403368
3.615,174048,107612,0,281660,403368
3.715,181072,107612,0,288684,403368
3.815,186816,107612,0,294428,403368
3.916,193616,107612,0,301228,403368
4.016,202216,107612,0,309828,403368
4.116,207752,107612,0,315364,403368
4.217,213608,107612,0,321220,403368
4.317,218288,107612,0,325900,403368
4.417,224060,107612,0,331672,403368
4.517,229396,107612,0,337008,403368
4.618,235632,107612,0,343244,403368
4.718,241720,107612,0,349332,403368
4.818,248988,107612,0,356600,403368
4.918,258724,107612,0,366336,403368
5.019,264528,107612,0,372140,403368
5.119,269068,107612,0,376680,403368
5.219,274040,107612,0,381652,403368
5.319,279640,107612,0,387252,403368
5.420,286616,107612,0,394228,403368
5.520,293412,107612,0,401024,403368
5.620,302640,107612,0,410252,410252
5.720,309432,107612,0,417044,417044
5.821,313772,107612,0,421384,421384
5.921,319152,107612,0,426764,426764
6.021,324868,107612,0,432480,432480
6.121,328784,107612,0,436396,436396
6.222,335188,107612,0,442800,442800
6.322,339788,107612,0,447400,447400
6.422,345128,107612,0,452740,452740
6.523,351388,107612,0,459000,459000
6.623,358220,107612,0,465832,465832
6.723,364368,107612,0,471980,471980
6.823,369048,107612,0,476660,476660
6.924,375192,107612,0,482804,482804
7.024,382420,107612,0,490032,490032
7.124,387872,107612,0,495484,495484
7.224,392860,107612,0,500472,500472
7.325,398300,107612,0,505912,505912
7.425,402940,107612,0,510552,510552
7.525,410448,107612,0,518060,518060
7.625,417100,107612,0,524712,524712
7.726,421172,107612,0,528784,528784
7.826,431792,107612,0,539404,539404
7.926,442052,107612,0,549664,549664
8.027,444216,107612,0,551828,551828
8.127,448192,107612,0,555804,555804
8.227,454984,107612,0,562596,562596
8.327,459108,107612,0,566720,566720
8.428,464124,107612,0,571736,571736
8.528,470740,107612,0,578352,578352
8.628,475192,107612,0,582804,582804
8.728,480260,107612,0,587872,587872
8.829,488000,107612,0,595612,595612
8.929,492848,107612,0,600460,600460
9.029,506336,107612,0,613948,613948
9.130,518708,107612,0,626320,626320
9.230,521020,107612,0,628632,628632
9.330,527592,107612,0,635204,635204
9.430,531480,107612,0,639092,639092
9.531,539848,107612,0,647460,647460
9.631,544604,107612,0,652216,652216
9.731,548544,107612,0,656156,656156
9.831,555520,107932,0,663452,663452
9.932,557680,107932,0,665612,665612
10.032,557680,107932,0,665612,665612
10.132,499320,107932,0,607252,664252
10.233,499328,107932,0,607260,664252
10.333,499328,107932,0,607260,664252
10.433,499328,107932,0,607260,664252
10.533,499328,107932,0,607260,664252
10.634,499328,107932,0,607260,664252
10.734,499328,107932,0,607260,664252
10.834,499328,107932,0,607260,664252
10.935,499328,107932,0,607260,664252
11.035,499328,107932,0,607260,664252
11.135,499328,107932,0,607260,664252
11.235,499328,107932,0,607260,664252
11.336,499328,107932,0,607260,664252
11.436,501460,107932,0,609392,664252
11.536,501460,107932,0,609392,664252
11.637,501460,107932,0,609392,664252
11.737,501460,107932,0,609392,664252
11.837,501460,107932,0,609392,664252
11.937,501460,107932,0,609392,664252
12.038,501460,107932,0,609392,664252
12.138,501460,107996,0,609456,664252
12.238,501460,107996,0,609456,664252
12.339,501460,107996,0,609456,664252
12.439,501460,107996,0,609456,664252
12.539,501460,107996,0,609456,664252
12.639,501460,107996,0,609456,664252
12.740,299512,108572,0,408084,664252
12.840,338204,173340,0,511544,664252
12.940,373884,173788,0,547672,664252
13.044,405540,174300,0,579840,664252
13.145,422472,174300,0,596772,664252
13.245,424072,174300,0,598372,664252
13.345,430524,174300,0,604824,664252
13.445,430528,174300,0,604828,664252
13.546,430528,174300,0,604828,664252
13.646,430720,174300,0,605020,664252
13.746,430720,174300,0,605020,664252
13.848,430820,207020,0,637840,664252
13.948,430928,207020,0,637948,664252
14.049,431216,207020,0,638236,664252
14.149,431216,207020,0,638236,664252
14.249,431216,215208,0,646424,664252
14.350,431216,215272,0,646488,664252
14.450,431216,215272,0,646488,664252
14.550,431216,215272,0,646488,664252
14.650,431216,215272,0,646488,664252
14.750,431216,215272,0,646488,664252
14.851,431216,215272,0,646488,664252
14.951,431216,215272,0,646488,664252
15.051,431216,215272,0,646488,664252
15.151,431216,215272,0,646488,664252
15.252,431216,215272,0,646488,664252
15.352,431216,215272,0,646488,664252
15.452,431216,215272,0,646488,664252
15.553,431216,215272,0,646488,664252
15.653,431216,215272,0,646488,664252
15.753,431216,215272,0,646488,664252
15.853,431216,215272,0,646488,664252
15.954,431216,215272,0,646488,664252
16.054,431216,215272,0,646488,664252
16.154,431224,40800,0,472024,664252
16.254,431228,41372,0,472600,664252
16.355,431228,41372,0,472600,664252
16.455,431228,41372,0,472600,664252
16.555,431228,41372,0,472600,664252
16.656,431228,41372,0,472600,664252
16.756,431228,41372,0,472600,664252
16.856,431228,41372,0,472600,664252
16.957,431228,41372,0,472600,664252
17.057,431228,41372,0,472600,664252
17.157,431228,41372,0,472600,664252
17.257,431228,41372,0,472600,664252
17.358,431228,41372,0,472600,664252
17.458,431228,41372,0,472600,664252
17.558,431228,41372,0,472600,664252
17.659,431228,41372,0,472600,664252
17.759,431228,41372,0,472600,664252
17.859,431228,41372,0,472600,664252
17.959,453664,41372,0,495036,664252
18.060,611416,41372,0,652788,664252
18.160,611616,41372,0,652988,664252
18.260,611616,41372,0,652988,664252
18.361,611616,41372,0,652988,664252
18.461,611616,41372,0,652988,664252
18.561,611616,41372,0,652988,664252
18.662,611616,41372,0,652988,664252
18.762,611616,41372,0,652988,664252
18.862,611616,41372,0,652988,664252
18.962,611616,41372,0,652988,664252
19.063,611616,41372,0,652988,664252
19.163,611616,41372,0,652988,664252
19.263,611616,41372,0,652988,664252
19.363,611616,41372,0,652988,664252
19.464,611616,41372,0,652988,664252
19.564,644252,41372,0,685624,685624
19.664,525328,41372,0,566700,746004
19.765,431256,25424,0,456680,746004
