t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.002,12,0,0,12,12,0,3223552,11.41
0.102,9592,11924,0,21516,21516,1,5820416,11.41
0.203,9592,11924,0,21516,21516,1,5820416,11.41
0.303,82428,12500,0,94928,94928,1,5820416,11.41
0.405,93312,12756,0,106068,150756,1,5820416,11.41
0.505,108452,12884,0,121336,183776,1,5820416,11.41
0.606,108304,12884,0,121188,183776,1,5820416,11.41
0.706,110408,12884,0,123292,183776,1,5820416,11.41
0.807,110408,12884,0,123292,183776,1,5820416,11.41
0.907,110408,12884,0,123292,183776,1,5820416,17.13
1.008,110408,12884,0,123292,183776,1,5820416,17.13
1.108,110408,12884,0,123292,183776,1,5820416,17.13
1.208,110676,12884,0,123560,183776,1,5820416,17.13
1.309,111300,12884,0,124184,183776,1,5820416,17.13
1.409,111300,12884,0,124184,183776,1,5820416,17.13
1.510,111300,12884,0,124184,183776,1,5820416,17.13
1.611,111300,12884,0,124184,183776,1,5820416,17.13
1.711,111300,12884,0,124184,183776,1,5820416,17.13
1.811,111300,12884,0,124184,183776,1,5820416,17.13
1.912,119576,12884,0,132460,183776,1,5820416,17.13
2.012,119576,12884,0,132460,183776,1,5820416,17.13
2.113,119576,12884,0,132460,183776,1,5820416,17.13
2.213,122736,12884,0,135620,183776,1,5820416,17.13
2.314,123500,12884,0,136384,183776,1,5820416,17.13
2.414,123500,12884,0,136384,183776,1,5820416,17.13
2.515,123500,12884,0,136384,183776,1,5820416,17.13
2.616,123500,12884,0,136384,183776,1,5820416,17.13
2.716,123500,12884,0,136384,183776,1,5820416,17.13
2.817,123500,12884,0,136384,183776,1,5820416,17.13
2.917,123500,12884,0,136384,183776,1,5820416,18.19
3.018,123500,12884,0,136384,183776,1,5820416,18.19
3.118,123500,12884,0,136384,183776,1,5820416,18.19
3.218,123500,12884,0,136384,183776,1,5820416,18.19
3.319,123500,12884,0,136384,183776,1,5820416,18.19
3.419,123500,12884,0,136384,183776,1,5820416,18.19
3.520,123500,12884,0,136384,183776,1,5820416,18.19
3.621,123500,13012,0,136512,183776,1,5820416,18.19
3.721,151096,13012,0,164108,183776,1,5820416,18.19
3.822,171628,13012,0,184640,184640,1,5820416,18.19
3.922,192320,13012,0,205332,205332,1,5820416,18.19
4.023,212364,13012,0,225376,225376,1,5820416,18.19
4.123,234844,13012,0,247856,247856,1,5820416,18.19
4.224,255924,13012,0,268936,268936,1,5820416,18.19
4.324,275732,13012,0,288744,288744,1,5820416,18.19
4.424,296784,13012,0,309796,309796,1,5820416,18.19
4.525,317996,13012,0,331008,331008,1,5820416,18.19
4.625,340120,13012,0,353132,353132,1,5820416,18.19
4.726,359196,13012,0,372208,372208,1,5820416,18.19
4.826,380692,13012,0,393704,393704,1,5820416,18.19
4.927,402608,13012,0,415620,415620,1,5820416,14.9
5.027,421332,13012,0,434344,434344,1,5820416,14.9
5.128,443712,13012,0,456724,456724,1,5820416,14.9
5.228,464244,13012,0,477256,477256,1,5820416,14.9
5.329,482716,13012,0,495728,495728,1,5820416,14.9
5.430,504724,13012,0,517736,517736,1,5820416,14.9
5.530,524760,13012,0,537772,537772,1,5820416,14.9
5.631,545440,13012,0,558452,558452,1,5820416,14.9
5.731,563932,13012,0,576944,576944,1,5820416,14.9
5.832,584228,13012,0,597240,597240,1,5820416,14.9
5.932,604948,13012,0,617960,617960,1,5820416,14.9
6.033,625244,13012,0,638256,638256,1,5820416,14.9
6.133,645004,13012,0,658016,658016,1,5820416,14.9
6.234,665556,13012,0,678568,678568,1,5820416,14.9
6.334,687912,13012,0,700924,700924,1,5820416,14.9
6.435,706736,13012,0,719748,719748,1,5820416,14.9
6.535,728648,13012,0,741660,741660,1,5820416,14.9
6.636,749288,13012,0,762300,762300,1,5820416,14.9
6.736,768948,13012,0,781960,781960,1,5820416,14.9
6.837,790372,13012,0,803384,803384,1,5820416,14.9
6.937,810024,13012,0,823036,823036,1,5820416,12.2
7.038,830960,13012,0,843972,843972,1,5820416,12.2
7.138,850408,13012,0,863420,863420,1,5820416,12.2
7.239,850828,13012,0,863840,863840,1,5820416,12.2
7.339,850828,13012,0,863840,863840,1,5820416,12.2
7.440,541132,13012,0,554144,863224,1,5820416,12.2
7.540,141608,13076,0,154684,863224,1,5820416,12.2
7.641,161636,13076,0,174712,863224,1,5820416,12.2
7.742,182228,13076,0,195304,863224,1,5820416,12.2
7.843,202476,13076,0,215552,863224,1,5820416,12.2
7.944,222692,13076,0,235768,863224,1,5820416,12.2
8.044,242528,13076,0,255604,863224,1,5820416,12.2
8.145,260580,13076,0,273656,863224,1,5820416,12.2
8.246,278392,13076,0,291468,863224,1,5820416,12.2
8.346,296100,13076,0,309176,863224,1,5820416,12.2
8.446,318036,13076,0,331112,863224,1,5820416,12.2
8.547,335748,13076,0,348824,863224,1,5820416,12.2
8.647,356280,13076,0,369356,863224,1,5820416,12.2
8.748,375376,13076,0,388452,863224,1,5820416,12.2
8.848,397172,13076,0,410248,863224,1,5820416,12.2
8.949,414776,13076,0,427852,863224,1,5820416,9.99
9.049,434652,13076,0,447728,863224,1,5820416,9.99
9.150,454096,13076,0,467172,863224,1,5820416,9.99
9.250,475356,13076,0,488432,863224,1,5820416,9.99
9.351,492232,13076,0,505308,863224,1,5820416,9.99
9.451,513856,13076,0,526932,863224,1,5820416,9.99
9.552,530628,13076,0,543704,863224,1,5820416,9.99
9.652,550936,13076,0,564012,863224,1,5820416,9.99
9.753,572856,13076,0,585932,863224,1,5820416,9.99
9.854,593448,13076,0,606524,863224,1,5820416,9.99
9.955,613444,13076,0,626520,863224,1,5820416,9.99
10.056,635068,13076,0,648144,863224,1,5820416,9.99
10.157,654980,13076,0,668056,863224,1,5820416,9.99
10.257,674448,13076,0,687524,863224,1,5820416,9.99
10.358,692968,13076,0,706044,863224,1,5820416,9.99
10.459,712012,13076,0,725088,863224,1,5820416,9.99
10.559,733172,13076,0,746248,863224,1,5820416,9.99
10.660,751764,13076,0,764840,863224,1,5820416,9.99
10.760,772020,13076,0,785096,863224,1,5820416,9.99
10.861,790412,13076,0,803488,863224,1,5820416,9.99
10.962,810940,13076,0,824016,863224,1,5820416,8.18
11.063,831000,13076,0,844076,863224,1,5820416,8.18
11.167,850840,13076,0,863916,863916,1,5820416,8.18
11.268,999600,13076,0,1012676,1012676,1,5820416,8.18
11.368,1143576,13076,0,1156652,1156652,1,5820416,8.18
11.469,1289048,13076,0,1302124,1302124,1,5820416,8.18
11.569,1444816,13076,0,1457892,1457892,1,5820416,8.18
11.670,1573848,13076,0,1586924,1586924,1,5820416,8.18
11.774,1573848,13076,0,1586924,1586924,1,5820416,8.18
11.875,1573944,13076,0,1587020,1587020,1,5820416,8.18
11.976,1574008,13076,0,1587084,1587084,1,5820416,8.18
12.076,1612796,13076,0,1625872,1625872,1,5820416,8.18
12.177,1683468,13076,0,1696544,1696544,1,5820416,8.18
12.277,1825372,13076,0,1838448,1838448,1,5820416,8.18
12.378,1959916,13076,0,1972992,1972992,1,5820416,8.18
12.479,711596,13076,0,724672,1984908,1,5820416,8.18
12.579,672812,13076,0,685888,1984908,1,5824512,8.18
12.680,761320,13076,0,774396,1984908,1,5824512,8.18
12.787,923084,13076,0,936160,1984908,1,5824512,8.18
12.887,802316,84756,0,887072,1984908,3,5824512,8.18
12.988,649644,169508,0,819152,1984908,5,5824512,6.69
13.090,649652,169508,0,819160,1984908,5,5824512,6.69
13.191,649652,169508,0,819160,1984908,5,5824512,6.69
13.291,723600,169508,0,893108,1984908,5,5824512,6.69
13.392,809796,169508,0,979304,1984908,5,5824512,6.69
13.493,844968,169508,0,1014476,1984908,5,5824512,6.69
13.593,882164,169508,0,1051672,1984908,5,5824512,6.69
13.694,995800,169508,0,1165308,1984908,5,5824512,6.69
13.795,1057000,169508,0,1226508,1984908,5,5824512,6.69
13.895,1110880,169508,0,1280388,1984908,5,5824512,6.69
13.996,1139112,169508,0,1308620,1984908,5,5824512,6.69
14.096,1155936,169508,0,1325444,1984908,5,5824512,6.69
14.197,1032556,169508,0,1202064,1984908,5,5824512,6.69
14.298,1005704,169508,0,1175212,1984908,5,5824512,6.69
14.398,1005704,169508,0,1175212,1984908,5,5824512,6.69
14.499,1005704,169508,0,1175212,1984908,5,5824512,6.69
14.600,1005704,169508,0,1175212,1984908,5,5824512,6.69
14.701,895364,169572,0,1064936,1984908,5,5824512,6.69
14.801,895428,169572,0,1065000,1984908,5,5824512,6.69
14.902,895500,169572,0,1065072,1984908,5,5824512,6.69
15.002,895524,169572,0,1065096,1984908,5,5824512,5.48
15.103,895528,169572,0,1065100,1984908,5,5824512,5.48
15.203,895552,169572,0,1065124,1984908,5,5824512,5.48
15.304,895580,169572,0,1065152,1984908,5,5824512,5.48
15.404,895584,169572,0,1065156,1984908,5,5824512,5.48
15.505,895612,169572,0,1065184,1984908,5,5824512,5.48
15.606,895648,169572,0,1065220,1984908,5,5824512,5.48
15.706,895668,169572,0,1065240,1984908,5,5824512,5.48
15.807,895676,169572,0,1065248,1984908,5,5824512,5.48
15.907,895724,169572,0,1065296,1984908,5,5824512,5.48
16.008,895740,169572,0,1065312,1984908,5,5824512,5.48
16.108,895744,169572,0,1065316,1984908,5,5824512,5.48
16.209,895748,169572,0,1065320,1984908,5,5824512,5.48
16.309,895752,169572,0,1065324,1984908,5,5824512,5.48
16.410,895756,169572,0,1065328,1984908,5,5824512,5.48
16.510,895756,169572,0,1065328,1984908,5,5824512,5.48
16.611,895756,169572,0,1065328,1984908,5,5824512,5.48
16.711,895756,169572,0,1065328,1984908,5,5824512,5.48
16.812,895756,169572,0,1065328,1984908,5,5824512,5.48
16.912,895756,169572,0,1065328,1984908,5,5824512,5.48
17.013,895756,169572,0,1065328,1984908,5,5824512,5.48
