t,line
0.277,"view 'knn': quantising against x [-61.571681365966796, 18.65543685913086], y [-22.400528774261474, 57.82658945083618]"
0.277,"        the data spans x [-60.78514099121094, 17.868896484375], y [-15.247759819030762, 50.67382049560547] — 64252 x 53852 of the 65536 x 65536 cells"
0.277,"        10000000 point(s) placed, none on the frame's edge"
0.277,"schema: 5 column(s), 8.00 B/row against the 12 B fixed row (+67%)"
0.277,        7.44 GiB per 10^9 items — unalterable without rewriting the corpus
0.277,        every column materialises in EVERY view — including ones whose items carry no value for it (§3.9). Per-view columns need contracts §2.6's per-view enumeration
0.477,stage       source_ids      0.20s  rows=10000000     peak=   179 MiB
7.478,stage       dictionary      7.00s  rows=18           peak=   842 MiB
7.479,"warning: this build's entity-order stages need at least 1978 MiB against a 3276 MiB budget, and that figure is a lower bound — it counts what the stages hold, not the readers and allocator around them (measured at roughly half the real peak). These stages do not batch. Where the bytes are:"
7.479,"       1799 MiB  471778374 layer member row(s) at 4 B — the publication's own Roaring, while the level it is publishing is in flight"
7.479,"         76 MiB  the sorted source ids, 8 B/item (input.rs; released after the layer publication)"
7.479,"         64 MiB  slack for decode buffers, stage scratch and the allocator"
7.479,"         38 MiB  the ordinal→entity map, 4 B/item"
7.479,"       8946 MiB (mapped)  declared column 3 (text): 16 B/item of offset plus 8755 MiB of characters and 4 B/item of arena layout, in .build-tmp/"
7.479,"       8908 MiB (mapped)  the text index's sorted runs over column 3, charged at the column they are tokenised from"
7.479,"       3599 MiB (mapped)  the member spill's runs and the table they merge into, at 8 B a member row, in .build-tmp/"
7.479,"       1111 MiB (mapped)  declared column 1 (text): 16 B/item of offset plus 919 MiB of characters and 4 B/item of arena layout, in .build-tmp/"
7.479,"       1073 MiB (mapped)  the text index's sorted runs over column 1, charged at the column they are tokenised from"
7.479,"        899 MiB (mapped)  the published memberships the store reads back through the packed extent, at 2 B a member row"
7.479,"        717 MiB (mapped)  declared column 2 (text): 16 B/item of offset plus 525 MiB of characters and 4 B/item of arena layout, in .build-tmp/"
7.479,"        679 MiB (mapped)  the text index's sorted runs over column 2, charged at the column they are tokenised from"
7.479,"        305 MiB (mapped)  declared column 4 (keyword): 16 B/item of offset plus 113 MiB of characters and 4 B/item of arena layout, in .build-tmp/"
7.479,"         77 MiB (mapped)  declared column 0 (timestamp_us): 8 B/item, in .build-tmp/"
12.986,stage    geometry_read      5.51s  rows=10000000     peak=  1938 MiB
12.986,stage       pairs_pack      0.00s  rows=46017422     peak=  1938 MiB
14.627,stage   signature_sort      1.64s  rows=10000000     peak=  1938 MiB
18.327,stage       assignment      3.70s  rows=10000000     peak=  1938 MiB
18.793,stage       assignment      0.47s  rows=10000000     peak=  1938 MiB
20.059,stage   postings_write      1.27s  rows=46017422     peak=  1938 MiB
20.059,stage     external_ids      0.00s  rows=0            peak=  1938 MiB
66.517,"attribute 'published': 9,992,314 of 10,000,000 entities have a value"
66.517,"attribute 'title': 9,990,914 of 10,000,000 entities have a value"
66.517,"attribute 'mesh_major': 8,449,628 of 10,000,000 entities have a value"
66.517,"attribute 'abstract': 6,893,387 of 10,000,000 entities have a value"
66.517,"attribute 'pmid': 10,000,000 of 10,000,000 entities have a value"
66.517,        0 source row(s) named entities this build did not load
66.517,stage   attribute_tail     46.46s  rows=10000000     peak=  4007 MiB
172.384,stage           layers    105.87s  rows=2            peak=  4007 MiB
331.147,stage       text_index    132.19s  rows=3984896      peak=  4007 MiB
331.148,stage  filter_postings     26.58s  rows=10000000     peak=  4007 MiB
395.459,stage      record_blob     64.31s  rows=10000000     peak=  4007 MiB
395.590,stage   column_release      0.13s  rows=10000000     peak=  4007 MiB
395.907,stage       tiler_sort      0.32s  rows=10000000     peak=  4007 MiB
396.576,stage    segment_write      0.67s  rows=10000000     peak=  4007 MiB
438.305,"artifact layouts, chosen from the bundle's own row space (41728 ms):"
438.306,"  clusters/kmeans level 0 [knn]: 135 artifact(s) with rows, 0.541 everywhere, 5.0 blocks/artifact, disjoint — served rows"
438.306,"  mesh/descriptors level 0 [knn]: 30119 artifact(s) with rows, 0.988 everywhere, 71.1 blocks/artifact, overlapping — served list"
438.306,"  wrote 1 tile index(es), 1 row-major column(s), 2 containment partition(s), 0 shape row form(s), 0 decomposition file(s)"
441.005,stage        manifests     44.43s  rows=7705530732   peak=  4007 MiB
441.068,view 'knn': 10000000 point(s) landed in 8981578 distinct cell(s) — 89.8% of them have a position of their own
