t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,12,0,0,12,12,0,2891776,63.89
0.102,9084,12356,0,21440,21440,1,5820416,63.89
0.202,9084,12356,0,21440,21440,1,5820416,63.89
0.303,88668,12756,0,101424,101424,1,5820416,63.89
0.403,87168,12996,0,100164,154888,1,5820416,63.89
0.503,100016,13060,0,113076,177728,1,5820416,63.89
0.604,105080,13060,0,118140,177728,1,5820416,63.89
0.704,105872,13060,0,118932,177728,1,5820416,63.89
0.805,105872,13060,0,118932,177728,1,5820416,63.89
0.905,105872,13060,0,118932,177728,1,5820416,63.89
1.005,105872,13060,0,118932,177728,1,5820416,63.89
1.106,105872,13060,0,118932,177728,1,5820416,63.89
1.206,106616,13060,0,119676,177728,1,5820416,63.89
1.307,106768,13060,0,119828,177728,1,5820416,63.89
1.407,106768,13060,0,119828,177728,1,5820416,63.89
1.507,106768,13060,0,119828,177728,1,5820416,63.89
1.608,106768,13060,0,119828,177728,1,5820416,64.27
1.708,106768,13060,0,119828,177728,1,5820416,64.27
1.809,106768,13060,0,119828,177728,1,5820416,64.27
1.909,106768,13060,0,119828,177728,1,5820416,64.27
2.009,116768,13060,0,129828,177728,1,5820416,64.27
2.110,117824,13060,0,130884,177728,1,5820416,64.27
2.210,118092,13060,0,131152,177728,1,5820416,64.27
2.311,118672,13060,0,131732,177728,1,5820416,64.27
2.411,118672,13060,0,131732,177728,1,5820416,64.27
2.511,118672,13060,0,131732,177728,1,5820416,64.27
2.612,118672,13060,0,131732,177728,1,5820416,64.27
2.712,118672,13060,0,131732,177728,1,5820416,64.27
2.813,118672,13060,0,131732,177728,1,5820416,64.27
2.913,118672,13060,0,131732,177728,1,5820416,64.27
3.014,118672,13060,0,131732,177728,1,5820416,64.27
3.114,118672,13060,0,131732,177728,1,5820416,64.27
3.215,118672,13060,0,131732,177728,1,5820416,64.27
3.315,118672,13060,0,131732,177728,1,5820416,64.27
3.415,118672,13060,0,131732,177728,1,5820416,64.27
3.516,118672,13060,0,131732,177728,1,5820416,64.27
3.616,144556,13124,0,157680,177728,1,5820416,65.67
3.717,166816,13124,0,179940,179940,1,5820416,65.67
3.817,187508,13124,0,200632,200632,1,5820416,65.67
3.918,204840,13124,0,217964,217964,1,5820416,65.67
4.018,217760,13124,0,230884,230884,1,5820416,65.67
4.118,232756,13124,0,245880,245880,1,5820416,65.67
4.219,246660,13124,0,259784,259784,1,5820416,65.67
4.319,260696,13124,0,273820,273820,1,5820416,65.67
4.420,275608,13124,0,288732,288732,1,5820416,65.67
4.520,286456,13124,0,299580,299580,1,5820416,65.67
4.621,302368,13124,0,315492,315492,1,5820416,65.67
4.721,324352,13124,0,337476,337476,1,5820416,65.67
4.822,344156,13124,0,357280,357280,1,5820416,65.67
4.923,365388,13124,0,378512,378512,1,5820416,65.67
5.023,386308,13124,0,399432,399432,1,5820416,65.67
5.124,406716,13124,0,419840,419840,1,5820416,65.67
5.224,425452,13124,0,438576,438576,1,5820416,65.67
5.325,449280,13124,0,462404,462404,1,5820416,65.67
