t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,208,1136,0,1344,1344,0,0,0.04
0.102,8328,12524,0,20852,21784,0,66387968,0.04
0.202,9356,12524,0,21880,21880,0,135475200,0.04
0.302,8832,12524,0,21356,21784,0,189652992,0.04
0.403,9096,12524,0,21620,21804,0,265097216,0.04
0.504,84064,13280,0,97344,151252,0,265097216,0.04
0.604,85284,13408,0,98692,175236,0,265097216,0.04
0.704,104612,13472,0,118084,175236,0,265097216,0.04
0.805,112892,13472,0,126364,175236,0,273485824,0.04
0.905,112892,13472,0,126364,175236,0,273485824,0.03
1.006,112892,13472,0,126364,175236,0,273485824,0.03
1.106,112892,13472,0,126364,175236,0,281874432,0.03
1.207,112892,13472,0,126364,175236,0,281874432,0.03
1.307,112892,13472,0,126364,175236,0,281874432,0.03
1.407,113216,13472,0,126688,175236,0,281874432,0.03
1.508,113392,13472,0,126864,175236,0,281874432,0.03
1.608,114216,13472,0,127688,175236,0,290263040,0.03
1.709,117588,13472,0,131060,175236,0,290263040,0.03
1.809,117588,13472,0,131060,175236,0,290263040,0.03
1.910,117588,13472,0,131060,175236,0,290263040,0.03
2.010,117588,13472,0,131060,175236,0,298651648,0.03
2.111,117588,13472,0,131060,175236,0,298651648,0.03
2.211,117588,13472,0,131060,175236,0,298651648,0.03
2.312,117588,13472,0,131060,175236,0,298651648,0.03
2.412,117588,13472,0,131060,175236,0,305991680,0.03
2.513,117588,13472,0,131060,175236,0,305991680,0.03
2.613,117588,13472,0,131060,175236,0,305991680,0.03
2.714,117588,13472,0,131060,175236,0,305991680,0.03
2.814,118000,13472,0,131472,175236,0,307040256,0.03
2.915,118000,13472,0,131472,175236,0,307040256,0.02
3.016,118000,13472,0,131472,175236,0,307040256,0.02
3.116,118000,13472,0,131472,175236,0,307040256,0.02
3.217,118000,13472,0,131472,175236,0,313331712,0.02
3.317,118000,13472,0,131472,175236,0,313331712,0.02
3.418,118000,13472,0,131472,175236,0,313331712,0.02
3.518,118000,13472,0,131472,175236,0,313331712,0.02
3.619,118000,13472,0,131472,175236,0,318574592,0.02
3.719,118000,13472,0,131472,175236,0,318574592,0.02
3.820,118000,13472,0,131472,175236,0,318574592,0.02
3.920,118000,13472,0,131472,175236,0,318574592,0.02
4.022,118000,13472,0,131472,175236,0,324866048,0.02
4.122,118000,13472,0,131472,175236,0,324866048,0.02
4.223,118000,13472,0,131472,175236,0,324866048,0.02
4.324,130876,13600,0,144476,175236,0,324866048,0.02
4.425,154060,13600,0,167660,175236,0,324866048,0.02
4.525,174848,13600,0,188448,188448,0,324866048,0.02
4.626,194680,13600,0,208280,208280,0,324866048,0.02
