t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,12,0,0,12,12,0,1818624,2.36
0.101,8832,12224,0,21056,21544,1,6578176,2.36
0.202,8828,12224,0,21052,21544,1,6578176,2.36
0.302,73336,12656,0,85992,85992,1,6578176,2.36
0.402,88012,12912,0,100924,146884,1,6578176,2.36
0.503,103968,13096,0,117064,174380,1,6578176,1.93
0.603,111776,13096,0,124872,174380,1,6578176,1.93
0.703,112452,13096,0,125548,174380,1,6578176,1.93
0.804,112452,13096,0,125548,174380,1,6578176,1.93
0.904,112452,13096,0,125548,174380,1,6578176,1.93
1.004,112452,13096,0,125548,174380,1,6578176,1.93
1.105,112776,13096,0,125872,174380,1,6578176,1.93
1.205,113152,13096,0,126248,174380,1,6578176,1.93
1.305,117148,13096,0,130244,174380,1,6578176,1.93
1.406,117148,13096,0,130244,174380,1,6578176,1.93
1.506,117148,13096,0,130244,174380,1,6578176,1.93
1.607,117148,13096,0,130244,174380,1,6578176,1.93
1.707,117148,13096,0,130244,174380,1,6578176,1.93
1.807,117148,13096,0,130244,174380,1,6578176,1.93
1.908,117148,13096,0,130244,174380,1,6578176,1.93
2.008,117148,13096,0,130244,174380,1,6578176,1.93
2.108,117148,13096,0,130244,174380,1,6578176,1.93
2.209,117148,13096,0,130244,174380,1,6578176,1.93
2.309,117560,13096,0,130656,174380,1,6578176,1.93
2.409,117560,13096,0,130656,174380,1,6578176,1.93
2.510,117560,13096,0,130656,174380,1,6578176,1.58
2.610,117560,13096,0,130656,174380,1,6578176,1.58
2.710,117560,13096,0,130656,174380,1,6578176,1.58
2.811,117560,13096,0,130656,174380,1,6578176,1.58
2.911,117560,13096,0,130656,174380,1,6578176,1.58
3.012,117560,13096,0,130656,174380,1,6578176,1.58
3.112,117560,13096,0,130656,174380,1,6578176,1.58
3.212,117560,13096,0,130656,174380,1,6578176,1.58
3.313,117560,13096,0,130656,174380,1,6578176,1.58
3.413,117932,13224,0,131156,174380,1,6578176,1.58
3.514,148600,13224,0,161824,174380,1,6578176,1.58
3.614,169704,13224,0,182928,182928,1,6578176,1.58
3.714,191016,13224,0,204240,204240,1,6578176,1.58
3.815,215148,13224,0,228372,228372,1,6578176,1.58
3.915,234400,13224,0,247624,247624,1,6578176,1.58
4.016,258100,13224,0,271324,271324,1,6578176,1.58
4.116,278068,13224,0,291292,291292,1,6578176,1.58
4.216,301580,13224,0,314804,314804,1,6578176,1.58
4.317,322512,13224,0,335736,335736,1,6578176,1.58
4.417,346712,13224,0,359936,359936,1,6578176,1.29
4.517,368208,13224,0,381432,381432,1,6578176,1.29
4.618,390124,13224,0,403348,403348,1,6578176,1.29
4.718,412992,13224,0,426216,426216,1,6578176,1.29
4.818,432188,13224,0,445412,445412,1,6578176,1.29
4.919,453708,13224,0,466932,466932,1,6578176,1.29
