t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,108,740,0,848,848
0.101,5168,12356,0,17524,19380
0.201,5228,12356,0,17584,19440
0.301,19872,13316,0,33188,60784
0.402,30508,13380,0,43888,60784
0.502,33416,13444,0,46860,60784
0.602,75636,13508,0,89144,89144
0.702,101724,29204,0,130928,130928
0.802,101724,21644,0,123368,129832
0.903,147616,22476,0,170092,170092
1.003,211248,33436,0,244684,244684
1.103,142532,56860,0,199392,269684
1.204,189036,61428,0,250464,284644
1.304,178396,62452,0,240848,284644
1.404,124024,136624,0,260648,331924
1.504,194844,157124,0,351968,365212
1.605,163844,83704,0,247548,365212
1.705,203680,162396,0,366076,366076
1.805,180240,170628,0,350868,373332
1.905,125052,236728,0,361780,434836
2.006,203996,236728,0,440724,440724
2.106,140808,62924,0,203732,515020
2.206,200832,107152,0,307984,515020
2.307,166892,148408,0,315300,515020
2.407,139544,230952,0,370496,515020
2.507,189060,230952,0,420012,515020
2.607,137324,313688,0,451012,515020
2.708,201324,351352,0,552676,552676
2.808,158896,398788,0,557684,599040
2.908,208136,434880,0,643016,643016
3.008,177896,457556,0,635452,664540
3.109,128152,531808,0,659960,724964
3.209,193260,565124,0,758384,758384
3.309,136492,79300,0,215792,791344
3.409,188976,134524,0,323500,791344
3.510,128272,243624,0,371896,791344
3.610,128272,502268,0,630540,791344
3.710,128272,642768,0,771040,827316
3.810,128272,995024,0,1123296,1123296
3.911,128272,955968,0,1084240,1218488
4.011,128272,1242832,0,1371104,1371104
4.111,128272,1513168,0,1641440,1641440
4.212,128272,1786120,0,1914392,1914392
4.312,128272,1402572,0,1530844,2004856
4.412,128280,171408,0,299688,2004856
4.513,128280,171408,0,299688,2004856
4.613,128280,171408,0,299688,2004856
4.713,128280,171408,0,299688,2004856
4.813,135396,171728,0,307124,2004856
4.913,135396,171728,0,307124,2004856
5.014,136428,171792,0,308220,2004856
5.114,128612,180620,0,309232,2004856
5.214,130384,180684,0,311068,2004856
