t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,12,0,0,12,12,0,16384,20.06
0.102,8836,12472,0,21308,21308,8,89141248,20.06
0.202,8640,12472,0,21112,21432,8,143138816,20.06
0.302,9192,12472,0,21664,21728,8,215842816,20.06
0.402,7112,12472,0,19584,22484,8,291024896,20.06
0.503,128808,12884,0,141692,148544,10,300486656,20.06
0.603,92296,13012,0,105308,182156,10,300486656,20.06
0.704,109664,13076,0,122740,182156,10,300613632,20.06
0.804,115896,13076,0,128972,182156,10,309002240,20.06
0.904,115904,13076,0,128980,182156,10,309002240,20.06
1.005,115908,13076,0,128984,182156,10,309002240,20.06
1.105,115908,13076,0,128984,182156,10,317390848,20.06
1.205,115908,13076,0,128984,182156,10,317390848,20.06
1.306,116380,13076,0,129456,182156,10,317390848,19.32
1.406,116616,13076,0,129692,182156,10,325779456,19.32
1.507,116808,13076,0,129884,182156,10,325779456,19.32
1.607,116808,13076,0,129884,182156,10,325779456,19.32
1.707,116852,13076,0,129928,182156,10,334168064,19.32
1.808,116852,13076,0,129928,182156,10,334168064,19.32
1.908,116852,13076,0,129928,182156,10,334168064,19.32
2.009,116852,13076,0,129928,182156,10,341508096,19.32
2.109,116852,13076,0,129928,182156,10,341508096,19.32
2.209,116852,13076,0,129928,182156,10,341508096,19.32
2.310,116852,13076,0,129928,182156,10,342556672,19.32
2.410,116852,13076,0,129928,182156,10,342556672,19.32
2.510,116852,13076,0,129928,182156,10,342556672,19.32
2.611,116852,13076,0,129928,182156,10,342556672,19.32
2.711,116852,13076,0,129928,182156,10,348848128,19.32
2.812,116852,13076,0,129928,182156,10,348848128,19.32
2.912,116852,13076,0,129928,182156,10,348848128,19.32
3.012,116852,13076,0,129928,182156,10,354091008,19.32
3.113,116852,13076,0,129928,182156,10,354091008,19.32
3.213,116852,13076,0,129928,182156,10,354091008,19.32
3.314,116852,13076,0,129928,182156,10,360382464,15.82
3.414,116852,13076,0,129928,182156,10,360382464,15.82
3.514,116852,13076,0,129928,182156,10,360382464,15.82
3.615,130020,13076,0,143096,182156,10,360382464,15.82
3.715,152348,13076,0,165424,182156,10,360382464,15.82
3.816,173040,13076,0,186116,186116,10,360382464,15.82
3.916,194136,13076,0,207212,207212,10,360382464,15.82
4.016,218288,13076,0,231364,231364,10,360382464,15.82
4.117,241180,13076,0,254256,254256,10,360382464,15.82
4.217,262508,13076,0,275584,275584,10,360382464,15.82
4.317,288368,13076,0,301444,301444,10,360382464,15.82
4.418,310560,13076,0,323636,323636,10,360382464,15.82
4.518,335232,13076,0,348308,348308,10,360382464,15.82
4.618,356868,13076,0,369944,369944,10,360382464,15.82
4.719,378664,13076,0,391740,391740,10,360382464,15.82
4.819,402336,13076,0,415412,415412,10,360382464,15.82
4.920,425244,13076,0,438320,438320,10,360382464,15.82
5.020,446576,13076,0,459652,459652,10,360382464,15.82
5.120,468512,13076,0,481588,481588,10,360382464,15.82
5.221,491472,13076,0,504548,504548,10,360382464,15.67
5.321,513872,13076,0,526948,526948,10,360382464,15.67
