t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,44,256,0,300,300,0,0,20.83
0.101,8152,11680,0,19832,20672,1,73728000,20.83
0.202,8776,11680,0,20456,20672,1,129703936,20.83
0.302,8480,11680,0,20160,20852,1,192544768,20.83
0.403,8992,11680,0,20672,20852,1,266928128,20.83
0.503,85412,12664,0,98076,151604,1,266928128,20.83
0.603,102900,12728,0,115628,175592,1,266928128,20.83
0.704,104828,12728,0,117556,175592,1,266928128,20.83
0.804,113108,12728,0,125836,175592,1,275316736,20.83
0.904,113108,12728,0,125836,175592,1,275316736,20.83
1.005,113108,12728,0,125836,175592,1,275316736,20.83
1.105,113108,12728,0,125836,175592,1,283705344,20.83
1.206,113108,12728,0,125836,175592,1,283705344,20.83
1.306,113608,12728,0,126336,175592,1,283705344,20.83
1.406,113812,12728,0,126540,175592,1,292093952,20.83
1.507,117804,12728,0,130532,175592,1,292093952,20.83
1.607,117804,12728,0,130532,175592,1,292093952,20.83
1.707,117804,12728,0,130532,175592,1,292093952,20.83
1.808,117804,12728,0,130532,175592,1,300482560,19.41
1.908,117804,12728,0,130532,175592,1,300482560,19.41
2.009,117804,12728,0,130532,175592,1,300482560,19.41
2.109,117804,12728,0,130532,175592,1,307822592,19.41
2.209,117804,12728,0,130532,175592,1,307822592,19.41
2.310,117804,12728,0,130532,175592,1,307822592,19.41
2.410,118188,12728,0,130916,175592,1,308871168,19.41
2.510,118216,12728,0,130944,175592,1,308871168,19.41
2.611,118216,12728,0,130944,175592,1,308871168,19.41
2.711,118216,12728,0,130944,175592,1,315162624,19.41
2.812,118216,12728,0,130944,175592,1,315162624,19.41
2.912,118216,12728,0,130944,175592,1,315162624,19.41
3.012,118216,12728,0,130944,175592,1,315162624,19.41
3.113,118216,12728,0,130944,175592,1,320405504,19.41
3.213,118216,12728,0,130944,175592,1,320405504,19.41
3.314,118216,12728,0,130944,175592,1,320405504,19.41
3.414,118216,12728,0,130944,175592,1,326696960,19.41
3.515,118216,12728,0,130944,175592,1,326696960,19.41
3.615,118216,12728,0,130944,175592,1,326696960,19.41
3.716,139352,12792,0,152144,175592,1,326696960,19.41
3.816,159884,12792,0,172676,175592,1,326696960,17.89
3.916,180576,12792,0,193368,193368,1,326696960,17.89
4.017,205068,12792,0,217860,217860,1,326696960,17.89
4.117,225824,12792,0,238616,238616,1,326696960,17.89
4.218,242408,12792,0,255200,255200,1,326696960,17.89
4.318,258300,12792,0,271092,271092,1,326696960,17.89
4.418,277256,12792,0,290048,290048,1,326696960,17.89
4.519,299476,12792,0,312268,312268,1,326696960,17.89
4.619,322020,12792,0,334812,334812,1,326696960,17.89
4.719,341876,12792,0,354668,354668,1,326696960,17.89
4.820,363512,12792,0,376304,376304,1,326696960,17.89
4.920,385308,12792,0,398100,398100,1,326696960,17.89
5.021,407760,12792,0,420552,420552,1,326696960,17.89
5.121,430300,12792,0,443092,443092,1,326696960,17.89
5.221,453220,12792,0,466012,466012,1,326696960,17.89
5.322,474000,12792,0,486792,486792,1,326696960,17.89
5.422,498116,12792,0,510908,510908,1,326696960,17.89
5.522,522352,12792,0,535144,535144,1,326696960,17.89
5.623,543204,12792,0,555996,555996,1,326696960,17.89
5.723,567256,12792,0,580048,580048,1,326696960,16.82
5.823,587988,12792,0,600780,600780,1,326696960,16.82
