t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,12,0,0,12,12,0,1802240,20.71
0.101,8560,11520,0,20080,20192,1,6537216,20.71
0.202,9076,11520,0,20596,20988,1,6537216,20.71
0.302,8832,11520,0,20352,22084,1,6537216,20.71
0.402,92468,12052,0,104520,143504,1,6537216,20.71
0.503,89012,12116,0,101128,178936,1,6537216,20.71
0.603,107620,12244,0,119864,178936,1,6537216,20.71
0.703,113856,12244,0,126100,178936,1,6537216,20.71
0.804,113864,12244,0,126108,178936,1,6537216,20.71
0.904,113864,12244,0,126108,178936,1,6537216,20.71
1.005,113868,12244,0,126112,178936,1,6537216,20.71
1.105,113868,12244,0,126112,178936,1,6537216,20.71
1.205,114340,12244,0,126584,178936,1,6537216,20.71
1.306,114572,12244,0,126816,178936,1,6537216,20.71
1.406,114768,12244,0,127012,178936,1,6537216,20.71
1.507,114768,12244,0,127012,178936,1,6537216,20.71
1.607,114812,12244,0,127056,178936,1,6537216,20.71
1.707,114812,12244,0,127056,178936,1,6537216,20.71
1.808,114812,12244,0,127056,178936,1,6537216,17.14
1.908,114812,12244,0,127056,178936,1,6537216,17.14
2.008,114812,12244,0,127056,178936,1,6537216,17.14
2.109,114812,12244,0,127056,178936,1,6537216,17.14
2.209,114812,12244,0,127056,178936,1,6537216,17.14
2.310,114812,12244,0,127056,178936,1,6537216,17.14
2.410,114812,12244,0,127056,178936,1,6537216,17.14
2.510,114812,12244,0,127056,178936,1,6537216,17.14
2.611,114812,12244,0,127056,178936,1,6537216,17.14
2.711,114812,12244,0,127056,178936,1,6537216,17.14
2.811,114812,12244,0,127056,178936,1,6537216,17.14
2.912,114812,12244,0,127056,178936,1,6537216,17.14
3.012,114812,12244,0,127056,178936,1,6537216,17.14
3.112,114812,12244,0,127056,178936,1,6537216,17.14
3.213,114812,12244,0,127056,178936,1,6537216,17.14
3.313,114812,12244,0,127056,178936,1,6537216,17.14
3.413,114812,12244,0,127056,178936,1,6537216,17.14
3.514,124020,12308,0,136328,178936,1,6537216,17.14
3.614,149148,12308,0,161456,178936,1,6537216,17.14
3.715,170992,12308,0,183300,183300,1,6537216,17.3
3.815,194928,12308,0,207236,207236,1,6537216,17.3
3.915,216240,12308,0,228548,228548,1,6537216,17.3
4.016,239132,12308,0,251440,251440,1,6537216,17.3
4.116,261776,12308,0,274084,274084,1,6537216,17.3
4.216,286324,12308,0,298632,298632,1,6537216,17.3
4.317,308516,12308,0,320824,320824,1,6537216,17.3
4.417,328948,12308,0,341256,341256,1,6537216,17.3
4.517,354276,12308,0,366584,366584,1,6537216,17.3
4.618,376620,12308,0,388928,388928,1,6537216,17.3
4.718,397416,12308,0,409724,409724,1,6537216,17.3
4.818,418924,12308,0,431232,431232,1,6537216,17.3
4.919,444180,12308,0,456488,456488,1,6537216,17.3
5.019,465244,12308,0,477552,477552,1,6537216,17.3
5.119,489428,12308,0,501736,501736,1,6537216,17.3
5.220,509552,12308,0,521860,521860,1,6537216,17.3
5.320,534516,12308,0,546824,546824,1,6537216,17.3
5.421,555852,12308,0,568160,568160,1,6537216,17.3
5.521,579300,12308,0,591608,591608,1,6537216,17.3
5.621,599992,12308,0,612300,612300,1,6537216,17.3
5.721,624492,12308,0,636800,636800,1,6537216,16.16
5.822,644876,12308,0,657184,657184,1,6537216,16.16
5.922,667960,12308,0,680268,680268,1,6537216,16.16
6.023,690820,12308,0,703128,703128,1,6537216,16.16
6.123,712620,12308,0,724928,724928,1,6537216,16.16
6.223,735008,12308,0,747316,747316,1,6537216,16.16
6.324,757052,12308,0,769360,769360,1,6537216,16.16
6.424,777956,12308,0,790264,790264,1,6537216,16.16
6.524,800520,12308,0,812828,812828,1,6537216,16.16
6.625,820608,12308,0,832916,832916,1,6537216,16.16
6.725,830284,12308,0,842592,842592,1,6537216,16.16
6.825,830284,12308,0,842592,842592,1,6537216,16.16
6.926,830284,12308,0,842592,842592,1,6537216,16.16
7.026,111272,12460,0,123732,842152,1,6537216,16.16
7.126,134596,12460,0,147056,842152,1,6537216,16.16
7.227,155700,12460,0,168160,842152,1,6537216,16.16
7.327,176932,12460,0,189392,842152,1,6537216,16.16
