t,line
0.317,"view 'knn': quantising against x [-61.571681365966796, 18.65543685913086], y [-22.400528774261474, 57.82658945083618]"
0.317,"        the data spans x [-60.78514099121094, 17.868896484375], y [-15.247759819030762, 50.67382049560547] — 64252 x 53852 of the 65536 x 65536 cells"
0.317,"        10000000 point(s) placed, none on the frame's edge"
0.317,"schema: 5 column(s), 8.00 B/row against the 12 B fixed row (+67%)"
0.317,        7.44 GiB per 10^9 items — unalterable without rewriting the corpus
0.317,        every column materialises in EVERY view — including ones whose items carry no value for it (§3.9). Per-view columns need contracts §2.6's per-view enumeration
0.504,stage       source_ids      0.19s  rows=10000000     peak=   174 MiB
7.019,stage       dictionary      6.51s  rows=18           peak=   822 MiB
7.020,"warning: this build's entity-order stages need at least 1978 MiB against a 3276 MiB budget, and that figure is a lower bound — it counts what the stages hold, not the readers and allocator around them (measured at roughly half the real peak). These stages do not batch. Where the bytes are:"
7.020,"       1799 MiB  471778374 layer member row(s) at 4 B — the publication's own Roaring, while the level it is publishing is in flight"
7.020,"         76 MiB  the sorted source ids, 8 B/item (input.rs; released after the layer publication)"
7.020,"         64 MiB  slack for decode buffers, stage scratch and the allocator"
7.020,"         38 MiB  the ordinal→entity map, 4 B/item"
7.020,"       8908 MiB (mapped)  declared column 3 (text): 16 B/item of offset plus 8755 MiB of characters, in .build-tmp/"
7.020,"       8908 MiB (mapped)  the text index's sorted runs over column 3, charged at the column they are tokenised from"
7.020,"       3599 MiB (mapped)  the member spill's runs and the table they merge into, at 8 B a member row, in .build-tmp/"
7.020,"       1073 MiB (mapped)  declared column 1 (text): 16 B/item of offset plus 919 MiB of characters, in .build-tmp/"
7.020,"       1073 MiB (mapped)  the text index's sorted runs over column 1, charged at the column they are tokenised from"
7.020,"        899 MiB (mapped)  the published memberships the store reads back through the packed extent, at 2 B a member row"
7.020,"        679 MiB (mapped)  declared column 2 (text): 16 B/item of offset plus 525 MiB of characters, in .build-tmp/"
7.020,"        679 MiB (mapped)  the text index's sorted runs over column 2, charged at the column they are tokenised from"
7.020,"        267 MiB (mapped)  declared column 4 (keyword): 16 B/item of offset plus 113 MiB of characters, in .build-tmp/"
7.020,"         77 MiB (mapped)  declared column 0 (timestamp_us): 8 B/item, in .build-tmp/"
12.184,stage    geometry_read      5.17s  rows=10000000     peak=  1914 MiB
12.184,stage       pairs_pack      0.00s  rows=46017422     peak=  1914 MiB
13.759,stage   signature_sort      1.57s  rows=10000000     peak=  1914 MiB
17.501,stage       assignment      3.74s  rows=10000000     peak=  1914 MiB
17.648,stage       assignment      0.15s  rows=10000000     peak=  1914 MiB
18.886,stage   postings_write      1.24s  rows=46017422     peak=  1914 MiB
18.886,stage     external_ids      0.00s  rows=0            peak=  1914 MiB
62.179,"attribute 'published': 9,992,314 of 10,000,000 entities have a value"
62.179,"attribute 'title': 9,990,914 of 10,000,000 entities have a value"
62.179,"attribute 'mesh_major': 8,449,628 of 10,000,000 entities have a value"
62.179,"attribute 'abstract': 6,893,387 of 10,000,000 entities have a value"
62.179,"attribute 'pmid': 10,000,000 of 10,000,000 entities have a value"
62.179,        0 source row(s) named entities this build did not load
62.179,stage   attribute_tail     43.29s  rows=10000000     peak=  4024 MiB
169.886,stage           layers    107.71s  rows=2            peak=  4024 MiB
188.038,TIMING title chunk-pass-end->merge-end 12.94s runs=2
194.160,TIMING mesh_major chunk-pass-end->merge-end 3.94s runs=96
324.678,TIMING abstract chunk-pass-end->merge-end 89.12s runs=5
348.071,stage       text_index    154.58s  rows=3984896      peak=  4024 MiB
348.071,stage  filter_postings     23.60s  rows=10000000     peak=  4024 MiB
