t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,12,0,0,12,12,0,1445888,27.6
0.101,8696,11696,0,20392,20412,11,27754496,27.6
0.201,8564,11696,0,20260,20532,11,27754496,27.6
0.302,57264,12112,0,69376,69376,13,28831744,27.6
0.402,83524,12496,0,96020,144640,13,28831744,27.6
0.503,100128,12560,0,112688,173636,13,28831744,27.6
0.603,111396,12560,0,123956,173636,13,28831744,25.68
0.703,112404,12560,0,124964,173636,13,28831744,25.68
0.804,112404,12560,0,124964,173636,13,28831744,25.68
0.904,112404,12560,0,124964,173636,13,28831744,25.68
1.004,112404,12560,0,124964,173636,13,28831744,25.68
1.105,112404,12560,0,124964,173636,13,28831744,25.68
1.205,112996,12560,0,125556,173636,13,28831744,25.68
1.305,117096,12560,0,129656,173636,13,28831744,25.68
1.406,117096,12560,0,129656,173636,13,28831744,25.68
1.506,117096,12560,0,129656,173636,13,28831744,25.68
1.607,117096,12560,0,129656,173636,13,28831744,25.68
1.707,117096,12560,0,129656,173636,13,28831744,25.68
1.808,117096,12560,0,129656,173636,13,28831744,25.68
1.908,117096,12560,0,129656,173636,13,28831744,25.68
2.008,117096,12560,0,129656,173636,13,28831744,25.68
2.108,117096,12560,0,129656,173636,13,28831744,25.68
2.209,117096,12560,0,129656,173636,13,28831744,25.68
2.309,117096,12560,0,129656,173636,13,28831744,25.68
2.409,117096,12560,0,129656,173636,13,28831744,25.68
2.510,117096,12560,0,129656,173636,13,28831744,21.21
2.610,117100,12560,0,129660,173636,13,28831744,21.21
2.711,117100,12560,0,129660,173636,13,28831744,21.21
2.811,117100,12560,0,129660,173636,13,28831744,21.21
2.911,117100,12560,0,129660,173636,13,28831744,21.21
3.012,117100,12560,0,129660,173636,13,28831744,21.21
3.112,117100,12560,0,129660,173636,13,28831744,21.21
3.212,117100,12560,0,129660,173636,13,28831744,21.21
3.313,117100,12560,0,129660,173636,13,28831744,21.21
3.413,117100,12560,0,129660,173636,13,28831744,21.21
3.513,117100,12624,0,129724,173636,13,28831744,21.21
3.614,147196,12624,0,159820,173636,13,28831744,21.21
3.714,170484,12624,0,183108,183108,13,28831744,21.21
3.815,190640,12624,0,203264,203264,13,28831744,21.21
3.915,211076,12624,0,223700,223700,13,28831744,21.21
4.015,231164,12624,0,243788,243788,13,28831744,21.21
4.116,254056,12624,0,266680,266680,13,28831744,21.21
4.216,274724,12624,0,287348,287348,13,28831744,21.21
4.316,296284,12624,0,308908,308908,13,28831744,21.21
4.417,317040,12624,0,329664,329664,13,28831744,20.26
4.517,341956,12624,0,354580,354580,13,28831744,20.26
4.618,363444,12624,0,376068,376068,13,28831744,20.26
4.718,385140,12624,0,397764,397764,13,28831744,20.26
4.818,406280,12624,0,418904,418904,13,28831744,20.26
4.919,428140,12624,0,440764,440764,13,28831744,20.26
5.019,449924,12624,0,462548,462548,13,28831744,20.26
5.119,473952,12624,0,486576,486576,13,28831744,20.26
5.220,493616,12624,0,506240,506240,13,28831744,20.26
5.320,518288,12624,0,530912,530912,13,28831744,20.26
5.421,538968,12624,0,551592,551592,13,28831744,20.26
5.521,562512,12624,0,575136,575136,13,28831744,20.26
5.621,582952,12624,0,595576,595576,13,28831744,20.26
5.722,603732,12624,0,616356,616356,13,28831744,20.26
5.822,627556,12624,0,640180,640180,13,28831744,20.26
5.922,648468,12624,0,661092,661092,13,28831744,20.26
6.023,668980,12624,0,681604,681604,13,28831744,20.26
6.123,691132,12624,0,703756,703756,13,28831744,20.26
6.224,713600,12624,0,726224,726224,13,28831744,20.26
6.324,735536,12624,0,748160,748160,13,28831744,20.26
6.424,758056,12624,0,770680,770680,13,28831744,20.21
6.525,779708,12624,0,792332,792332,13,28831744,20.21
6.625,803492,12624,0,816116,816116,13,28831744,20.21
6.725,824488,12624,0,837112,837112,13,28831744,20.21
6.826,844324,12624,0,856948,856948,13,28831744,20.21
6.926,844324,12624,0,856948,856948,13,28831744,20.21
7.027,844324,12624,0,856948,856948,13,28831744,20.21
7.127,405728,12624,0,418352,856368,13,28831744,20.21
7.227,139888,12816,0,152704,856368,13,28831744,20.21
7.328,160736,12816,0,173552,856368,13,28831744,20.21
7.428,184908,12816,0,197724,856368,13,28831744,20.21
7.528,205980,12816,0,218796,856368,13,28831744,20.21
7.629,226200,12816,0,239016,856368,13,28831744,20.21
7.729,248984,12816,0,261800,856368,13,28831744,20.21
7.830,269116,12816,0,281932,856368,13,28831744,20.21
7.930,289596,12816,0,302412,856368,13,28831744,20.21
8.030,311532,12816,0,324348,856368,13,28831744,20.21
8.131,333656,12816,0,346472,856368,13,28831744,20.21
8.231,352732,12816,0,365548,856368,13,28831744,20.21
8.331,374228,12816,0,387044,856368,13,28831744,19.99
8.432,396144,12816,0,408960,856368,13,28831744,19.99
8.532,419032,12816,0,431848,856368,13,28831744,19.99
8.632,437688,12816,0,450504,856368,13,28831744,19.99
8.733,458580,12816,0,471396,856368,13,28831744,19.99
8.833,479932,12816,0,492748,856368,13,28831744,19.99
8.934,503476,12816,0,516292,856368,13,28831744,19.99
9.034,523600,12816,0,536416,856368,13,28831744,19.99
9.134,543308,12816,0,556124,856368,13,28831744,19.99
9.235,564668,12816,0,577484,856368,13,28831744,19.99
9.335,587080,12816,0,599896,856368,13,28831744,19.99
9.435,608936,12816,0,621752,856368,13,28831744,19.99
9.536,628564,12816,0,641380,856368,13,28831744,19.99
9.636,648476,12816,0,661292,856368,13,28831744,19.99
9.736,671692,12816,0,684508,856368,13,28831744,19.99
9.837,691140,12816,0,703956,856368,13,28831744,19.99
9.937,713608,12816,0,726424,856368,13,28831744,19.99
10.037,734896,12816,0,747712,856368,13,28831744,19.99
10.138,753556,12816,0,766372,856368,13,28831744,19.99
10.238,775468,12816,0,788284,856368,13,28831744,19.99
10.339,795844,12816,0,808660,856368,13,28831744,20.72
10.439,814568,12816,0,827384,856368,13,28831744,20.72
10.539,834776,12816,0,847592,856368,13,28831744,20.72
10.640,870572,12816,0,883388,883388,13,28831744,20.72
10.740,1037536,12816,0,1050352,1050352,13,28831744,20.72
10.841,1207156,12816,0,1219972,1219972,13,28831744,20.72
10.941,1367280,12816,0,1380096,1380096,13,28831744,20.72
11.041,1521672,12816,0,1534488,1534488,13,28831744,20.72
11.142,1567284,12816,0,1580100,1580100,13,28831744,20.72
11.245,1567416,12816,0,1580232,1580232,13,28831744,20.72
11.346,1567444,12816,0,1580260,1580260,13,28831744,20.72
11.446,1578108,12816,0,1590924,1590924,13,28831744,20.72
11.547,1606276,12816,0,1619092,1619092,13,28831744,20.72
11.647,1723928,12816,0,1736744,1736744,13,28831744,20.72
11.747,1847040,12816,0,1859856,1859856,13,28831744,20.72
11.848,1963604,12816,0,1976420,1976420,13,28831744,20.72
11.948,696548,12816,0,709364,1978088,13,28831744,20.72
12.048,668132,12816,0,680948,1978088,13,28831744,20.72
12.149,757416,12816,0,770232,1978088,13,28831744,20.72
12.249,780480,59024,0,839504,1978088,15,28831744,18.23
12.349,640232,149312,0,789544,1978088,17,28835840,18.23
12.453,640240,169136,0,809376,1978088,17,28839936,18.23
12.553,640240,169136,0,809376,1978088,17,28839936,18.23
12.654,719692,169136,0,888828,1978088,17,28839936,18.23
12.754,811272,169136,0,980408,1978088,17,28839936,18.23
12.857,835556,169136,0,1004692,1978088,17,28839936,18.23
12.957,946440,169136,0,1115576,1978088,17,28839936,18.23
13.058,1042524,169136,0,1211660,1978088,17,28839936,18.23
13.158,1127172,169136,0,1296308,1978088,17,28839936,18.23
13.259,1167992,169136,0,1337128,1978088,17,28839936,18.23
13.359,1197168,169136,0,1366304,1978088,17,28839936,18.23
13.459,1128080,169136,0,1297216,1978088,17,28839936,18.23
13.560,1038744,169136,0,1207880,1978088,17,28839936,18.23
13.660,1038744,169136,0,1207880,1978088,17,28839936,18.23
13.760,1038744,169136,0,1207880,1978088,17,28839936,18.23
13.861,1038744,169136,0,1207880,1978088,17,28839936,18.23
13.961,928148,169200,0,1097348,1978088,17,28839936,18.23
14.061,928448,169200,0,1097648,1978088,17,28839936,18.23
14.162,928528,169200,0,1097728,1978088,17,28839936,16.74
14.262,928540,169200,0,1097740,1978088,17,28839936,16.74
14.362,928564,169200,0,1097764,1978088,17,28839936,16.74
14.463,928568,169200,0,1097768,1978088,17,28839936,16.74
14.563,928576,169200,0,1097776,1978088,17,28839936,16.74
14.663,928620,169200,0,1097820,1978088,17,28839936,16.74
14.764,928628,169200,0,1097828,1978088,17,28839936,16.74
14.864,928672,169200,0,1097872,1978088,17,28839936,16.74
14.964,928688,169200,0,1097888,1978088,17,28839936,16.74
15.065,928708,169200,0,1097908,1978088,17,28839936,16.74
15.165,928716,169200,0,1097916,1978088,17,28839936,16.74
15.265,928764,169200,0,1097964,1978088,17,28839936,16.74
15.366,928780,169200,0,1097980,1978088,17,28839936,16.74
15.466,928784,169200,0,1097984,1978088,17,28839936,16.74
15.566,928784,169200,0,1097984,1978088,17,28839936,16.74
15.667,928788,169200,0,1097988,1978088,17,28839936,16.74
15.767,928792,169200,0,1097992,1978088,17,28839936,16.74
15.867,928796,169200,0,1097996,1978088,17,28839936,16.74
15.967,928796,169200,0,1097996,1978088,17,28839936,16.74
16.068,928796,169200,0,1097996,1978088,17,28839936,16.74
16.168,928796,169200,0,1097996,1978088,17,28839936,16.6
16.268,928796,169200,0,1097996,1978088,17,28839936,16.6
16.369,928796,169200,0,1097996,1978088,17,28839936,16.6
16.469,928796,169200,0,1097996,1978088,17,28839936,16.6
16.569,928796,169200,0,1097996,1978088,17,28839936,16.6
16.670,928796,169200,0,1097996,1978088,17,28839936,16.6
16.770,928796,169200,0,1097996,1978088,17,28839936,16.6
16.870,928796,169200,0,1097996,1978088,17,28839936,16.6
16.971,928796,169200,0,1097996,1978088,17,28839936,16.6
17.071,928796,169200,0,1097996,1978088,17,28839936,16.6
17.171,928796,169200,0,1097996,1978088,17,28839936,16.6
17.272,928796,169200,0,1097996,1978088,17,28839936,16.6
17.372,928804,169200,0,1098004,1978088,17,28839936,16.6
17.472,928812,169200,0,1098012,1978088,17,28839936,16.6
17.573,928816,169200,0,1098016,1978088,17,28839936,16.6
17.673,929028,169200,0,1098228,1978088,17,28839936,16.6
17.773,929080,169200,0,1098280,1978088,17,28839936,16.6
17.874,929080,169200,0,1098280,1978088,17,28839936,16.6
17.974,929080,169200,0,1098280,1978088,17,28839936,16.6
18.074,374252,91072,0,465324,1978088,17,28839936,16.68
18.175,375844,91456,0,467300,1978088,17,28844032,16.68
18.275,402944,91456,0,494400,1978088,17,28844032,16.68
18.375,429680,91456,0,521136,1978088,17,28844032,16.68
18.476,456460,91456,0,547916,1978088,17,28844032,16.68
18.576,483608,91456,0,575064,1978088,17,28844032,16.68
18.677,510744,91456,0,602200,1978088,17,28844032,16.68
18.777,537928,91456,0,629384,1978088,17,28844032,16.68
18.877,555852,91840,0,647692,1978088,17,28844032,16.68
18.978,555852,92224,0,648076,1978088,17,28844032,16.68
19.078,555852,92224,0,648076,1978088,17,28844032,16.68
19.178,555852,92224,0,648076,1978088,17,28844032,16.68
19.279,555852,92224,0,648076,1978088,17,28844032,16.68
19.379,555852,92224,0,648076,1978088,17,28844032,16.68
19.479,417848,95056,0,512904,1978088,31,28852224,16.68
19.580,391712,123000,0,514712,1978088,45,28856320,16.68
19.680,434544,135696,0,570240,1978088,49,28860416,16.68
19.780,436060,171716,0,607776,1978088,51,28860416,16.68
19.881,438664,148464,0,587128,1978088,53,28872704,16.68
19.981,431324,214360,0,645684,1978088,53,28872704,16.73
20.082,424572,149088,0,573660,1978088,54,28901376,16.73
20.182,435052,192672,0,627724,1978088,56,28901376,16.73
20.282,481068,232692,0,713760,1978088,56,28901376,16.73
20.383,486704,255452,0,742156,1978088,56,28901376,16.73
20.483,471356,322888,0,794244,1978088,56,28901376,16.73
20.584,465688,351360,0,817048,1978088,57,28901376,16.73
20.684,441756,410248,0,852004,1978088,57,28901376,16.73
20.784,439116,217904,0,657020,1978088,58,28950528,16.73
20.885,475612,289532,0,765144,1978088,58,28950528,16.73
