t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
0.001,144,1000,0,1144,1144,0,0,18.88
0.101,9484,12192,0,21676,21676,0,95240192,18.88
0.201,9484,12192,0,21676,21676,0,162803712,18.88
0.302,9484,12192,0,21676,21676,0,237854720,18.88
0.402,9484,12192,0,21676,21676,0,317546496,18.88
0.502,9996,12192,0,22188,22188,0,398262272,18.88
0.603,9996,12192,0,22188,22188,0,472395776,18.88
0.703,9996,12192,0,22188,22188,0,560353280,18.88
0.804,9996,12192,0,22188,22188,0,652984320,18.88
0.904,9996,12192,0,22188,22188,0,751243264,18.88
1.004,9996,12192,0,22188,22188,0,845443072,18.88
1.105,9996,12192,0,22188,22188,0,944005120,18.88
1.205,10152,12192,0,22344,22344,0,1053552640,18.88
1.305,10152,12192,0,22344,22344,0,1162141696,21.26
1.406,10152,12192,0,22344,22344,0,1267372032,21.26
1.506,10152,12192,0,22344,22344,0,1370570752,21.26
1.606,10152,12192,0,22344,22344,0,1475092480,21.26
1.707,10152,12192,0,22344,22344,0,1584119808,21.26
1.807,10152,12192,0,22344,22344,0,1705443328,21.26
1.907,10152,12192,0,22344,22344,0,1822687232,21.26
2.008,10152,12192,0,22344,22344,0,1918017536,21.26
2.108,10152,12192,0,22344,22344,0,2025357312,21.26
2.208,10152,12192,0,22344,22344,0,2100277248,21.26
2.309,10152,12192,0,22344,22344,0,2180255744,21.26
2.409,10152,12192,0,22344,22344,0,2279444480,21.26
2.509,10152,12192,0,22344,22344,0,2369396736,21.26
2.610,10152,12192,0,22344,22344,0,2482040832,21.26
2.710,10152,12192,0,22344,22344,0,2568450048,21.26
2.810,10152,12192,0,22344,22344,0,2652880896,21.26
2.911,10152,12192,0,22344,22344,0,2739920896,21.26
3.011,10152,12192,0,22344,22344,0,2817556480,21.26
3.112,10152,12192,0,22344,22344,0,2908585984,21.26
3.212,10152,12192,0,22344,22344,0,2999623680,22.12
3.312,10152,12192,0,22344,22344,0,3086663680,22.12
3.413,10152,12192,0,22344,22344,0,3179737088,22.12
3.513,10152,12192,0,22344,22344,0,3257704448,22.12
3.613,10152,12192,0,22344,22344,0,3345989632,22.12
3.714,10152,12192,0,22344,22344,0,3432349696,22.12
3.814,10152,12192,0,22344,22344,0,3515813888,22.12
3.914,10152,12192,0,22344,22344,0,3610734592,22.12
4.015,10152,12192,0,22344,22344,0,3698552832,22.12
4.115,10152,12192,0,22344,22344,0,3789078528,22.12
4.216,10152,12192,0,22344,22344,0,3890106368,22.12
4.316,10152,12192,0,22344,22344,0,3970420736,22.12
4.416,10152,12192,0,22344,22344,0,4064772096,22.12
4.517,10152,12192,0,22344,22344,0,4169695232,22.12
4.617,10152,12192,0,22344,22344,0,4274159616,22.12
4.717,10152,12192,0,22344,22344,0,4392554496,22.12
4.818,10152,12192,0,22344,22344,0,4494000128,22.12
4.918,10152,12192,0,22344,22344,0,4604653568,22.12
5.018,10152,12192,0,22344,22344,0,4685819904,22.12
5.119,10152,12192,0,22344,22344,0,4776648704,20.28
5.219,10152,12192,0,22344,22344,0,4872642560,20.28
5.319,10152,12192,0,22344,22344,0,4992598016,20.28
5.420,10152,12192,0,22344,22344,0,5068828672,20.28
5.520,10152,12192,0,22344,22344,0,5144059904,20.28
5.620,10152,12192,0,22344,22344,0,5211254784,20.28
5.721,10152,12192,0,22344,22344,0,5269856256,20.28
5.821,10152,12192,0,22344,22344,0,5340618752,20.28
5.922,81328,12704,0,94032,94032,0,5374840832,20.28
6.022,208576,12704,0,221280,221280,0,5374840832,20.28
6.122,314180,12704,0,326884,326884,0,5374840832,20.28
6.223,420576,12704,0,433280,435544,0,5374840832,20.28
6.323,527996,12704,0,540700,540700,0,5374840832,20.28
6.423,636376,12704,0,649080,649080,0,5374840832,20.28
6.524,744940,12704,0,757644,757644,0,5374840832,20.28
6.624,848956,12704,0,861660,861660,0,5374840832,20.28
6.725,811064,12896,0,823960,879636,0,5374840832,20.28
6.825,811188,12960,0,824148,879636,0,5374840832,20.28
6.930,811372,12960,0,824332,879636,0,5374840832,20.28
7.030,811476,12960,0,824436,879636,0,5374840832,20.28
7.131,811492,12960,0,824452,879636,0,5374840832,18.06
7.231,970264,12960,0,983224,983224,0,5374840832,18.06
7.332,1156036,12960,0,1168996,1168996,0,5374840832,18.06
7.432,1341300,12960,0,1354260,1354260,0,5374840832,18.06
7.532,1529088,12960,0,1542048,1542048,0,5374840832,18.06
7.632,835044,12960,0,848004,1621480,0,5374840832,18.06
7.733,811492,12960,0,824452,1621480,0,5374840832,18.06
7.833,814388,12960,0,827348,1621480,0,5374840832,18.06
7.934,814440,12960,0,827400,1621480,0,5374840832,18.06
8.034,814440,12960,0,827400,1621480,0,5374840832,18.06
8.134,814440,12960,0,827400,1621480,0,5374840832,18.06
8.235,814440,12960,0,827400,1621480,0,5374840832,18.06
8.335,814440,12960,0,827400,1621480,0,5374840832,18.06
8.436,814440,12960,0,827400,1621480,0,5374840832,18.06
8.536,814440,12960,0,827400,1621480,0,5374840832,18.06
8.636,814440,12960,0,827400,1621480,0,5374840832,18.06
8.737,814440,12960,0,827400,1621480,0,5374840832,18.06
8.837,814440,12960,0,827400,1621480,0,5374840832,18.06
8.937,814440,12960,0,827400,1621480,0,5374840832,18.06
9.038,814440,12960,0,827400,1621480,0,5374840832,17.68
9.138,814440,12960,0,827400,1621480,0,5374840832,17.68
9.238,814440,12960,0,827400,1621480,0,5374840832,17.68
9.339,814440,12960,0,827400,1621480,0,5374840832,17.68
9.439,814440,12960,0,827400,1621480,0,5374840832,17.68
9.539,814440,12960,0,827400,1621480,0,5374840832,17.68
9.640,814440,12960,0,827400,1621480,0,5374840832,17.68
9.740,814440,12960,0,827400,1621480,0,5374840832,17.68
9.840,814440,12960,0,827400,1621480,0,5374840832,17.68
9.941,814440,12960,0,827400,1621480,0,5374840832,17.68
10.041,814440,12960,0,827400,1621480,0,5374840832,17.68
10.141,814440,12960,0,827400,1621480,0,5374840832,17.68
10.242,814440,12960,0,827400,1621480,0,5374840832,17.68
10.342,814440,12960,0,827400,1621480,0,5377232896,17.68
10.443,814440,12960,0,827400,1621480,0,5377232896,17.68
10.543,814440,12960,0,827400,1621480,0,5377232896,17.68
10.643,814440,12960,0,827400,1621480,0,5377232896,17.68
10.744,814440,12960,0,827400,1621480,0,5377232896,17.68
10.844,814440,12960,0,827400,1621480,0,5377232896,17.68
10.944,814440,12960,0,827400,1621480,0,5377232896,17.56
11.045,814440,12960,0,827400,1621480,0,5377232896,17.56
11.145,814440,12960,0,827400,1621480,0,5377232896,17.56
11.245,814440,12960,0,827400,1621480,0,5377232896,17.56
11.346,814440,12960,0,827400,1621480,0,5377232896,17.56
11.446,814440,12960,0,827400,1621480,0,5377232896,17.56
11.546,814440,12960,0,827400,1621480,0,5377232896,17.56
11.647,814440,12960,0,827400,1621480,0,5377232896,17.56
11.747,814440,12960,0,827400,1621480,0,5377232896,17.56
