t_s,bodies,artifacts,members,vm_rss_kib,vm_hwm_kib,work_bytes
0.0,0,0,0,77328,77328,0
1.0,0,0,0,423872,423872,0
2.0,0,0,0,485876,485876,0
3.0,0,0,0,459732,485360,0
4.0,0,0,0,463364,485360,0
5.0,0,0,0,487568,487568,0
6.0,0,0,0,481472,487000,0
7.0,0,0,0,499276,499276,0
8.0,0,0,0,524832,524832,0
9.0,0,0,0,530116,530532,0
10.0,0,0,0,528916,530532,0
11.0,0,0,0,527008,531428,0
12.0,0,0,0,527316,531428,0
13.0,0,0,0,541764,541764,0
14.0,0,0,0,535376,541180,0
15.0,0,0,0,541604,544360,0
16.0,0,0,0,526048,544360,0
17.0,0,0,0,549000,550408,0
18.0,0,0,0,548064,550408,0
19.0,0,0,0,553348,553348,0
20.0,0,0,0,552772,564348,0
21.0,0,0,0,536408,564348,0
22.0,0,0,0,581368,587596,0
23.0,0,0,0,573316,587596,0
24.0,0,0,0,573880,587596,0
25.0,0,0,0,573136,587596,0
26.0,0,0,0,578928,587596,0
27.0,0,0,0,579288,587596,0
28.0,0,0,0,578336,587596,0
29.0,0,0,0,595912,595912,0
30.0,0,0,0,460688,595532,0
31.0,0,0,0,453776,595532,0
32.0,0,0,0,499820,595532,105907816
33.0,0,0,0,512336,595532,244840246
34.0,0,0,0,517308,595532,386130612
35.0,0,0,0,475868,595532,537060258
36.0,0,0,0,491072,595532,660478714
37.1,0,0,0,509808,595532,803120682
38.1,0,0,0,484444,595532,950287982
39.1,0,0,0,489460,595532,1089216128
40.1,0,0,0,483608,595532,1230074944
41.1,0,0,0,495384,595532,1365146006
42.1,0,0,0,486856,595532,1515829196
43.1,0,0,0,495520,595532,1651042246
44.1,0,0,0,510160,595532,1786850366
45.1,0,0,0,505312,595532,1928338790
46.1,0,0,0,505232,595532,2082210620
47.1,0,0,0,490884,595532,2225440014
48.1,0,0,0,511012,595532,2342644920
49.1,0,0,0,500556,595532,2472586816
50.1,0,0,0,497644,595532,2608820340
51.1,0,0,0,526388,595532,2721044158
52.1,0,0,0,526312,595532,2846311398
53.1,0,0,0,510956,595532,2986387488
54.1,0,0,0,514020,595532,3127919228
55.1,0,0,0,542236,595532,3277855126
56.1,0,0,0,518308,595532,3411620674
57.1,0,0,0,524892,595532,3555842948
58.1,0,0,0,546200,595532,3686571280
59.1,0,0,0,559192,595532,3823974294
60.1,0,0,0,541752,595532,3970963696
61.1,0,0,0,561772,595532,4112507056
62.1,0,0,0,569204,595532,4258891574
63.1,0,0,0,543100,595532,4402188266
64.1,0,0,0,527668,595532,4555362994
65.1,0,0,0,538720,595532,4699439360
66.1,0,0,0,553744,595532,4841810988
67.1,0,0,0,576520,595532,4952967236
68.1,0,0,0,548504,595532,5096495978
69.1,0,0,0,549468,595532,5236818594
70.1,0,0,0,583196,595532,5375812562
71.1,0,0,0,577788,595532,5504458330
72.1,0,0,0,597068,598092,5599240108
73.1,0,0,0,558428,598476,5730884558
74.1,0,0,0,542316,598476,5879468714
75.1,0,0,0,560052,598476,6018214608
76.1,0,0,0,558220,598476,6162495528
77.1,0,0,0,543144,598476,6303186652
78.1,0,0,0,566080,598476,6425189414
79.1,0,0,0,594680,598476,6570041662
80.1,0,0,0,573692,598476,6697277174
81.1,0,0,0,565972,598476,6838877220
82.1,0,0,0,562780,598476,6982622290
83.1,0,0,0,548320,598476,7122584392
84.1,0,0,0,558792,600236,7254766764
85.1,0,0,0,572900,601184,7397178292
86.1,0,0,0,571204,601184,7533552026
87.1,0,0,0,568476,601920,7674846186
88.1,0,0,0,566340,601920,7811349070
89.1,0,0,0,552656,601920,7957135704
90.1,0,0,0,567576,601920,8094131682
91.1,0,0,0,576684,605596,8235903718
92.1,0,0,0,572108,606952,8370793494
93.1,0,0,0,574584,606952,8477756784
94.1,0,0,0,574064,606952,8609256586
95.1,0,0,0,598876,609300,8744124802
96.1,0,0,0,579256,609300,8887864132
97.1,0,0,0,572416,609300,9031988504
98.1,0,0,0,571968,609300,9147037186
99.1,0,0,0,551872,609300,9269982512
100.2,0,0,0,557324,609300,9411180576
101.2,0,0,0,570520,609300,9553108572
102.2,0,0,0,579420,628508,9689972194
103.2,0,0,0,618140,628508,9829755866
104.2,0,0,0,627616,628508,9956561670
105.2,0,0,0,601620,628508,10096708202
106.2,0,0,0,595972,628508,10238506250
107.2,0,0,0,600164,628508,10382369004
108.2,0,0,0,593052,628508,10523434404
109.2,0,0,0,593624,628508,10662808142
110.2,0,0,0,588704,628772,10806263958
111.2,0,0,0,628216,629668,10937696910
112.2,0,0,0,598920,629668,11067602042
113.2,0,0,0,597284,629668,11195653518
114.2,0,0,0,611724,629668,11320894886
115.2,0,0,0,588488,629668,11440318708
116.2,0,0,0,623312,629668,11558475694
117.2,0,0,0,594804,629668,11687102266
118.2,0,0,0,586764,629668,11823792134
119.2,0,0,0,599416,629668,11953729718
120.2,0,0,0,589268,629668,12083506400
121.2,0,0,0,524908,629668,12222090118
122.2,0,0,0,521032,629668,12334577290
123.2,0,0,0,455796,629668,12458026154
124.2,0,0,0,444932,629668,12577466594
125.2,0,0,0,448616,629668,12706915410
126.2,0,0,0,453284,629668,12845065940
127.2,0,0,0,459284,629668,12973288160
128.2,0,0,0,447576,629668,13107875186
129.2,0,0,0,462380,629668,13240281810
130.2,0,0,0,453492,629668,13365443798
131.2,0,0,0,454256,629668,13505745134
132.2,0,0,0,464640,629668,13630002386
133.2,0,0,0,461988,629668,13769776664
134.2,0,0,0,471344,629668,13889645462
135.2,0,0,0,458548,629668,13977000632
136.2,0,0,0,479528,629668,14112420112
137.2,0,0,0,495220,629668,14249983300
138.2,0,0,0,498076,629668,14389374622
139.2,0,0,0,488348,629668,14530542054
140.2,0,0,0,512280,629668,14663233270
141.2,0,0,0,524080,629668,14801313338
142.2,0,0,0,502624,629668,14936797764
143.2,0,0,0,520980,629668,15070924190
144.2,0,0,0,492280,629668,15211682248
145.2,0,0,0,522736,629668,15345017024
146.2,0,0,0,511936,629668,15480791130
147.2,0,0,0,710560,710560,15388572822
148.2,0,0,0,624976,989056,15388572822
149.3,3,7,7205570,693404,989056,15388572822
150.3,4,8,11152281,1067944,1067944,15175824454
151.3,6,10,16030677,729264,1186108,15175824454
152.3,11,16,28322085,1009460,1186108,14980540428
153.3,12,17,29530137,657316,1186108,14980540428
154.3,19,28,42840073,846408,1186108,14762893236
155.3,19,28,42840073,652380,1186108,14762893236
156.4,23,33,51456075,756912,1186108,14762893236
157.4,25,35,57293423,1014276,1186108,14593245338
158.4,31,42,68017335,891208,1186108,14385783412
159.6,31,42,68017335,808512,1186108,14385783412
160.6,37,50,82681304,662232,1186108,14385783412
161.6,38,51,85303717,1012996,1186108,14174200824
162.6,41,54,89873522,753716,1186108,14174200824
163.6,45,58,100727252,932148,1186108,13958552034
164.6,45,58,100727252,706000,1186108,13958552034
165.7,51,69,111891148,676560,1186108,13958552034
166.7,52,70,113946469,1130012,1186108,13754352542
167.8,59,79,123928323,763240,1186108,13754352542
168.8,60,80,127446256,1092280,1232712,13531738962
169.9,62,82,134720111,677072,1232712,13531738962
170.9,68,120,146217229,1028856,1232712,13311145904
171.9,69,123,148023197,642080,1232712,13311145904
173.0,74,192,157973000,718176,1232712,13311145904
174.0,76,195,162632482,1136172,1232712,13092213316
175.0,78,200,166756697,673036,1232712,13092213316
176.0,85,244,178007943,1040884,1232712,12877483514
177.0,85,244,178007943,627692,1232712,12877483514
178.0,94,301,192985838,775964,1232712,12877483514
179.1,94,301,192985838,1028136,1232712,12663867958
180.1,100,383,203264043,669956,1232712,12663867958
181.1,102,397,207086193,1095188,1232712,12440045408
182.1,105,420,213065430,733216,1232712,12440045408
183.1,111,465,224571719,1041776,1232712,12226767700
184.1,111,465,224571719,1148244,1232712,12226767700
185.1,120,514,239768256,655532,1232712,12226767700
186.1,120,514,239768256,1061892,1232712,12027957564
187.1,126,545,251219830,647384,1232712,12027957564
188.1,127,550,253058479,1034724,1232712,11807538946
189.1,133,602,263104211,679172,1232712,11807538946
190.1,136,620,268826720,1043716,1232712,11602030580
191.1,139,639,274925488,613660,1232712,11602030580
192.1,144,689,282990765,1063464,1232712,11380390686
193.2,144,689,282990765,725904,1232712,11380390686
194.2,152,735,299063313,892612,1232712,11157752368
195.2,152,735,299063313,1067008,1232712,11157752368
196.2,157,770,308900088,657908,1232712,11157752368
197.2,161,808,316365223,1032000,1232712,10945713296
198.2,162,826,318318192,639168,1232712,10945713296
199.2,168,899,330573362,841432,1232712,10945713296
200.2,168,899,330573362,1035960,1232712,10721884404
201.2,173,959,339805934,647476,1232712,10721884404
202.2,176,994,345516212,1055768,1232712,10508223614
203.2,179,1019,350223073,680496,1232712,10508223614
204.2,185,1076,361073212,655236,1232712,10508223614
205.2,185,1076,361073212,1030544,1232712,10287180624
206.2,188,1127,367263211,675132,1232712,10287180624
207.2,193,1238,377334160,1061676,1232712,10063657114
208.2,193,1238,377334160,1134304,1232712,10063657114
209.2,199,1399,389887187,658884,1232712,10063657114
210.2,201,1470,394063752,1066004,1232712,9841638352
211.3,203,1525,397987951,648844,1232712,9841638352
212.3,209,1609,409941493,982976,1232712,9651078808
213.3,209,1609,409941493,638716,1232712,9651078808
214.3,216,1762,422930331,975260,1232712,9427303620
215.3,216,1762,422930331,1040580,1232712,9427303620
216.3,220,1928,431507593,638760,1232712,9427303620
217.3,223,2004,437925578,1066868,1232712,9204601896
218.3,223,2004,437925578,1114964,1232712,9204601896
219.3,229,2121,449535902,698592,1232712,9204601896
220.3,232,2210,455732738,1066652,1232712,8983355682
221.3,232,2210,455732738,675704,1232712,8983355682
222.3,240,2443,471327143,843880,1232712,8759728068
223.3,240,2443,471327143,1031496,1232712,8759728068
224.3,244,2548,479307744,684776,1232712,8759728068
225.3,248,2619,487360078,1057216,1232712,8535795884
226.3,248,2619,487360078,1120536,1232712,8535795884
227.3,256,2781,502160228,637808,1232712,8535795884
228.3,256,2781,502160228,1026912,1232712,8332837758
229.3,261,2959,512278600,672124,1232712,8332837758
230.3,263,3036,516544811,1090524,1232712,8110096526
231.3,263,3036,516544811,710928,1232712,8110096526
232.3,271,3154,531972621,706920,1232712,8110096526
233.3,272,3182,534204074,1020516,1232712,7892073770
234.3,277,3280,543272922,671432,1232712,7892073770
235.3,280,3345,549096210,1049060,1232712,7670214790
236.3,280,3345,549096210,658824,1232712,7670214790
237.3,287,3475,562678793,670996,1232712,7670214790
238.3,288,3524,564806289,1054808,1232712,7450644082
239.3,292,3638,571796159,668112,1232712,7450644082
240.3,296,3707,580002268,1063668,1232712,7226804074
241.3,296,3707,580002268,1149160,1232712,7226804074
242.3,300,3867,587912505,759208,1232712,7226804074
243.3,303,3913,595514503,1078312,1232712,7003009426
244.4,304,3944,597317307,651712,1232712,7003009426
245.4,311,4167,611375272,645440,1232712,7003009426
246.4,311,4167,611375272,1143312,1232712,6779649758
247.4,314,4365,617788346,640184,1232712,6779649758
248.4,319,4538,627647893,849364,1232712,6779649758
249.4,319,4538,627647893,1016324,1232712,6563120480
250.4,322,4757,634164894,709364,1232712,6563120480
251.4,327,4977,642911581,1055372,1232712,6340409950
252.4,327,4977,642911581,1151052,1232712,6340409950
253.4,334,5295,656107755,652256,1232712,6340409950
254.4,336,5363,658499545,1126524,1232712,6118191422
255.5,338,5404,662837723,645040,1249848,6118191422
256.5,345,5721,675814574,859800,1249848,5900214684
257.5,345,5721,675814574,1060840,1249848,5900214684
258.6,350,5786,684923528,658704,1249848,5900214684
259.6,353,6099,691283475,1071728,1249848,5676406106
260.6,353,6099,691283475,1156272,1249848,5676406106
261.6,360,6415,705139122,653264,1249848,5676406106
262.6,361,6436,707338098,1054048,1249848,5455425934
263.6,361,6436,707338098,651160,1249848,5455425934
264.6,369,6912,723537833,802604,1249848,5455425934
265.6,369,6912,723537833,1027676,1249848,5232575712
266.6,372,7046,729430126,648156,1249848,5232575712
267.6,376,7308,738115033,1049956,1249848,5010350884
268.6,376,7308,738115033,1073308,1249848,5010350884
