t_s,bodies,artifacts,members,vm_rss_kib,vm_hwm_kib,work_bytes
0.0,0,0,0,77256,77256,0
1.0,0,0,0,226056,226056,0
2.0,0,0,0,222396,225756,0
3.0,0,0,0,224696,225756,0
4.0,0,0,0,227408,227408,0
5.0,0,0,0,233076,233852,0
6.0,0,0,0,291196,292580,44529198
7.0,0,0,0,273152,292592,187783862
8.0,0,0,0,271580,292592,337943942
9.0,0,0,0,272836,292592,476898226
10.0,0,0,0,279728,292592,624264900
11.0,0,0,0,273884,292592,774956028
12.0,0,0,0,276936,292592,928375462
13.0,0,0,0,276292,292592,1071980532
14.0,0,0,0,275060,292592,1216514684
15.0,0,0,0,274296,292592,1365151270
16.0,0,0,0,278296,292592,1505435008
17.0,0,0,0,291160,292944,1663833080
18.0,0,0,0,275200,292944,1807654926
19.0,0,0,0,274368,292944,1948084586
20.0,0,0,0,274232,292944,2091394298
21.0,0,0,0,283292,292944,2237874828
22.0,0,0,0,271772,292944,2379802096
23.0,0,0,0,284996,292944,2536525558
24.0,0,0,0,275964,292944,2683919406
25.0,0,0,0,268680,292944,2847895834
26.0,0,0,0,276736,292944,2989097482
27.0,0,0,0,267388,292944,3133907728
28.0,0,0,0,690400,690400,3008467714
29.0,0,0,0,836048,836048,3008467714
30.1,2,2,6500750,487216,844112,3008467714
31.1,7,7,15252227,835500,844112,2788185330
32.1,7,7,15252227,562808,974208,2788185330
33.1,12,14,24614824,535296,974208,2788185330
34.1,14,16,31016810,754620,974208,2608923408
35.1,19,37,39984295,453228,974208,2608923408
36.1,20,46,42175785,994880,994880,2385643890
37.1,22,54,47746455,464884,999996,2385643890
38.1,28,86,58805183,787712,999996,2205113610
39.1,29,91,60960730,455908,999996,2205113610
40.1,36,115,71885034,837224,999996,1996239378
41.2,36,115,71885034,530208,999996,1996239378
42.2,43,140,87147277,858932,999996,1780600976
43.2,43,140,87147277,894580,999996,1780600976
44.3,48,171,96538376,562524,1003372,1780600976
45.3,51,190,102176860,895364,1003372,1565387320
46.3,53,193,104724879,520684,1016500,1565387320
47.3,60,231,117991526,883020,1016500,1342102916
48.3,60,231,117991526,974472,1037708,1342102916
49.3,65,251,127276733,497636,1037708,1342102916
50.3,69,304,134361679,906336,1037708,1118104582
51.3,69,304,134361679,922464,1037708,1118104582
52.3,73,468,143170912,484660,1037708,1118104582
53.3,76,612,149781645,905632,1037708,894454666
54.3,76,612,149781645,910456,1037708,894454666
55.3,80,833,158663880,469696,1037708,894454666
56.3,83,1019,165279270,892044,1037708,670773866
57.3,83,1019,165279270,888488,1037708,670773866
58.3,86,1211,171866467,470040,1037708,670773866
59.3,90,1540,180733075,891728,1037708,446842340
60.3,90,1540,180733075,869252,1037708,446842340
61.3,92,1714,185191969,470960,1037708,446842340
62.3,98,2291,198530752,820112,1037708,222889016
63.3,98,2291,198530752,969812,1037708,222889016
64.3,98,2291,198530752,470892,1037708,222889016
65.3,105,3252,213885348,512520,1037708,222889016
66.3,105,3252,213885348,905568,1037708,0
67.3,105,3252,213885348,469768,1037708,0
68.3,112,4695,229428318,536764,1037708,0
69.3,113,4787,230715873,331188,1037708,0
