first_s	last_s	max_size	max_blocks	path
320.4	372.4	1682430130	1682436096	v00000/partitions/default/views/geo/segments/seg-0/columns.arrow
101.6	260.1	1342177280	1342181376	.build-tmp/column-3.arena
260.7	372.4	1031654690	1031659520	v00000/partitions/default/attrs/record/blocks.bin
101.6	260.1	1006312728	1006374912	.build-tmp/column-2.at
7.0	204.9	1006312728	1006317568	.build-tmp/source-ids.u64
309.3	372.4	519605474	519610368	v00000/partitions/default/attrs/record/directory.arrow
205.9	233.0	517771117	517771264	.build-tmp/member-table.spill
315.8	372.4	503324672	503328768	v00000/partitions/default/views/geo/permutation.bin
55.1	311.3	503156364	503160832	.build-tmp/x-of-ordinal-0.u32
55.1	311.3	503156364	503160832	.build-tmp/y-of-ordinal-0.u32
63.6	372.4	503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
63.6	372.4	503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
63.6	369.9	503156364	503160832	.build-tmp/entity-of-ordinal.u32
309.8	321.9	503156364	503160832	.build-tmp/y-of-entity.u32
314.8	372.4	503156364	503160832	v00000/partitions/default/views/geo/segments/seg-0/morton.u32
316.8	372.4	503156364	503160832	v00000/partitions/default/views/geo/row-entity.u32
368.8	372.4	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-001.tslb
369.3	372.4	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-002.tslb
309.8	321.9	503156364	503156736	.build-tmp/x-of-entity.u32
257.6	372.4	488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
234.5	257.6	473983152	473989120	v00000/partitions/default/attrs/specieskey/values.arrow.spool
251.1	257.1	473983152	473985024	v00000/partitions/default/attrs/specieskey/keyword-ordinals.scratch
230.5	372.4	326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
228.5	372.4	278538037	278544384	v00000/partitions/default/members/members-000000-001.tsmb
260.7	372.4	258407802	258408448	v00000/partitions/default/attrs/year/values.arrow
63.6	101.1	254325481	254332928	.build-tmp/band-0.pairs
101.6	260.1	251578182	251609088	.build-tmp/column-5.col
368.8	372.4	251578198	251580416	v00000/partitions/default/row-column/row-column-000000-000.tslb
258.1	260.1	243206776	243212288	v00000/partitions/default/attrs/year/values.arrow.spool
227.5	372.4	238738645	238739456	v00000/partitions/default/members/members-000000-000.tsmb
101.6	162.8	134217728	134217728	.build-tmp/column-16.arena
101.6	369.9	125789091	125796352	.build-tmp/column-0.col
318.9	321.4	125789091	125792256	.build-tmp/column-18.col
192.9	220.5	106926072	106926080	.build-tmp/member-run-0003.spill
200.4	220.5	104877317	104878080	.build-tmp/member-run-0004.spill
171.3	220.0	103977954	103981056	.build-tmp/member-run-0000.spill
185.4	220.5	101826332	101826560	.build-tmp/member-run-0002.spill
248.6	256.6	95068068	95068160	v00000/partitions/default/attrs/specieskey/keyword-run-00001.spill
241.1	256.6	93349378	93351936	v00000/partitions/default/attrs/specieskey/keyword-run-00000.spill
177.8	220.5	91434386	91435008	.build-tmp/member-run-0001.spill
101.6	162.8	67108864	67108864	.build-tmp/column-11.arena
