# peak at t=369.9s, 9260273664 allocated bytes
size	blocks	path
1682430130	1682436096	v00000/partitions/default/views/geo/segments/seg-0/columns.arrow
1031654690	1031659520	v00000/partitions/default/attrs/record/blocks.bin
519605474	519606272	v00000/partitions/default/attrs/record/directory.arrow
503324672	503328768	v00000/partitions/default/views/geo/permutation.bin
503156364	503160832	v00000/partitions/default/views/geo/row-entity.u32
503156364	503160832	v00000/partitions/default/views/geo/segments/seg-0/morton.u32
503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
503156380	503160832	v00000/partitions/default/row-column/row-column-000000-002.tslb
503156380	503160832	v00000/partitions/default/row-column/row-column-000000-001.tslb
503156364	503160832	.build-tmp/entity-of-ordinal.u32
488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
278538037	278544384	v00000/partitions/default/members/members-000000-001.tsmb
258407802	258408448	v00000/partitions/default/attrs/year/values.arrow
251578198	251580416	v00000/partitions/default/row-column/row-column-000000-000.tslb
238738645	238739456	v00000/partitions/default/members/members-000000-000.tsmb
125789091	125792256	.build-tmp/column-0.col
15723640	15732736	.build-tmp/column-1.present
10659604	10661888	v00000/partitions/default/attrs/specieskey/presence.roaring
2888122	2891776	v00000/partitions/default/attrs/year/presence.roaring
2312606	2314240	v00000/partitions/default/attrs/specieskey/dict.bin
1056194	1056768	v00000/partitions/default/terms/pairs.parquet
33714	36864	v00000/partitions/default/terms/postings.arrow
27124	28672	v00000/partitions/default/attrs/record/hasrow.roaring
27124	28672	v00000/partitions/default/entities/terms/hasrow.roaring
20096	20480	reports/containment.json
1530	4096	v00000/dictionary/terms-0.dict
